Day,Delivery status,Delivery level,Ad Set Name,Ad name,Impressions,"CPM (cost per 1,000 impressions)",Reach,"Cost per 1,000 Accounts Center accounts reached",Frequency,CTR (all),Unique outbound clicks,Unique outbound CTR (click-through rate),Cost per unique outbound click,Landing page views,Cost per landing page view,Content views,Cost per content view,Adds to cart,Cost per add to cart,Checkouts Initiated,Cost per checkout initiated,Adds of payment info,Cost per add of payment info,Purchases,Cost per purchase,Purchases conversion value,Average purchases conversion value,Purchase ROAS (return on ad spend),Amount spent (USD),Link (ad settings),Attribution setting,Campaign ID,Ad set ID,Ad ID,Result type,Results,Cost per result,Link clicks,CPC (cost per link click),Campaign Delivery,Ad Set Delivery,Ad Delivery,Reporting starts,Reporting ends
2024-12-31,,,,,1286376,29.26317811,532401,70.70507005,2.41617878,0.95617456,7497,1.40814912,5.02113512,8117,4.63760626,10870,3.46305888,2246,16.76021817,1306,28.82346861,171.0,220.1371345,281,133.96245552,189648.26,674.90483986,5.03801485,37643.45,,Multiple attribution settings,,,,,,,8890,4.23435883,,,,2024-12-31,2024-12-31
2024-12-30,,,,,1095070,32.05269983,444614,78.94477007,2.46296788,1.02477467,6972,1.56810177,5.03441624,7506,4.67625233,9913,3.54079996,2129,16.48658995,1110,31.62157658,132.0,265.90871212,206,170.3881068,128659.75,624.5618932,3.66552516,35099.95,,Multiple attribution settings,,,,,,,8178,4.29199682,,,,2024-12-30,2024-12-30
2024-12-29,,,,,1045828,33.5245375,437372,80.1626533,2.39116359,1.15506565,7443,1.70175503,4.71058713,8287,4.23083142,11562,3.03242519,2527,13.87451524,1220,28.73844262,75.0,467.47866667,231,151.77878788,138956.45,601.54307359,3.96328816,35060.9,,Multiple attribution settings,,,,,,,8909,3.9354473,,,,2024-12-29,2024-12-29
2024-12-28,,,,,928979,31.85755545,392070,75.4839697,2.36942128,1.16471955,6593,1.68158747,4.48885181,7510,3.94074567,10573,2.79911094,2101,14.08614945,1037,28.53905497,64.0,462.421875,182,162.60989011,100854.5,554.1456044,3.40782227,29595.0,,Multiple attribution settings,,,,,,,8078,3.66365437,,,,2024-12-28,2024-12-28
2024-12-27,,,,,995825,30.78946602,401447,76.37600978,2.48058897,1.1251977,7165,1.78479351,4.27926308,7736,3.96340745,11542,2.65646508,2309,13.27887397,1172,26.16119454,85.0,360.71670588,228,134.4777193,132280.48,580.17754386,4.31430238,30660.92,,Multiple attribution settings,,,,,,,8419,3.64187196,,,,2024-12-27,2024-12-27
2024-12-26,,,,,1299250,29.00655763,525234,71.75234277,2.47365936,1.15027901,8468,1.61223379,4.45049244,9586,3.93143856,13027,2.89297382,2602,14.48377018,1345,28.01990335,94.0,400.92308511,233,161.74579399,114106.02,489.72540773,3.0277474,37686.77,,Multiple attribution settings,,,,,,,10409,3.62059468,,,,2024-12-26,2024-12-26
2024-12-25,,,,,1318447,26.71492294,543344,64.82488074,2.42654193,1.1581808,8905,1.63892488,3.95532959,9623,3.66021095,11997,2.93591815,1888,18.65583157,942,37.3908811,47.0,749.4087234,148,237.98790541,87278.56,589.72,2.47794105,35222.21,,Multiple attribution settings,,,,,,,10488,3.35833429,,,,2024-12-25,2024-12-25
2024-12-24,,,,,1078718,30.88674705,492029,67.71570375,2.19238703,1.19178506,7765,1.57815901,4.29080361,8032,4.14816858,8750,3.80778171,1366,24.39098829,658,50.63539514,47.0,708.89553191,125,266.54472,85951.7,687.6136,2.57973071,33318.09,,Multiple attribution settings,,,,,,,8733,3.81519409,,,,2024-12-24,2024-12-24
2024-12-23,,,,,1284839,32.4358227,658979,63.24148417,1.94974195,1.13827491,9314,1.41339861,4.47442667,9630,4.32760228,11264,3.69982333,1573,26.4938398,786,53.02138677,48.0,868.22520833,156,267.14621795,108079.95,692.82019231,2.59341194,41674.81,,Multiple attribution settings,,,,,,,10386,4.01259484,,,,2024-12-23,2024-12-23
2024-12-22,,,,,1464787,37.48592799,732314,74.97999492,2.00021712,1.2139649,10764,1.46986129,5.10116128,12241,4.48565477,12960,4.23679784,2109,26.03551446,880,62.39647727,40.0,1372.7225,162,338.94382716,115878.17,715.29734568,2.11037136,54908.9,,Multiple attribution settings,,,,,,,12817,4.28406803,,,,2024-12-22,2024-12-22
2024-12-21,,,,,919613,42.86518351,462847,85.16719348,1.98686175,1.31729325,8155,1.76192133,4.83376824,8391,4.69781671,10202,3.86388747,1799,21.91182879,836,47.15236842,58.0,679.64448276,174,226.54816092,118662.35,681.96752874,3.01025409,39419.38,,Multiple attribution settings,,,,,,,9048,4.3566954,,,,2024-12-21,2024-12-21
2024-12-20,,,,,1367735,43.40484816,609072,97.47013489,2.24560479,1.34441248,10954,1.79847374,5.41960288,11423,5.19708746,11988,4.95214631,2160,27.48441204,1029,57.69322643,77.0,770.9912987,261,227.45720307,154819.25,593.17720307,2.60786291,59366.33,,Multiple attribution settings,,,,,,,12250,4.84623102,,,,2024-12-20,2024-12-20
2024-12-19,,,,,1361723,45.19726112,617630,99.64889983,2.20475527,1.29299424,9495,1.53732817,6.48195366,10626,5.79203369,11573,5.31808088,2091,29.43383549,980,62.80219388,89.0,691.52977528,259,237.62992278,176414.95,681.13880309,2.86638482,61546.15,,Multiple attribution settings,,,,,,,11377,5.40969939,,,,2024-12-19,2024-12-19
2024-12-18,,,,,1512256,43.6503145,710389,92.92155425,2.1287717,1.11356807,9481,1.33462089,6.96239321,10937,6.03551705,12606,5.23643106,2123,31.09300518,950,69.48468421,73.0,904.25273973,259,254.86660232,177491.09,685.29378378,2.68883321,66010.45,,Multiple attribution settings,,,,,,,11413,5.7837948,,,,2024-12-18,2024-12-18
2024-12-17,,,,,1252253,48.73325917,599459,101.80240851,2.08897189,1.28113089,9216,1.53738621,6.62178494,10783,5.65949828,13316,4.58293557,2330,26.19157511,1106,55.17754973,119.0,512.82663866,358,170.46472067,201002.61,561.45980447,3.2937009,61026.37,,Multiple attribution settings,,,,,,,10724,5.69063502,,,,2024-12-17,2024-12-17
2024-12-16,,,,,1332999,44.42586979,655812,90.29972004,2.03259318,1.21838051,9069,1.38286582,6.52989745,10814,5.47620122,13527,4.37788423,2406,24.61331671,1120,52.87467857,80.0,740.2455,264,224.31681818,178874.57,677.55518939,3.02052782,59219.64,,Multiple attribution settings,,,,,,,10690,5.53972311,,,,2024-12-16,2024-12-16
2024-12-15,,,,,1058987,52.46338246,454021,122.36887721,2.3324626,1.31276399,7931,1.7468355,7.00517463,8774,6.33212218,11127,4.99308349,2318,23.96809318,1092,50.87732601,80.0,694.4755,245,226.7675102,164688.15,672.19653061,2.96425414,55558.04,,Multiple attribution settings,,,,,,,9230,6.01928927,,,,2024-12-15,2024-12-15
2024-12-14,,,,,807289,55.12666468,348256,127.78860953,2.31809071,1.40160463,6438,1.84864008,6.91257378,7179,6.19907369,9408,4.73035183,1605,27.72781931,828,53.7477657,68.0,654.45808824,202,220.31262376,140580.12,695.94118812,3.15888021,44503.15,,Multiple attribution settings,,,,,,,7759,5.73568114,,,,2024-12-14,2024-12-14
2024-12-13,,,,,854243,49.7050605,341486,124.3395044,2.50154618,1.36237581,6731,1.97109105,6.30815629,7172,5.92027328,9272,4.57940035,1567,27.09649011,820,51.78073171,67.0,633.73432836,248,171.21048387,127971.9,516.01572581,3.01392598,42460.2,,Multiple attribution settings,,,,,,,7813,5.43455779,,,,2024-12-13,2024-12-13
2024-12-12,,,,,1010325,56.1384505,390546,145.22765564,2.58695519,1.2464306,7391,1.89247873,7.67393857,8342,6.79909854,9944,5.70374899,1813,31.2841037,921,61.58314875,90.0,630.20088889,207,274.00038647,138791.72,670.49140097,2.44704546,56718.08,,Multiple attribution settings,,,,,,,8806,6.44084488,,,,2024-12-12,2024-12-12
2024-12-11,,,,,923878,62.72032671,366107,158.27594119,2.52351908,1.39866952,7620,2.08135873,7.60445276,8880,6.52544257,11050,5.24397557,2120,27.33298585,1013,57.2023001,74.0,783.05310811,220,263.39059091,153764.6,698.93,2.65358758,57945.93,,Multiple attribution settings,,,,,,,9201,6.29778611,,,,2024-12-11,2024-12-11
2024-12-10,,,,,1298376,58.34375404,566104,133.81309795,2.2935291,1.28167803,9952,1.75798087,7.6117494,11347,6.67596105,13698,5.53015988,2627,28.83598401,1192,63.55044463,87.0,870.71413793,276,274.46423913,162543.32,588.92507246,2.14572607,75752.13,,Multiple attribution settings,,,,,,,11661,6.49619501,,,,2024-12-10,2024-12-10
