"Day","Gross sales","Discounts","Orders","Average order value","Day (previous_year)","Gross sales (previous_year)","Discounts (previous_year)","Orders (previous_year)","Average order value (previous_year)"
"2025-01-01",399691.29,-49715.84,575,608.652,"2024-01-01",278125.53,-15441.16,401,655.073
"2025-01-02",233807.2,-30938.82,420,483.019,"2024-01-02",173195.93,-8146.77,277,595.845
"2025-01-03",180313.26,-19620.76,308,521.728,"2024-01-03",151034.41,-12001.36,244,569.807
"2025-01-04",127154.05,-8566.78,209,567.403,"2024-01-04",103286.91,-8060.22,215,442.914
"2025-01-05",124405.91,-6771.39,204,576.639,"2024-01-05",103146.21,-7372.65,212,451.762
"2025-01-06",136888.79,-6109.57,247,529.47,"2024-01-06",105792.24,-5514.7,177,566.539
"2025-01-07",128927.03,-8020.85,251,481.697,"2024-01-07",111590.87,-4494.84,186,575.785
"2025-01-08",103290.4,-6603.16,200,483.436,"2024-01-08",107183.65,-5275.97,178,572.515
"2025-01-09",109413.16,-5665.15,183,566.929,"2024-01-09",109246.49,-5420.91,221,469.799
"2025-01-10",106378.25,-7641.11,186,530.844,"2024-01-10",116994.47,-10440.16,181,588.697
"2025-01-11",100029.97,-6403.89,170,550.741,"2024-01-11",90741.79,-5840.58,170,499.418
"2025-01-12",106371.29,-5531.07,198,509.294,"2024-01-12",69995.77,-5056.47,163,398.4
"2025-01-13",106892.58,-7899.15,188,526.56,"2024-01-13",97071.27,-5114.74,156,589.464
"2025-01-14",99882.97,-5441.02,169,558.828,"2024-01-14",120972.07,-6578.2,174,657.436
"2025-01-15",90688.64,-3379.22,192,454.736,"2024-01-15",131415.99,-6568.34,197,633.744
"2025-01-16",107040.49,-5948.55,186,543.505,"2024-01-16",105473.78,-7462.6,180,544.506
"2025-01-17",132004.86,-9245.25,223,550.491,"2024-01-17",105922.25,-5370.69,173,581.222
"2025-01-18",92007.55,-5566.92,175,493.946,"2024-01-18",102563.96,-9071.63,183,510.887
"2025-01-19",121819.93,-6811.28,219,525.153,"2024-01-19",119045.97,-6777.12,234,479.781
"2025-01-20",117624.6,-5400.7,198,566.787,"2024-01-20",114118.38,-6265.27,167,645.827
"2025-01-21",109152.61,-5689.29,194,533.316,"2024-01-21",131515.55,-5947.72,214,586.765
"2025-01-22",93214.37,-5490.97,208,421.747,"2024-01-22",86342.55,-5487.45,157,515
"2025-01-23",112460.79,-4146.65,234,462.88,"2024-01-23",97602.66,-4975.77,180,514.593
"2025-01-24",105409.82,-8245.11,224,433.771,"2024-01-24",88410.02,-6264.9,174,472.098
