"Month","Months since first purchase","Customers","Customer retention rate","Customers in cohort"
"2024-01-01",3,105,0.025541230844076866,4111
"2024-01-01",17,41,0.00997324252006811,4111
"2024-01-01",14,46,0.011189491607881293,4111
"2024-01-01",4,115,0.027973729019703235,4111
"2024-01-01",1,198,0.04816346387740209,4111
"2024-01-01",5,69,0.01678423741182194,4111
"2024-01-01",0,223,0.054244709316468014,4111
"2024-01-01",10,88,0.02140598394551204,4111
"2024-01-01",16,48,0.011675991243006568,4111
"2024-01-01",7,80,0.019459985405010947,4111
"2024-01-01",8,49,0.011919241060569205,4111
"2024-01-01",2,119,0.02894672828995378,4111
"2024-01-01",15,31,0.007540744344441742,4111
"2024-01-01",9,52,0.012648990513257114,4111
"2024-01-01",13,68,0.016540987594259305,4111
"2024-01-01",6,58,0.014108489418632936,4111
"2024-01-01",12,67,0.01629773777669667,4111
"2024-01-01",11,110,0.026757479931890052,4111
"2024-02-01",5,31,0.008630289532293986,3592
"2024-02-01",9,90,0.02505567928730512,3592
"2024-02-01",2,86,0.023942093541202674,3592
"2024-02-01",3,95,0.026447661469933183,3592
"2024-02-01",0,180,0.05011135857461024,3592
"2024-02-01",6,57,0.01586859688195991,3592
"2024-02-01",13,39,0.010857461024498886,3592
"2024-02-01",8,55,0.015311804008908686,3592
"2024-02-01",16,35,0.009743875278396437,3592
"2024-02-01",7,46,0.012806236080178173,3592
"2024-02-01",1,151,0.042037861915367486,3592
"2024-02-01",10,91,0.025334075723830736,3592
"2024-02-01",15,46,0.012806236080178173,3592
"2024-02-01",11,54,0.015033407572383074,3592
"2024-02-01",14,27,0.007516703786191537,3592
"2024-02-01",12,45,0.01252783964365256,3592
"2024-02-01",4,52,0.014476614699331848,3592
"2024-03-01",5,49,0.016355140186915886,2996
"2024-03-01",6,27,0.009012016021361816,2996
"2024-03-01",13,23,0.007676902536715621,2996
"2024-03-01",7,35,0.011682242990654205,2996
"2024-03-01",3,34,0.011348464619492658,2996
"2024-03-01",9,83,0.027703604806408544,2996
"2024-03-01",2,96,0.03204272363150868,2996
"2024-03-01",12,34,0.011348464619492658,2996
"2024-03-01",15,30,0.010013351134846462,2996
"2024-03-01",8,59,0.019692923898531375,2996
"2024-03-01",0,136,0.04539385847797063,2996
"2024-03-01",10,52,0.017356475300400534,2996
"2024-03-01",4,45,0.015020026702269693,2996
"2024-03-01",14,30,0.010013351134846462,2996
"2024-03-01",1,142,0.04739652870493992,2996
"2024-03-01",11,29,0.009679572763684913,2996
"2024-04-01",14,24,0.007835455435847209,3063
"2024-04-01",1,191,0.0623571661769507,3063
"2024-04-01",11,25,0.008161932745674175,3063
"2024-04-01",4,51,0.01665034280117532,3063
"2024-04-01",5,33,0.010773751224289911,3063
"2024-04-01",0,180,0.058765915768854066,3063
"2024-04-01",10,26,0.008488410055501142,3063
"2024-04-01",2,63,0.02056807051909892,3063
"2024-04-01",7,73,0.023832843617368593,3063
"2024-04-01",13,33,0.010773751224289911,3063
"2024-04-01",8,66,0.021547502448579822,3063
"2024-04-01",12,31,0.010120796604635978,3063
"2024-04-01",9,35,0.011426705843943846,3063
"2024-04-01",3,43,0.014038524322559582,3063
"2024-04-01",6,36,0.011753183153770812,3063
"2024-05-01",7,114,0.026691641301802856,4271
"2024-05-01",6,91,0.02130648560056193,4271
"2024-05-01",4,66,0.015453055490517443,4271
"2024-05-01",5,57,0.013345820650901428,4271
"2024-05-01",0,199,0.04659330367595411,4271
"2024-05-01",1,118,0.027628190119409975,4271
"2024-05-01",3,93,0.021774760009365488,4271
"2024-05-01",2,71,0.01662374151252634,4271
"2024-05-01",13,44,0.010302036993678295,4271
"2024-05-01",12,54,0.01264340903769609,4271
"2024-05-01",10,52,0.01217513462889253,4271
"2024-05-01",11,35,0.008194802154062281,4271
"2024-05-01",9,37,0.00866307656286584,4271
"2024-05-01",8,58,0.013579957855303207,4271
"2024-06-01",10,11,0.006896551724137931,1595
"2024-06-01",11,21,0.013166144200626959,1595
"2024-06-01",9,21,0.013166144200626959,1595
"2024-06-01",8,17,0.010658307210031349,1595
"2024-06-01",12,19,0.011912225705329153,1595
"2024-06-01",0,66,0.041379310344827586,1595
"2024-06-01",1,69,0.04326018808777429,1595
"2024-06-01",3,23,0.014420062695924765,1595
"2024-06-01",2,37,0.023197492163009405,1595
"2024-06-01",7,20,0.012539184952978056,1595
"2024-06-01",6,49,0.030721003134796237,1595
"2024-06-01",4,22,0.013793103448275862,1595
"2024-06-01",5,41,0.025705329153605017,1595
"2024-07-01",6,24,0.01444043321299639,1662
"2024-07-01",3,23,0.013838748495788207,1662
"2024-07-01",9,13,0.007821901323706379,1662
"2024-07-01",2,29,0.017448856799037304,1662
"2024-07-01",11,9,0.005415162454873646,1662
"2024-07-01",1,92,0.05535499398315283,1662
"2024-07-01",8,17,0.01022864019253911,1662
"2024-07-01",0,55,0.03309265944645006,1662
"2024-07-01",5,44,0.026474127557160047,1662
"2024-07-01",7,21,0.01263537906137184,1662
"2024-07-01",4,52,0.031287605294825514,1662
"2024-07-01",10,18,0.010830324909747292,1662
"2024-08-01",3,78,0.03705463182897862,2105
"2024-08-01",10,21,0.009976247030878859,2105
"2024-08-01",8,24,0.01140142517814727,2105
"2024-08-01",5,32,0.015201900237529691,2105
"2024-08-01",4,57,0.027078384798099764,2105
"2024-08-01",0,118,0.056057007125890734,2105
"2024-08-01",6,16,0.007600950118764846,2105
"2024-08-01",2,35,0.0166270783847981,2105
"2024-08-01",9,23,0.010926365795724466,2105
"2024-08-01",1,79,0.03752969121140143,2105
"2024-08-01",7,20,0.009501187648456057,2105
"2024-09-01",2,86,0.04321608040201005,1990
"2024-09-01",1,70,0.035175879396984924,1990
"2024-09-01",0,92,0.04623115577889447,1990
"2024-09-01",4,31,0.015577889447236181,1990
"2024-09-01",3,91,0.0457286432160804,1990
"2024-09-01",6,24,0.012060301507537688,1990
"2024-09-01",7,24,0.012060301507537688,1990
"2024-09-01",5,26,0.01306532663316583,1990
"2024-09-01",9,26,0.01306532663316583,1990
"2024-09-01",8,31,0.015577889447236181,1990
"2024-10-01",6,18,0.011378002528445006,1582
"2024-10-01",7,19,0.012010113780025285,1582
"2024-10-01",5,24,0.015170670037926675,1582
"2024-10-01",4,22,0.01390644753476612,1582
"2024-10-01",1,101,0.0638432364096081,1582
"2024-10-01",0,75,0.04740834386852086,1582
"2024-10-01",2,73,0.0461441213653603,1582
"2024-10-01",3,25,0.01580278128950695,1582
"2024-10-01",8,13,0.008217446270543615,1582
"2024-11-01",3,87,0.01248385708136031,6969
"2024-11-01",2,152,0.021810876739847898,6969
"2024-11-01",0,340,0.048787487444396614,6969
"2024-11-01",1,460,0.066006600660066,6969
"2024-11-01",4,97,0.013918783182666093,6969
"2024-11-01",5,82,0.011766394030707419,6969
"2024-11-01",7,70,0.01004448270914048,6969
"2024-11-01",6,113,0.016214664944755344,6969
"2024-12-01",1,450,0.03826205254655216,11761
"2024-12-01",0,678,0.057648159170138595,11761
"2024-12-01",2,200,0.017005356687356518,11761
"2024-12-01",3,161,0.013689312133321996,11761
"2024-12-01",6,125,0.010628347929597824,11761
"2024-12-01",5,150,0.012754017515517389,11761
"2024-12-01",4,127,0.01079840149647139,11761
