"New or returning customer","Month","Customers","Orders","Total sales"
"New","2025-01-01",4355,4355,2469661.29
"Returning","2025-01-01",2386,2574,728158.12
"New","2025-02-01",2827,2827,1628619.28
"Returning","2025-02-01",1608,1738,472612.31
"New","2025-03-01",2820,2820,1737039.59
"Returning","2025-03-01",1745,1995,554324.74
"New","2025-04-01",2560,2560,1518148.68
"Returning","2025-04-01",1374,1459,437233.25
"New","2025-05-01",4753,4753,2658183.3
"Returning","2025-05-01",2197,2383,826742.78
"New","2025-06-01",2238,2238,1202921.01
"Returning","2025-06-01",1834,1990,630253.22
"New","2025-07-01",1807,1807,848435.7
"Returning","2025-07-01",1081,1153,303918.57
