"Day","Online store visitors","Sessions","Added to cart rate","Reached checkout rate","Conversion rate","Average order value","Transactions","Day (previous_year)","Online store visitors (previous_year)","Sessions (previous_year)","Added to cart rate (previous_year)","Reached checkout rate (previous_year)","Conversion rate (previous_year)","Average order value (previous_year)","Transactions (previous_year)","Online store visitors (previous_year) ","Sessions (previous_year) ","Added to cart rate (previous_year) ","Reached checkout rate (previous_year) ","Conversion rate (previous_year) ","Average order value (previous_year) ","Transactions (previous_year) "
"2025-01-01",29572,32630,0.0684646031259577,0.06380631320870364,0.01657983450812136,608.652,581,"2024-01-01",20521,23010,0.04380704041720991,0.05167318557149066,0.015514993481095175,655.073,408,44.10603771746016,41.80790960451977,56.28675773098081,23.480510255026978,6.863303090160361,-7.086,42.40196078431372
"2025-01-02",23874,26750,0.06833644859813084,0.0657570093457944,0.01319626168224299,483.019,449,"2024-01-02",19103,21468,0.03372461337805105,0.03656605179802497,0.011226010806782188,595.845,325,24.975134795581845,24.60406185951183,102.63078432384988,79.83076135484256,17.55076588978942,-18.935,38.15384615384615
"2025-01-03",23791,26424,0.043256130790190736,0.04056917953375719,0.00904480775052982,521.728,270,"2024-01-03",18835,21148,0.03035748061282391,0.032910913561566106,0.009788159636845092,569.807,242,26.31271568887709,24.947985625118214,42.48919843472798,23.26968516952543,-7.5943988849252895,-8.437,11.570247933884298
"2025-01-04",23274,25859,0.036466994083297885,0.029080784253064696,0.006496770950152751,567.403,230,"2024-01-04",18204,20523,0.030063830823953613,0.029138040247527166,0.008137211908590363,442.914,206,27.851021753460778,26.000097451639625,21.298560708512557,-0.19649912614603143,-20.159742389230598,28.106,11.650485436893204
"2025-01-05",21459,23875,0.04121465968586387,0.031916230366492146,0.0077486910994764395,576.639,213,"2024-01-05",17331,19493,0.02806135535833376,0.03006207356486944,0.008361976093982456,451.762,238,23.818590964168255,22.479864566767557,46.87337500119642,6.167760841984879,-7.334211287058756,27.642,-10.504201680672269
"2025-01-06",18176,20310,0.03983259478089611,0.033727227966518954,0.010192023633677992,529.47,232,"2024-01-06",17595,19666,0.0280687480931557,0.02878063663175023,0.007830773924539815,566.539,183,3.3020744529695936,3.2746872775348317,41.910834956721544,17.18721999815578,30.15346544150089,-6.543,26.775956284153004
"2025-01-07",17583,19919,0.03504191977508911,0.02911792760680757,0.009789648074702546,481.697,225,"2024-01-07",18350,20309,0.03028214092274361,0.02821409227436112,0.008075237579398296,575.785,182,-4.179836512261581,-1.9203308877837413,15.718105481672316,3.2034889645122115,21.23046509093538,-16.34,23.626373626373628
"2025-01-08",15945,17881,0.033890721995414125,0.027515239639841173,0.008221016721659863,483.436,229,"2024-01-08",16025,17981,0.03042099994438574,0.030142928646905067,0.007897224848451142,572.515,164,-0.49921996879875197,-0.5561425949613481,11.405680475236084,-8.717431002954958,4.10007160011691,-15.559,39.63414634146341
"2025-01-09",14413,16165,0.03278688524590164,0.02740488710176307,0.009093721002165172,566.929,208,"2024-01-09",15784,17777,0.02840749282781122,0.029757551892895313,0.0101816954491759,469.799,224,-8.686011150532185,-9.06789672048152,15.41632851809771,-7.906110017383346,-10.685592124038525,20.674,-7.142857142857143
"2025-01-10",17229,18892,0.028477662502646623,0.02344907897522761,0.007622273978403557,530.844,226,"2024-01-10",14396,16152,0.03107974244675582,0.03417533432392273,0.008853392768697375,588.697,193,19.67907752153376,16.96384348687469,-8.372269971564094,-31.38595586813834,-13.905615874703322,-9.827,17.098445595854923
"2025-01-11",15002,16600,0.03572289156626506,0.026807228915662652,0.008313253012048192,550.741,161,"2024-01-11",14117,15669,0.027825642989342012,0.02871912693854107,0.009381581466590082,499.418,170,6.269037330877665,5.941668262173719,28.381189897203505,-6.657228915662646,-11.387509220555703,10.276,-5.294117647058823
"2025-01-12",17115,18606,0.03617112759324949,0.02762549715145652,0.009566806406535526,509.294,190,"2024-01-12",14158,15814,0.03231314025546984,0.02940432528139623,0.007841153408372329,398.4,212,20.885718321796865,17.655242190464147,11.939376078208886,-6.0495458165304505,22.007642349155486,27.834,-10.377358490566039
"2025-01-13",15611,17106,0.030749444639307844,0.0270080673447913,0.008827312054249971,526.56,226,"2024-01-13",15702,17288,0.030367885238315594,0.02822767237390097,0.008040259139287367,589.464,159,-0.5795440071328494,-1.052753354928274,1.2564569379721935,-4.320600767059017,9.78889985170755,-10.671,42.138364779874216
"2025-01-14",15048,16571,0.035966447408122625,0.028061070544927885,0.008146762416269387,558.828,174,"2024-01-14",16034,17850,0.03210084033613445,0.02991596638655462,0.008123249299719889,657.436,177,-6.149432456030934,-7.165266106442577,12.042074386560014,-6.200354077347797,0.28945457269555086,-14.998,-1.694915254237288
"2025-01-15",17639,19243,0.03263524398482565,0.02499610247882347,0.007639141506002182,454.736,203,"2024-01-15",17538,19622,0.03648965446947304,0.03389053103659158,0.009377229640199776,633.744,196,0.5758923480442468,-1.9315054530628886,-10.563022699685899,-26.244583031658024,-18.535198570231078,-28.246,3.5714285714285716
"2025-01-16",18810,20444,0.029006065349246723,0.022891801995695557,0.0078751711993739,543.505,175,"2024-01-16",15656,17612,0.031228707699295935,0.031399046104928455,0.008914376561435384,544.506,183,20.145631067961165,16.0799454917102,-7.117304921648495,-27.09395718839237,-11.657633653902465,-0.183,-4.371584699453552
"2025-01-17",17515,19024,0.029068544995794785,0.02349663582842725,0.00851555929352397,550.491,232,"2024-01-17",15392,17130,0.03111500291885581,0.028604786923525978,0.008464681844716871,581.222,159,13.792879417879417,11.056625802685348,-6.5770777152036315,-17.857679236539028,0.6010556538383447,-5.287,45.911949685534594
"2025-01-18",19653,21269,0.027739903145422917,0.019041797921858103,0.006488316328929428,493.946,219,"2024-01-18",14768,16500,0.03296969696969697,0.030727272727272728,0.008666666666666666,510.887,258,33.07827735644637,28.903030303030302,-15.862426121419459,-38.02965173359789,-25.134811589275827,-3.315,-15.116279069767442
"2025-01-19",20971,22557,0.03639668395619985,0.026200292592100015,0.007935452409451612,525.153,231,"2024-01-19",15818,17636,0.03152642322522114,0.031129507824903608,0.009412565207530052,479.781,253,32.57681122771526,27.90315264232252,15.448186735888582,-15.834542776998937,-15.692988739103228,9.456,-8.695652173913043
"2025-01-20",19245,20773,0.03350503056852645,0.025706445867231503,0.008665094112549945,566.787,191,"2024-01-20",15763,17712,0.03031842818428184,0.028229448961156277,0.008017163504968384,645.827,153,22.089703736598363,17.282068654019874,10.51044719362022,-8.93748615991912,8.081793606679302,-12.238,24.836601307189543
"2025-01-21",19572,21128,0.02730973116243847,0.02224536160545248,0.007241575160923892,533.316,174,"2024-01-21",21436,23428,0.026677479938535087,0.025653064708895338,0.008152637869216323,586.765,217,-8.695652173913043,-9.817312617380912,2.3699810677773505,-13.283805042838475,-11.17506656014401,-9.109,-19.81566820276498
"2025-01-22",17680,19075,0.029043250327653997,0.021336828309305375,0.00781127129750983,421.747,184,"2024-01-22",15382,17062,0.029832376040323526,0.03077013245809401,0.007619270894385183,515,146,14.939539721752698,11.798147931074903,-2.645198999915031,-30.65734007364413,2.5199314447020957,-18.107,26.027397260273972
"2025-01-23",17090,18602,0.03402859907536824,0.026448768949575315,0.009568863563057736,462.88,240,"2024-01-23",15607,17460,0.029667812142038945,0.029037800687285224,0.008304696449026346,514.593,202,9.502146472736593,6.540664375715922,14.698714257901445,-8.916073794953652,15.222315731715915,-10.049,18.81188118811881
"2025-01-24",17606,18940,0.03236536430834213,0.025237592397043294,0.008870116156283,433.771,177,"2024-01-24",16789,18752,0.030130119453924915,0.025223976109215018,0.00751919795221843,472.098,163,4.866281493835249,1.0025597269624573,7.41863920531533,0.05398152840503885,17.96625401604171,-8.118,8.588957055214724
"2025-01-25",16756,18086,0.033340705518080285,0.025544620148180913,0.009344244166758818,450.904,240,"2024-01-25",15128,16923,0.03072741239732908,0.03031377415351888,0.008863676653075695,511.964,178,10.761501850872554,6.872303965018022,8.504761438937052,-15.73263025971431,5.421762689372997,-11.926,34.831460674157306
"2025-01-26",18502,19909,0.03129238033050379,0.023255813953488372,0.007885880757446381,567.798,165,"2024-01-26",13440,14960,0.028475935828877006,0.029211229946524066,0.008689839572192513,542.465,231,37.663690476190474,33.081550802139034,9.890612616041484,-20.387419509339583,-9.25171066815549,4.669,-28.571428571428573
"2025-01-27",20608,22113,0.027495138606249716,0.021390132501243612,0.007190340523673857,457.769,168,"2024-01-27",15188,16911,0.029684820531015316,0.028561291467092426,0.007746437230205192,586.775,155,35.6860679483803,30.76104310803619,-7.376436460101804,-25.107964652478113,-7.178741529886571,-21.985,8.387096774193548
"2025-01-28",18893,20323,0.029178762977906805,0.023126506913349408,0.007971264085026818,459.599,217,"2024-01-28",15787,17447,0.02980455092566057,0.029689918037484955,0.007680403507766378,609.622,150,19.674415658453157,16.484209319653807,-2.099638908549995,-22.106531637604807,3.7870481279573793,-24.609,44.666666666666664
"2025-01-29",20332,21708,0.02529021558872305,0.020222959277685647,0.006587433204348628,453.829,178,"2024-01-29",16361,18045,0.029648101967303962,0.02798559157661402,0.008257134940426712,524.955,191,24.27113257135872,20.299251870324188,-14.698702747942532,-27.737960363200497,-20.221320689616793,-13.548,-6.806282722513089
"2025-01-30",21277,22588,0.022755445369222596,0.018992385337347265,0.006375066406941739,416.273,176,"2024-01-30",20226,22102,0.023482037824631256,0.022848610985431183,0.006560492263143607,494.914,168,5.196282013250272,2.1988960275088227,-3.0942478707981134,-16.877286984940742,-2.826401568119777,-15.889,4.761904761904762
"2025-01-31",22534,23806,0.02192724523229438,0.017642611106443752,0.0058388641518944805,469.154,240,"2024-01-31",17610,19506,0.028401517481800472,0.02752999077207013,0.007484876448272326,542.658,172,27.961385576377058,22.04449912847329,-22.79551525250286,-35.914939992124424,-21.991175241881,-13.545,39.53488372093023
"2025-02-01",26236,27452,0.017958618679877605,0.01406090630919423,0.004808392831123416,527.477,154,"2024-02-01",14849,16605,0.03143631436314363,0.02962962962962963,0.00921409214092141,518.157,208,76.68529867331134,65.32369768142127,-42.873014716596245,-52.54444120646947,-47.8147954504547,1.798,-25.96153846153846
"2025-02-02",28609,29777,0.01934378883030527,0.01487725425664103,0.005037445007891998,486.626,182,"2024-02-02",13213,14919,0.03565922648971111,0.033581339231852,0.010389436289295529,517.709,230,116.52160750775751,99.5911254105503,-45.753762112908966,-55.69785304294859,-51.51377930790921,-6.003,-20.869565217391305
"2025-02-03",25008,26143,0.01686876027999847,0.014688444325440845,0.005546417779137819,485.118,182,"2024-02-03",14068,15917,0.03141295470251932,0.02714079286297669,0.007099327762769366,649.45,134,77.76514074495309,64.24577495759252,-46.299988524652875,-45.88056288702733,-21.874042663241887,-25.303,35.82089552238806
"2025-02-04",25471,26821,0.019648782670295663,0.01603221356399836,0.005145222027515752,516.379,156,"2024-02-04",15231,16644,0.029139629896659455,0.02968036529680365,0.008892093246815669,561.869,159,67.2313045761933,61.14515741408315,-32.57023943002041,-45.983772761297836,-42.13711119866744,-8.096,-1.8867924528301887
"2025-02-05",23842,25108,0.019077584833519196,0.014338059582603155,0.004938664967341086,557.281,200,"2024-02-05",13394,14782,0.03078067920443783,0.03267487484778785,0.010215126505209038,566.738,196,78.00507690010453,69.85522933297253,-38.02091010789434,-56.11900688404973,-51.65341354487686,-1.668,2.0408163265306123
"2025-02-06",24895,26306,0.021325933247167948,0.01691629286094427,0.005436022200258496,385.741,160,"2024-02-06",14338,15778,0.030422106730891116,0.02820382811509697,0.007859044238813537,559.87,163,73.62951597154415,66.72582076308784,-29.899880255455027,-40.021287919105916,-30.831001390581815,-31.101,-1.8404907975460123
"2025-02-07",24638,25899,0.016680180701957606,0.014093208231978068,0.004054210587281362,460.637,144,"2024-02-07",14325,15746,0.030420424234726278,0.02972183411660104,0.00743045852915026,586.891,149,71.99301919720767,64.47986790295948,-45.16782352128925,-52.58297931181055,-45.437948797151854,-21.512,-3.3557046979865772
"2025-02-08",29514,30793,0.019160198746468352,0.015198259344656254,0.0042542136199785665,409.983,158,"2024-02-08",15080,16674,0.036883771140698095,0.0368237975290872,0.009595777857742594,461.391,248,95.71618037135279,84.6767422334173,-48.05249530103849,-58.727072261759226,-55.665776312798364,-11.141,-36.29032258064516
"2025-02-09",35404,36627,0.016435962541294674,0.012477134354437983,0.00442296666393644,545.383,174,"2024-02-09",13840,15560,0.03586118251928021,0.03496143958868895,0.009318766066838046,554.477,170,155.8092485549133,135.39203084832906,-54.16781771638976,-64.311726000909,-52.5369922132062,-1.64,2.3529411764705883
"2025-02-10",30304,31794,0.01641819211171919,0.013461659432597346,0.004403346543372964,429.978,170,"2024-02-10",12638,14092,0.03498438830542151,0.034345728072665345,0.009650865739426626,538.546,189,139.7847760721633,125.61737155833097,-53.0699466047978,-60.80543290823103,-54.37355919910897,-20.159,-10.052910052910052
"2025-02-11",29887,31222,0.018352443789635513,0.014476971366344245,0.004804304656972648,547.636,156,"2024-02-11",12352,13649,0.03370210271814785,0.029452707158033557,0.007985933035387208,570.434,157,141.96081606217618,128.74935892739396,-45.54510754679672,-50.84672085093716,-39.84040893300948,-3.996,-0.6369426751592356
"2025-02-12",35416,36934,0.015108030540964965,0.01226512156820274,0.004061298532517464,520.224,196,"2024-02-12",12700,14213,0.03799338633645254,0.03707873073946387,0.009568704706958418,549.181,150,178.86614173228347,159.86069091676634,-60.23510405949351,-66.92140932659099,-57.55644408627153,-5.272,30.666666666666668
"2025-02-13",25198,26532,0.019071310116086235,0.016018392884064526,0.0048620533695160565,483.852,147,"2024-02-13",12501,13895,0.03324937027707808,0.03382511694854264,0.009787693414897445,582.959,169,101.56787457003439,90.94638359121986,-42.64159002964973,-52.64349593104754,-50.324829728363525,-17,-13.017751479289942
"2025-02-14",23594,24820,0.018170829975825947,0.014987912973408542,0.004673650282030621,566.061,184,"2024-02-14",10845,12198,0.034923757993113626,0.0367273323495655,0.010903426791277258,470.857,155,117.55647763946519,103.47597966879816,-47.97000374527585,-59.1913923103488,-57.13595027051916,20.219,18.70967741935484
"2025-02-15",22477,23843,0.021599630918927987,0.016105355869647276,0.0050748647401753135,368.779,150,"2024-02-15",11957,13240,0.035196374622356495,0.03580060422960725,0.009214501510574019,442.181,184,87.98193526804383,80.08308157099698,-38.63109155223036,-55.013731705879756,-44.92523839350726,-16.599,-18.47826086956522
"2025-02-16",24347,25574,0.021623523891452258,0.01673574724329397,0.005630718698678345,598.781,163,"2024-02-16",14327,16048,0.05022432701894317,0.05309072781655035,0.01202642073778664,541.889,215,69.9378795281636,59.35942173479561,-56.94611520967422,-68.47708077929794,-53.180428146948145,10.498,-24.186046511627907
"2025-02-17",26015,27465,0.020098306936100492,0.0151465501547424,0.005898416166029492,598.635,173,"2024-02-17",13960,15734,0.04728613194356172,0.04982839710181772,0.01277488242023643,549.846,231,86.3538681948424,74.55828142875302,-57.496403046692855,-69.60257396240854,-53.82801992223481,8.873,-25.10822510822511
"2025-02-18",25315,26575,0.017460018814675446,0.013433678269049858,0.00451552210724365,457.778,148,"2024-02-18",18748,20418,0.03697717700068567,0.03580174355960427,0.010236066216083847,544.407,225,35.027736291871136,30.154765403075718,-52.781633886351884,-62.477586470935705,-55.886157710190986,-15.912,-34.22222222222222
"2025-02-19",26240,27675,0.01669376693766938,0.013261065943992774,0.004083107497741644,401.484,166,"2024-02-19",17117,19004,0.04962113239318038,0.05351504946327089,0.014628499263312987,595.293,307,53.2978909855699,45.62723637129025,-66.35754539942006,-75.21993144546326,-72.08799464493447,-32.556,-45.928338762214985
"2025-02-20",25743,27156,0.017049639122109293,0.013772278686109883,0.004308440123729562,511.198,140,"2024-02-20",13679,15258,0.036570979158474244,0.03807838510945078,0.008847817538340543,481.071,173,88.19358140214928,77.97876523790798,-53.37932012094201,-63.83176795306977,-51.30505229046988,6.262,-19.07514450867052
"2025-02-21",19211,20604,0.02261696757911085,0.017957678120753252,0.0062123859444768005,438.495,158,"2024-02-21",14874,16446,0.02766630183631278,0.02815274230816004,0.007053386841785236,536.71,136,29.158262740352292,25.282743524261218,-18.250846416251196,-36.2133964635188,-11.923362721667703,-18.299,16.176470588235293
"2025-02-22",14311,15535,0.02813002896684905,0.022851625362085612,0.007724493080141615,553.623,135,"2024-02-22",11840,13195,0.03228495642288746,0.03190602500947329,0.009473285335354301,453.416,145,20.86993243243243,17.733990147783253,-12.869546427799715,-28.378338087239996,-18.46025104602511,22.1,-6.896551724137931
"2025-02-23",16967,18189,0.026059706415965694,0.019682225520919236,0.005882676342844576,500.619,121,"2024-02-23",12105,13491,0.039507820028166926,0.03847009117189237,0.013193981172633608,383.079,221,40.16522098306485,34.82321547698466,-34.03911833812511,-48.83759065458162,-55.41394014532799,30.682,-45.248868778280546
"2025-02-24",15815,17043,0.027635979581059674,0.021416417297424162,0.007862465528369418,503.798,155,"2024-02-24",11239,12492,0.035782901056676274,0.03594300352225424,0.010086455331412104,521.366,192,40.7153661357772,36.43131604226705,-22.76763827145471,-40.41561583977224,-22.049270333023195,-3.369,-19.270833333333332
"2025-02-25",14522,15750,0.025968253968253967,0.021714285714285714,0.006920634920634921,438.835,167,"2024-02-25",11755,12973,0.037308255607800815,0.03214368303399368,0.009327063901950204,498.997,147,23.53891960867716,21.405997070839437,-30.395421749967205,-32.446180198698194,-25.800498491407573,-12.056,13.605442176870747
"2025-02-26",16274,17630,0.025014180374361882,0.02127056154282473,0.0064662507090187185,463.586,133,"2024-02-26",12055,13307,0.03659727962726385,0.03772450589915082,0.009844442774479597,533.505,147,34.99792617171298,32.48666115578267,-31.650164632108105,-43.61606325689866,-34.31572657640298,-13.105,-9.523809523809524
"2025-02-27",16164,17404,0.019765571133072857,0.01729487474143875,0.005918179728797978,535.782,126,"2024-02-27",15438,16946,0.057122624808214326,0.055647350407175736,0.012805381801014988,321.215,269,4.702681694520016,2.7027027027027026,-65.39799913005655,-68.92057822180053,-53.78365268008731,66.798,-53.15985130111524
"2025-02-28",14215,15357,0.022269974604414926,0.018037377091879924,0.0071628573289053855,456.973,132,"2024-02-28",13903,15675,0.03783094098883573,0.036618819776714516,0.009122807017543859,518.745,177,2.244119974106308,-2.028708133971292,-41.13290861311906,-50.742877018254745,-21.484063894690962,-11.907,-25.423728813559322
"2025-03-01",12612,13702,0.024886877828054297,0.018902350021894613,0.00620347394540943,443.403,108,"2024-02-29",12242,13689,0.03864416684929505,0.04105486156768208,0.01103075462049821,456.987,178,3.0223819637314167,0.0949667616334283,-35.599911041921494,-53.95831504453463,-43.762016663106174,-2.972,-39.325842696629216
"2025-03-02",18395,19621,0.0232404056877835,0.017787064879465877,0.005912033025839662,515.175,135,"2024-03-01",11826,13189,0.03237546440215331,0.041549776328758815,0.010387444082189704,440.77,151,55.54709961102655,48.767912654484796,-28.21599282993523,-57.19094914319791,-43.08481490671584,16.88,-10.596026490066226
"2025-03-03",16035,17232,0.021413649025069637,0.0167711234911792,0.005280872794800371,472.001,105,"2024-03-02",11743,13106,0.031130779795513507,0.03227529375858385,0.008469403326720587,656.305,126,36.54943370518607,31.481764077521746,-31.21390095035229,-48.03727080959938,-37.6476406768886,-28.082,-16.666666666666668
"2025-03-04",19982,21456,0.02092654735272185,0.01715137956748695,0.006058911260253542,486.879,164,"2024-03-03",13265,14633,0.03287090822114399,0.0327342308480831,0.009157383995079614,643.119,154,50.637014700339236,46.627485819722544,-36.33717933214578,-47.60414672003412,-33.83578472291785,-24.294,6.4935064935064934
"2025-03-05",16692,18001,0.02272095994666963,0.018665629687239598,0.006555191378256764,478.922,141,"2024-03-04",13565,15054,0.029294539657233956,0.03361232894911651,0.007705593197821177,574.789,155,23.051971986730557,19.576192374119834,-22.439607474565843,-44.467907250651194,-14.929438785967827,-16.678,-9.03225806451613
"2025-03-06",18361,19602,0.022293643505764717,0.01637588001224365,0.004999489847974697,719.706,125,"2024-03-05",12656,13992,0.02908805031446541,0.03466266437964551,0.008719268153230417,488.636,154,45.07743362831859,40.094339622641506,-23.358068812614274,-52.756430282203475,-42.6615885632279,47.288,-18.83116883116883
"2025-03-07",15367,16586,0.02496081032195828,0.020016881707464126,0.006692391173278669,312.216,132,"2024-03-06",13757,15297,0.02745636399293979,0.034385827286396026,0.008433026083545793,433.525,148,11.703132950497928,8.426488854023665,-9.089162977381946,-41.78740694314092,-20.640691645237364,-27.982,-10.81081081081081
"2025-03-08",14051,15271,0.029729552747036866,0.02246087355117543,0.007858031563093445,560.99,133,"2024-03-07",12751,14100,0.02652482269503546,0.03276595744680851,0.006879432624113475,537.555,129,10.195278801662615,8.304964539007091,12.08200367198391,-31.45058072043862,14.224994886203689,4.359,3.10077519379845
"2025-03-09",13469,14449,0.02837566613606478,0.021662398781922623,0.008581908782614714,608.361,138,"2024-03-08",12244,13595,0.029937477013607945,0.03869069510849577,0.008826774549466716,433.004,165,10.004900359359686,6.281721221037146,-5.216908815773797,-44.01134763493573,-2.774125083627477,40.497,-16.363636363636363
"2025-03-10",14800,15971,0.022728695761066935,0.019911088848537976,0.007137937511740028,512.718,140,"2024-03-09",11870,13169,0.03060217176702863,0.03705672412483864,0.007821398739463893,576.735,153,24.68407750631845,21.277242007745464,-25.728487722707083,-46.26862109704987,-8.73835039601512,-11.099,-8.49673202614379
"2025-03-11",14501,15753,0.02304322986097886,0.01637783279375357,0.005459277597917857,450.411,99,"2024-03-10",11762,12943,0.03152283087383141,0.03878544386927297,0.009271420845244533,579.562,137,23.28685597687468,21.710577145947617,-26.89987154640946,-57.7732490339537,-41.11714170845764,-22.284,-27.73722627737226
"2025-03-12",15158,16363,0.02334535231925686,0.017967365397543237,0.006478029701155045,420.343,123,"2024-03-11",10991,12216,0.027832351015062214,0.03970203012442698,0.008022265880812049,613.602,125,37.91283777636248,33.94728225278323,-16.12152237292888,-54.74446686672409,-19.24937670478567,-31.495,-1.6
"2025-03-13",13397,14452,0.02186548574591752,0.019651259341267643,0.005743149737060614,430.654,106,"2024-03-12",10742,12003,0.02865950179121886,0.0393235024577189,0.00899775056235941,500.837,135,24.716067771364738,20.403232525202032,-23.70598098597442,-50.026680959060265,-36.17127195005689,-14.013,-21.48148148148148
"2025-03-14",13903,15069,0.024420996748291193,0.019908421262193908,0.00723339305859712,500.767,130,"2024-03-13",10539,11803,0.03100906549182411,0.0427010082182496,0.009150216046767771,466.876,123,31.91953695796565,27.67093111920698,-21.245621688502467,-53.37716346077883,-20.948390490165,7.259,5.691056910569106
"2025-03-15",15189,16274,0.023903158412191226,0.018434312400147475,0.006021875384048175,584.441,119,"2024-03-14",10208,11298,0.03558151885289432,0.046468401486988845,0.010621348911311737,473.906,142,48.79506269592476,44.043193485572665,-32.821421954990925,-60.32935971488263,-43.304043259186436,23.324,-16.197183098591548
"2025-03-16",16929,18061,0.022811582968827862,0.019766347378328997,0.007031725818061016,563.064,152,"2024-03-15",11134,12416,0.038337628865979384,0.048646907216494846,0.012725515463917526,433.301,194,52.04778156996587,45.46552835051546,-40.4981903065196,-59.36772035607073,-44.74309635630027,29.947,-21.649484536082475
"2025-03-17",16720,17942,0.023185820978709176,0.018671274105450896,0.006186601270761342,520.354,130,"2024-03-16",9335,10374,0.03913630229419703,0.04299209562367457,0.012145748987854251,514.16,145,79.11087305838244,72.95160979371505,-40.756229844056904,-56.57044897534807,-49.06364953739828,1.204,-10.344827586206897
"2025-03-18",14336,15418,0.025619405889220393,0.021403554287196782,0.006226488519911791,473.005,120,"2024-03-17",11631,13145,0.07151007987828072,0.09296310384176493,0.02312666413084823,510.398,322,23.25681368755911,17.291745910992773,-64.17371378576574,-76.97629123525354,-73.07658171242088,-7.326,-62.732919254658384
"2025-03-19",14435,15585,0.02297080526146936,0.0191851138915624,0.006929740134744947,534.443,127,"2024-03-18",10777,12150,0.03950617283950617,0.052592592592592594,0.01308641975308642,532.558,205,33.942655655562774,28.271604938271604,-41.85514918190568,-63.52126231886023,-47.04632538543956,0.353,-38.048780487804876
"2025-03-20",12305,13361,0.028515829653469053,0.022528253873213083,0.007409625028066761,465.681,109,"2024-03-19",11360,12692,0.036243302867948315,0.04672234478411598,0.01055783170501103,642.448,188,8.318661971830986,5.271036873621179,-21.321106530037127,-51.78269845551088,-29.818685928191545,-27.514,-42.02127659574468
"2025-03-21",10562,11675,0.05498929336188437,0.049507494646680944,0.013276231263383297,435.08,180,"2024-03-20",10589,11822,0.027152766029436642,0.03510404330908476,0.009050922009812215,554.066,117,-0.2549815846633299,-1.2434444256470987,102.51820128479659,41.03074740073785,46.683743921231155,-21.475,53.84615384615385
"2025-03-22",11210,12461,0.07696011556054891,0.0738303506941658,0.018698338817109382,447.094,263,"2024-03-21",10296,11399,0.02824809193788929,0.03509079743837179,0.009123607333976665,432.594,129,8.877233877233877,9.316606719887709,172.4435892157444,110.39804189069896,104.94458093868253,3.351,103.87596899224806
"2025-03-23",14073,15501,0.08728469131023806,0.08367202115992517,0.02593381072188891,481.782,432,"2024-03-22",11414,12549,0.023587536855526336,0.02916567057136027,0.006932823332536457,458.881,142,23.29595233923252,23.523786755916806,270.04580785546534,186.8852987803008,274.0728629298666,4.99,204.22535211267606
"2025-03-24",10283,11408,0.05233169705469846,0.046020336605890604,0.013061009817671809,453.373,176,"2024-03-23",10715,11722,0.029346527896263436,0.03378263095034977,0.009042825456406757,638.929,130,-4.031731217918805,-2.678723767275209,78.32330025441144,36.22484487228526,44.43505385164994,-29.041,35.38461538461539
"2025-03-25",9729,10807,0.038215971129823265,0.03331174238919219,0.008883131303784583,372.178,139,"2024-03-24",10808,11859,0.02942912555864744,0.03187452567670124,0.008516738342187368,705.418,121,-9.983345669874167,-8.87089973859516,29.857650896439566,4.508982273394237,4.3020337936449256,-47.24,14.87603305785124
"2025-03-26",11207,12192,0.031578083989501314,0.026984908136482938,0.007791994750656168,466.222,102,"2024-03-25",10337,11477,0.025355057941970897,0.03310969765618193,0.00775463971421103,661.309,105,8.416368385411628,6.229851006360547,24.543529191583023,-18.498476136206662,0.4817120823380312,-29.5,-2.857142857142857
"2025-03-27",11755,12881,0.03307196646223119,0.029888983774551667,0.009937116683487308,501.448,145,"2024-03-26",10821,12058,0.027865317631448002,0.03524630950406369,0.00829324929507381,636.842,133,8.63136493854542,6.825344169845746,18.685051071899913,-15.199678505048468,19.821752969489957,-21.26,9.022556390977444
"2025-03-28",14914,15949,0.023825945200326038,0.020001253997115807,0.005768386732710515,336.655,122,"2024-03-27",10265,11459,0.02504581551618815,0.03708875119993019,0.008464962038572301,503.877,108,45.28981977593765,39.183174797102716,-4.870555383088481,-46.0719130463647,-31.855728278216706,-33.187,12.962962962962964
"2025-03-29",15804,16871,0.026198802679153577,0.020152925137810442,0.005393871139825737,486.743,101,"2024-03-28",10980,12243,0.028261047128971657,0.03700073511394266,0.007759536061422854,604.321,115,43.9344262295082,37.80119251817365,-7.297126820555708,-45.533716895758666,-30.487195405382636,-19.456,-12.173913043478262
"2025-03-30",13950,14833,0.03006809141778467,0.02447246005528214,0.0070788107597923545,498.364,110,"2024-03-29",9697,10833,0.028800886181113265,0.03729345518323641,0.008861811132650235,563.072,130,43.858925440857995,36.92421305270931,4.399882797711966,-34.37867332206152,-20.12004483246815,-11.491,-15.384615384615385
"2025-03-31",14512,15580,0.026829268292682926,0.021052631578947368,0.005840821566110398,435.604,107,"2024-03-30",9669,10715,0.027998133457769483,0.032664489034064395,0.008772748483434437,462.39,129,50.08790981487227,45.40363975734951,-4.174796747967486,-35.54887218045113,-33.42084778630541,-5.792,-17.05426356589147
