"Product title","Product type","Day","Net items sold","Gross sales","Discounts","Returns","Net sales","Taxes","Total sales","New customers","Returning customers"
"Full Spectrum Infrared Sauna","Infrared Sauna","2024-01-01",2,12598,0,0,12598,868.87,13466.87,2,0
"PEMF Go Mat Starter Kit","Rituals & Kits","2024-01-01",14,8806,0,0,8806,594.12,9400.12,10,4
"Best Seller Bundle","Rituals & Kits","2024-01-01",10,17490,0,0,17490,1379.52,18869.52,8,2
"HigherDOSE Mat Cover","Tools & Accessories","2024-01-01",10,750,-84.85,0,665.15,52.55,717.7,5,4
"Red Light Skin Starter Kit","Rituals & Kits","2024-01-01",14,8722,0,0,8722,690.74,9412.74,11,3
"HigherDOSE PEMF Pro Mat","PEMF","2024-01-01",17,23705,-3624.45,-1100.75,18979.8,1400.07,20379.87,15,3
"HigherDOSE Oxytocin Oil","Body Care","2024-01-01",5,375,-71.25,0,303.75,21.39,325.14,2,3
"PEMF Pro Mat Starter Kit","Rituals & Kits","2024-01-01",15,17985,0,0,17985,1294.69,19279.69,12,3
"Sauna Blanket Starter Kit","Rituals & Kits","2024-01-01",101,70599,0,0,70599,5160.12,75759.12,92,9
"Red Light Neck Enhancer","Face & Neck","2024-01-01",7,2443,-449,0,1994,83.99,2077.99,4,3
"Infrared PEMF Go Mat","PEMF","2024-01-01",11,7748,-1232.1,0,6515.9,439.07,6954.97,6,5
"HigherDOSE Endorphin Oil","Body Care","2024-01-01",7,525,-75,0,450,32.31,482.31,5,2
"Light-Activated Glow Serum","Face & Neck","2024-01-01",21,1635.3,-177.75,0,1457.55,109.71,1567.26,6,13
"SUPERCHARGE Copper Body Brush","Body Care","2024-01-01",15,1031.32,-171.94,0,859.38,58.95,918.33,6,9
"Ultimate Biohacking Bundle","Rituals & Kits","2024-01-01",12,22788,0,0,22788,1776.07,24564.07,12,0
"Biohacker's Bath Bundle","HOLIDAY BUNDLE","2024-01-01",2,498,0,0,498,32.99,530.99,1,1
"HigherDOSE Serotonin Soak Salt","Body Care","2024-01-01",30,1774.2,-113.55,0,1660.65,116.62,1777.27,8,17
