"Product title","Product vendor","Product type","Net items sold","Gross sales","Discounts","Returns","Net sales","Taxes","Total sales"
"HigherDOSE PEMF Pro Mat","HigherDOSE","Grounding Mat",1955,2824472.89,-310673.45,-206459.81,2307339.63,170420.46,2477760.09
"Red Light Hat","HigherDOSE","Red Light Hat",5454,2594250.66,-286160.79,-121353.86,2186736.01,161439.35,2348175.36
"Infrared Sauna Blanket","HigherDOSE","Wrap",2700,2332737.62,-270525.91,-233039.17,1829172.54,136013.34,1965185.88
"PEMF Pro Mat Starter Kit","HigherDOSE","HOLIDAY BUNDLE",936,1350328,-9211.07,-135508,1205608.93,87627.29,1293236.22
"HigherDOSE Red Light Face Mask","HigherDOSE","Face Mask",3859,1456797.63,-185455.31,-99924.42,1171417.9,85564.21,1256982.11
"Sauna Blanket Starter Kit","HigherDOSE","HOLIDAY BUNDLE",1278,1231306,-4554.57,-184811.9,1041939.53,76358.98,1118298.51
"Infrared PEMF Go Mat","HigherDOSE","Grounding Mat",1395,1152602.65,-142745.9,-129358.17,880498.58,64576.27,945074.85
"Microcurrent Body Sculptor Ritual Set","HigherDOSE","Body Sculptor",1387,560994,-101736.84,-5831.91,453425.25,33170.54,486595.79
"PEMF Go Mat Starter Kit","HigherDOSE","HOLIDAY BUNDLE",560,476196,-4578.8,-66570.5,405046.7,28849.96,433896.66
"Red Light Starter Kit","HigherDOSE","HOLIDAY BUNDLE",552,405050,-3448.5,-15292,386309.5,29346.03,415655.53
"Red Light Skin Starter Kit","HigherDOSE","HOLIDAY BUNDLE",496,316791,-3027.48,-18506.25,295257.27,21712.38,316969.65
"HigherDOSE Redlight FaceMask and Neck Enhancer Combo ( 1 Of Each)","HigherDOSE","Face Mask",526,312284.67,-1491.13,-18385.3,292408.24,21198.14,313606.38
"Best Seller Bundle","HigherDOSE","HOLIDAY BUNDLE",130,305967.51,-1527.32,-20110,284330.19,19470.83,303801.02
"Full Spectrum Infrared Sauna","HigherDOSE","Infrared Sauna",36,309963,-32812.86,-8999,268151.14,20079.45,288230.59
"Best Seller Plus Bundle","HigherDOSE","HOLIDAY BUNDLE",113,265837,-149.95,-17035,248652.05,18310.68,266962.73
"Red Light Neck Enhancer","HigherDOSE","Red Light Neck Enhancer",662,244317.2,-35103.34,-11797.55,197416.31,14476.22,211892.53
"Infrared Sauna Blanket Insert","HigherDOSE","Accessories",1812,218279.08,-24744.33,-11970.85,181563.9,13463.07,195026.97
"Turn Me on Kit","HigherDOSE","HOLIDAY BUNDLE",229,179811,-3794.65,-11644,164372.35,12139.45,176511.8
"Recovery Bundle","HigherDOSE","HOLIDAY BUNDLE",78,159633,-1840.53,-21422.65,136369.82,9317.69,145687.51
"The Sweat it Out Bundle","HigherDOSE","HOLIDAY BUNDLE",193,144594,-1133.27,-8944.5,134516.23,9911.46,144427.69
"Ultimate Biohacking Bundle","HigherDOSE","HOLIDAY BUNDLE",53,144753,-2582.95,-14774,127396.05,9642.87,137038.92
"HigherDOSE Serotonin Soak Salt","HigherDOSE","Body Care",2104,122397,-14191.25,-551.7,107654.05,7897.45,115551.5
"Light-Activated Glow Serum","HigherDOSE","Body Care",1446,98958,-12781.92,-727.95,85448.13,6160.67,91608.8
"HigherDOSE Endorphin Oil","HigherDOSE","Body Care",1246,93172.5,-10312.53,-798.75,82061.22,5976.35,88037.57
"The Supermom Bundle","HigherDOSE","HOLIDAY BUNDLE",90,81177,-484.3,-867,79825.7,5836.3,85662
"SUPERCHARGE Copper Body Brush","HigherDOSE","Brush",963,66722.08,-8186.05,-828.4,57707.63,4220.26,61927.89
"HigherDOSE Oxytocin Oil","HigherDOSE","Body Care",756,55061.25,-6807.31,-195,48058.94,3572.23,51631.17
"HigherDOSE Mat Cover","HigherDOSE","Accessories",614,48314.2,-6074.83,-2995.51,39243.86,2866.72,42110.58
"SweatBand","HigherDOSE","Accessories",821,40907.65,-5489.05,-617.4,34801.2,2543.42,37344.62
"High Maintenance Cleaner","HigherDOSE","Accessories",559,38446.8,-4165.97,-215.46,34065.37,2538.25,36603.62
"High-Dration Powder","HigherDOSE","Consumables",1071,40415.7,-5625.07,-177.45,34613.18,1590.66,36203.84
"Endorphin Kit","HigherDOSE","HOLIDAY BUNDLE",204,33486,-1702.61,0,31783.39,2265.26,34048.65
"Add-on Red Light Panel","HigherDOSE",,20,31980,-2632.89,0,29347.11,2357.73,31704.84
"(New) Summer Body Recover & Sculpt","HigherDOSE","HOLIDAY BUNDLE",74,29564,-1185.34,-778,27600.66,2008.72,29609.38
"Daily Dose Ritual","HigherDOSE","Body Care",224,24416,-1028.7,0,23387.3,1684.52,25071.82
"Epic Bundle","HigherDOSE","HOLIDAY BUNDLE",19,23980,0,-1199,22781,1616.39,24397.39
"HigherDOSE Transdermal Magnesium Spray","HigherDOSE","Body Care",722,24897.25,-2821.68,-154,21921.57,1557.82,23479.39
"Sauna Blanket Bag","HigherDOSE","Accessories",238,26711.88,-3687.14,-2578.95,20445.79,1572.4,22018.19
"Detox Drops","HigherDOSE","Consumables",850,24422.35,-3054.5,-227.65,21140.2,873.36,22013.56
"Peak Performance Bundle","HigherDOSE","HOLIDAY BUNDLE",19,20007,-64,-3116,16827,1338.22,18165.22
"DailyDOSE Time-Marked Glass Water Bottle","HigherDOSE","Accessories",481,18720,-1949.56,-156,16614.44,1228.22,17842.66
"EMF Blocking Fanny Pack","HigherDOSE","Accessories",181,16935.7,-2152.31,-591.85,14191.54,1070.93,15262.47
"After Bedtime Bundle","HigherDOSE","HOLIDAY BUNDLE",80,13050,-1012.82,0,12037.18,872.99,12910.17
"Oxytocin Kit","HigherDOSE","HOLIDAY BUNDLE",99,13592,-1496.57,-128,11967.43,782.45,12749.88
"eGift Card","Giftwizard","Gift Card",65,13197,-74.55,-1149,11973.45,98.26,12071.71
"Order Protection","Order Protection","Insurance",526,7480.91,-90.06,-250,7140.85,130.51,7271.36
"(REMAINING BALANCE) Full Spectrum Infrared Sauna","HigherDOSE","Infrared Sauna",2,8299,-1850,0,6449,490.39,6939.39
"Bridal Bootcamp Detox Bundle","HigherDOSE","HOLIDAY BUNDLE",8,5664,0,0,5664,324.45,5988.45
"(TAN) Infrared Sauna Blanket - Replacement Cord","HigherDOSE","Replacement Cord",149,5034.47,0,-316.4,4718.07,302.6,5020.67
"Hyperice Normatec 3 Legs","HigherDOSE",,6,4794,-261.4,0,4532.6,335.09,4867.69
"Mask - Replacement Cord","HigherDOSE","Replacement Cord",353,4044.11,0,-50,3994.11,270.5,4264.61
"DealMoon Bundle","HigherDOSE","HOLIDAY BUNDLE",9,3285,0,0,3285,242.1,3527.1
"(DEPOSIT ONLY) Full Spectrum Infrared Sauna","HigherDOSE","Infrared Sauna",1,8299,-2200,-3049.5,3049.5,236.33,3285.83
"(BLACK) Infrared Sauna Blanket - Replacement Cord","HigherDOSE","Replacement Cord",239,3302.87,0,-200,3102.87,170.5,3273.37
"100% Organic Cotton Bath Robe","HigherDOSE","Body Care",26,4293,-1234.71,-159,2899.29,189.12,3088.41
"HighDration Kit","HigherDOSE","Brush",285,26607,-23070.96,-686,2850.04,204.26,3054.3
"PRO Mat Replacement Cord - US/Canada","HigherDOSE","Replacement Cord",163,2652.34,0,0,2652.34,176.51,2828.85
"Dopamine Set","HigherDOSE","HOLIDAY BUNDLE",37,2850,-140.2,-75,2634.8,175.11,2809.91
"GO Mat Replacement Cord - US/Canada","HigherDOSE","Replacement Cord",243,2702.69,0,-50,2652.69,148.83,2801.52
"Summer Travel Glow Kit","HigherDOSE","HOLIDAY BUNDLE",5,2185,-43.7,0,2141.3,136.57,2277.87
"UPS 2nd Day Air (Upgrade)","HigherDOSE","Paid Shipping",21,1968.93,-7.49,-228,1733.44,84.6,1818.04
"Oxytocin Set","HigherDOSE","HOLIDAY BUNDLE",4,1025,0,-22.9,1002.1,74.83,1076.93
"High Maintenance Cleaner (Refill)","HigherDOSE","Accessories",15,881.15,-29.5,0,851.65,64.57,916.22
"Sculpting Activator Gel","HigherDOSE","Body Care",22,1078,-230.61,0,847.39,61.94,909.33
"LED RED Light Face Mask Hardware","HigherDOSE","Replacement Parts",16,250,0,0,250,10.28,260.28
"Red Light Hat  - Replacement Parts","HigherDOSE","Replacement Cord",102,169.99,-19.99,0,150,5.13,155.13
"GO Mat Replacement Cord - UK/Europe","HigherDOSE","Replacement Cord",6,115.96,0,0,115.96,19.6,135.56
"PRO Mat Replacement Cord - UK/Europe","HigherDOSE","Replacement Cord",4,117.85,0,0,117.85,13.3,131.15
"Serotonin Set","HigherDOSE","HOLIDAY BUNDLE",1,156,-90.35,0,65.65,2.77,68.42
"Neck Enhancer- Straps","HigherDOSE","Replacement Cord",5,96.08,-57.34,0,38.74,1.58,40.32
"(Z) HigherDOSE Serotonin Soak Salt","HigherDOSE","Comp",413,0,0,0,0,0,0
"PEMF TESTER Magnet For PEMF Devices","HigherDOSE","Replacement Cord",14,0,0,0,0,0,0
"(GWP) Infrared Sauna Blanket Colored Insert","HigherDOSE","Accessories",14,0,0,0,0,0,0
"(Z) HigherDOSE Transdermal Magnesium Spray","HigherDOSE","Comp",58,0,0,0,0,0,0
"(Z) Infrared PEMF Go Mat","HigherDOSE","Comp",306,0,0,0,0,0,0
"(Z) HigherDOSE Oxytocin Oil ( Sample pouches card)","HigherDOSE","Comp",157,0,0,0,0,0,0
"(Z) DailyDOSE Water Bottle","HigherDOSE","Accessories",241,0,0,0,0,0,0
"(Z) HigherDOSE Mat Bag","HigherDOSE","Comp",15,0,0,0,0,0,0
"(Z) Glow Serum","HigherDOSE","Comp",234,0,0,0,0,0,0
"(Z) HigherDOSE PEMF Pro Mat","HigherDOSE","Comp",240,0,0,0,0,0,0
"LED RED Light Face Mask Straps","HigherDOSE","Replacement Parts",21,0,0,0,0,0,0
"(Z) Sauna Blanket Bag","HigherDOSE","Comp",37,0,0,0,0,0,0
"(Z) Oxytocin Oil ( Full Size Sample)","HigherDOSE","Comp",256,0,0,0,0,0,0
"(Z) HigherDOSE Mat Cover","HigherDOSE","Comp",253,0,0,0,0,0,0
"(Z) HIGH MAINTENANCE Cleaner (Refill)","HigherDOSE","Comp",13,0,0,0,0,0,0
"(Z) Sweat Band","HigherDOSE","Accessories",28,0,0,0,0,0,0
"(Z) HigherDOSE Red Light Face Mask","HigherDOSE","Comp",1521,0,0,0,0,0,0
"(Z) Detox Drops","HigherDOSE","Comp",107,0,0,0,0,0,0
"(Z) Red Light Hat","HigherDOSE",,396,0,0,0,0,0,0
"(Z) Soak Salt Mini","HigherDOSE","Body Care",1783,0,0,0,0,0,0
"(Z) SUPERCHARGE Copper Body Brush","HigherDOSE","Comp",345,0,0,0,0,0,0
"(Z) Red Light Neck Enhancer","HigherDOSE","Comp",124,0,0,0,0,0,0
"(Z) Full Spectrum Infrared Sauna","HigherDOSE","Comp",3,0,0,0,0,0,0
"(Z) EMF BLOCKING FANNY PACK","HigherDOSE","Accessories",16,0,0,0,0,0,0
"(Z) Endorphin Set","HigherDOSE","HOLIDAY BUNDLE",8,0,0,0,0,0,0
"(Z) Sculpting Activator Gel","HigherDOSE","Body Care",5,0,0,0,0,0,0
"(Z) Infrared Sauna Blanket","HigherDOSE","Comp",646,0,0,0,0,0,0
"(Z) High-Dration Powder","HigherDOSE","Comp",157,0,0,0,0,0,0
"(Z) HigherDOSE Endorphin Oil","HigherDOSE","Comp",164,0,0,0,0,0,0
"Glow Serum Sample Card ( 3 pouches in a sample card)","HigherDOSE",,181,0,0,0,0,0,0
"(Z) HIGH MAINTENANCE Cleaner","HigherDOSE","Comp",119,0,0,0,0,0,0
"(Z) 100% Organic Cotton Bath Robe","HigherDOSE","Comp",54,0,0,0,0,0,0
"(Z) Infrared Sauna Blanket Insert ( All variants)","HigherDOSE","Comp",296,0,0,0,0,0,0
"(Z) Body Sculptor Ritual Set","HigherDOSE","Body Sculptor",123,0,0,0,0,0,0
"(POS) HighDration Kit","HigherDOSE","Brush",6,0,0,0,0,0,0
