"Product title","Product type","Day","Net items sold","Gross sales","Discounts","Returns","Net sales","Taxes","Total sales","New customers","Returning customers"
"(GWP) Infrared Sauna Blanket Colored Insert","Accessories","2025-01-01",1,0,0,0,0,0,0,0,1
"Red Light Starter Kit","Rituals & Kits","2025-01-01",9,5643,0,0,5643,438.75,6081.75,7,2
"Best Seller Bundle","Rituals & Kits","2025-01-01",6,11724,0,0,11724,957.49,12681.49,6,0
"PEMF Go Mat Starter Kit","Rituals & Kits","2025-01-01",34,20604,0,0,20604,1441.89,22045.89,28,6
"Recovery Bundle","HOLIDAY BUNDLE","2025-01-01",5,7845,0,0,7845,524.84,8369.84,4,1
"HigherDOSE Mat Cover","Tools & Accessories","2025-01-01",4,236,-35.4,0,200.6,14.87,215.47,3,1
"Endorphin Kit","Rituals & Kits","2025-01-01",1,149,0,0,149,14.9,163.9,1,0
"SweatBand","Tools & Accessories","2025-01-01",12,588,-88.2,0,499.8,33.85,533.65,6,5
"HigherDOSE PEMF Pro Mat","PEMF","2025-01-01",25,33484.4,-6084.87,0,27399.53,1928.77,29328.3,23,2
"Red Light Skin Starter Kit","Rituals & Kits","2025-01-01",16,8592,0,0,8592,591.93,9183.93,12,4
"DailyDOSE Time-Marked Glass Water Bottle","Tools & Accessories","2025-01-01",7,273,-54.6,0,218.4,15.95,234.35,2,4
"Detox Drops","Lymphatic","2025-01-01",13,377,-75.4,0,301.6,9.32,310.92,6,4
"HigherDOSE Heat-Activated Endorphin Oil","Body Care","2025-01-01",21,1575,-270,0,1305,87.92,1392.92,8,13
"PEMF Pro Mat Starter Kit","Rituals & Kits","2025-01-01",47,48739,0,0,48739,3387.65,52126.65,30,16
"Infrared PEMF Go Mat","PEMF","2025-01-01",34,23919.97,-4352.79,0,19567.18,1546.23,21113.41,27,6
"Daily Dose Ritual","Body Care","2025-01-01",7,763,0,0,763,53.28,816.28,1,6
"Best Seller Plus Bundle","Rituals & Kits","2025-01-01",1,2092,0,0,2092,146.44,2238.44,1,0
"Sauna Blanket Starter Kit","Rituals & Kits","2025-01-01",86,57534,0,0,57534,4274.12,61808.12,75,10
"Sauna Blanket Bag","Tools & Accessories","2025-01-01",4,400.27,-80.05,0,320.22,27.42,347.64,3,1
"High-Dration Powder","Infrared Sauna","2025-01-01",17,657.15,-121.97,0,535.18,28.49,563.67,3,8
"PRO Mat Replacement Cord - US/Canada","Replacement Cord","2025-01-01",1,0,0,0,0,0,0,0,1
"HigherDOSE Serotonin Soak Salt","Body Care","2025-01-01",19,969.3,-153,0,816.3,55.87,872.17,10,8
"Red Light Hat","Hair Care","2025-01-01",98,44002,-8306.5,0,35695.5,2635.84,38331.34,58,40
"Ultimate Biohacking Bundle","Rituals & Kits","2025-01-01",8,19192,0,0,19192,1155.74,20347.74,8,0
"SUPERCHARGE Copper Body Brush","Body Care","2025-01-01",12,828,-151.8,0,676.2,43.89,720.09,6,6
"Light-Activated Glow Serum","Face & Neck","2025-01-01",20,1348.95,-188.19,0,1160.76,86.79,1247.55,11,9
"High Maintenance Cleaner","Tools & Accessories","2025-01-01",7,483,-82.8,0,400.2,26.3,426.5,2,5
"Peak Performance Bundle","HOLIDAY BUNDLE","2025-01-01",3,2337,0,0,2337,207.23,2544.23,3,0
"Red Light Neck Enhancer","Face & Neck","2025-01-01",15,5235,-977.2,0,4257.8,293.16,4550.96,5,10
"Infrared Sauna Blanket","Infrared Sauna","2025-01-01",63,47936.51,-9587.31,0,38349.2,2970.21,41319.41,56,7
"HigherDOSE Light-Activated Oxytocin Oil","Body Care","2025-01-01",5,363.75,-45,0,318.75,19.89,338.64,2,3
"EMF Blocking Fanny Pack","Tools & Accessories","2025-01-01",3,267,-53.4,0,213.6,15.85,229.45,2,1
"HighDration Kit","Tools & Accessories","2025-01-01",250,12250,-12054,0,196,15.13,211.13,207,41
"Red Light Face Mask and Neck Enhancer Combo","Face & Neck","2025-01-01",5,2790,0,0,2790,208.01,2998.01,5,0
"(BLACK) Infrared Sauna Blanket - Replacement Cord","Replacement Cord","2025-01-01",1,50,0,0,50,0,50,1,0
"(Z) Red Light Neck Enhancer","Comp","2025-01-01",1,0,0,0,0,0,0,0,1
"HigherDOSE Red Light Face Mask","Face & Neck","2025-01-01",85,29535.24,-5752.81,0,23782.43,1699.21,25481.64,71,14
"Infrared Sauna Blanket Insert","Infrared Sauna","2025-01-01",57,6466.75,-1165.55,0,5301.2,381.82,5683.02,33,20
"HigherDOSE Transdermal Magnesium Spray","Body Care","2025-01-01",14,490,-84,0,406,23.67,429.67,5,7
"(Z) HigherDOSE Red Light Face Mask","Comp","2025-01-01",4,0,0,0,0,0,0,0,4
"HigherDOSE Serotonin Soak Salt","Body Care","2025-01-02",25,1665.75,-290.1,0,1375.65,100.69,1476.34,12,8
"eGift Card","Gift Card","2025-01-02",5,650,0,0,650,0,650,3,1
"High-Dration Powder","Infrared Sauna","2025-01-02",10,378.3,-62.4,0,315.9,13.92,329.82,1,7
"(Z) Sweat Band","Accessories","2025-01-02",2,0,0,0,0,0,0,0,1
"SUPERCHARGE Copper Body Brush","Body Care","2025-01-02",13,909.5,-168.1,0,741.4,40.26,781.66,9,4
"Light-Activated Glow Serum","Face & Neck","2025-01-02",8,541.65,-75.9,0,465.75,32.65,498.4,4,4
"Red Light Hat","Hair Care","2025-01-02",35,18958.94,-3612.18,-2694,12652.76,861.81,13514.57,25,16
"(Z) Sauna Blanket Bag","Comp","2025-01-02",2,0,0,0,0,0,0,0,2
"Infrared PEMF Go Mat","PEMF","2025-01-02",28,23094.53,-4117.8,-2423.8,16552.93,1125.04,17677.97,25,7
"Sauna Blanket Starter Kit","Rituals & Kits","2025-01-02",46,40809,0,-10065,30744,2387.56,33131.56,55,6
"Sauna Blanket Bag","Tools & Accessories","2025-01-02",3,297,-59.4,0,237.6,15.75,253.35,0,3
"(Z) HIGH MAINTENANCE Cleaner","Comp","2025-01-02",1,0,0,0,0,0,0,0,1
"HighDration Kit","Tools & Accessories","2025-01-02",141,8330,-8232,-49,49,8.09,57.09,129,38
"Red Light Face Mask and Neck Enhancer Combo","Face & Neck","2025-01-02",7,4464,0,-558,3906,273.46,4179.46,5,3
"(Z) Infrared Sauna Blanket","Comp","2025-01-02",4,0,0,0,0,0,0,0,4
"HigherDOSE Transdermal Magnesium Spray","Body Care","2025-01-02",8,280,-56,0,224,14.87,238.87,4,4
"(Z) HigherDOSE Red Light Face Mask","Comp","2025-01-02",16,0,0,0,0,0,0,3,13
"(Z) HIGH MAINTENANCE Cleaner (Refill)","Comp","2025-01-02",1,0,0,0,0,0,0,0,1
"HigherDOSE Red Light Face Mask","Face & Neck","2025-01-02",56,22312.01,-4340.25,-2233.6,15738.16,1130.67,16868.83,52,12
"Infrared Sauna Blanket Insert","Infrared Sauna","2025-01-02",33,4111.9,-700.5,-396.8,3014.6,237.61,3252.21,22,11
"High Maintenance Cleaner","Tools & Accessories","2025-01-02",6,483,-82.8,-55.2,345,20.06,365.06,3,4
"LED RED Light Face Mask Hardware","Replacement Parts","2025-01-02",1,50,0,0,50,0,50,1,0
"Peak Performance Bundle","HOLIDAY BUNDLE","2025-01-02",1,779,0,0,779,80.24,859.24,0,1
"Red Light Neck Enhancer","Face & Neck","2025-01-02",3,1348.76,-204.63,-279.2,864.93,82.01,946.94,1,3
"HigherDOSE Light-Activated Oxytocin Oil","Body Care","2025-01-02",7,502.5,-75,0,427.5,30.23,457.73,3,4
"EMF Blocking Fanny Pack","Tools & Accessories","2025-01-02",7,623,-124.6,0,498.4,29.61,528.01,3,3
"Mask - Replacement Cord","Replacement Cord","2025-01-02",5,0,0,0,0,0,0,1,4
"(Z) Detox Drops","Comp","2025-01-02",1,0,0,0,0,0,0,0,1
"Infrared Sauna Blanket","Infrared Sauna","2025-01-02",25,25218.36,-4973.76,-5345.6,14899,1286.05,16185.05,30,4
"Recovery Bundle","HOLIDAY BUNDLE","2025-01-02",4,7845,0,-1569,6276,558.55,6834.55,5,0
"HigherDOSE Mat Cover","Tools & Accessories","2025-01-02",10,730,-130.2,0,599.8,40.92,640.72,5,5
"Red Light Starter Kit","Rituals & Kits","2025-01-02",10,6270,0,0,6270,440.49,6710.49,5,4
"Best Seller Bundle","Rituals & Kits","2025-01-02",-1,3908,0,-5862,-1954,-208.12,-2162.12,2,0
"PEMF Go Mat Starter Kit","Rituals & Kits","2025-01-02",12,12120,0,-4881,7239,515.44,7754.44,12,7
"(Z) HigherDOSE Oxytocin Oil ( Sample pouches card)","Comp","2025-01-02",1,0,0,0,0,0,0,1,0
"(Z) Red Light Hat",,"2025-01-02",1,0,0,0,0,0,0,0,1
"Red Light Hat  - Replacement Parts","Replacement Cord","2025-01-02",1,0,0,0,0,0,0,0,1
"(Z) HigherDOSE PEMF Pro Mat","Comp","2025-01-02",1,0,0,0,0,0,0,0,1
"HigherDOSE Heat-Activated Endorphin Oil","Body Care","2025-01-02",10,750,-135,0,615,42.18,657.18,2,8
"(Z) Infrared Sauna Blanket Insert ( All variants)","Comp","2025-01-02",3,0,0,0,0,0,0,0,3
"Detox Drops","Lymphatic","2025-01-02",11,348,-58,-23.2,266.8,3.76,270.56,6,3
"PEMF Pro Mat Starter Kit","Rituals & Kits","2025-01-02",16,22814,0,-6284,16530,1331.87,17861.87,17,5
"SweatBand","Tools & Accessories","2025-01-02",2,98,-19.6,0,78.4,6.52,84.92,1,1
"Dopamine Set","Rituals & Kits","2025-01-02",1,75,0,0,75,3.2,78.2,1,0
"(Z) Infrared PEMF Go Mat","Comp","2025-01-02",1,0,0,0,0,0,0,0,1
"DailyDOSE Time-Marked Glass Water Bottle","Tools & Accessories","2025-01-02",1,39,-7.8,0,31.2,1.87,33.07,1,0
"GO Mat Replacement Cord - US/Canada","Replacement Cord","2025-01-02",2,0,0,0,0,0,0,1,1
"HigherDOSE PEMF Pro Mat","PEMF","2025-01-02",9,19899,-3461.8,-6500.05,9937.15,711.56,10648.71,12,3
"Red Light Skin Starter Kit","Rituals & Kits","2025-01-02",4,3759,0,-1649,2110,149.07,2259.07,3,4
"Endorphin Kit","Rituals & Kits","2025-01-03",2,338,0,0,338,25.09,363.09,1,1
"HighDration Kit","Tools & Accessories","2025-01-03",23,1176,-1127,0,49,1.23,50.23,15,9
"Red Light Starter Kit","Rituals & Kits","2025-01-03",7,5033,0,0,5033,360.59,5393.59,6,1
"Best Seller Bundle","Rituals & Kits","2025-01-03",1,2239,-223.9,0,2015.1,177.33,2192.43,1,0
