"Product title","Product vendor","Product type","New or returning customer","Day","Net items sold","Gross sales","Discounts","Returns","Net sales","Taxes","Total sales"
"Infrared PEMF Go Mat","HigherDOSE","Grounding Mat","Returning","2025-01-01",6,4194,-838.8,0,3355.2,221.58,3576.78
"PRO Mat Replacement Cord - US/Canada","HigherDOSE","Replacement Cord","Returning","2025-01-01",1,0,0,0,0,0,0
"Sauna Blanket Bag","HigherDOSE","Accessories","Returning","2025-01-01",1,99,-19.8,0,79.2,4.76,83.96
"Infrared Sauna Blanket Insert","HigherDOSE","Accessories","New","2025-01-01",36,4037.75,-765.6,0,3272.15,236.14,3508.29
"Red Light Skin Starter Kit","HigherDOSE","HOLIDAY BUNDLE","Returning","2025-01-01",4,2148,0,0,2148,158.41,2306.41
"Red Light Skin Starter Kit","HigherDOSE","HOLIDAY BUNDLE","New","2025-01-01",12,6444,0,0,6444,433.52,6877.52
"PEMF Go Mat Starter Kit","HigherDOSE","HOLIDAY BUNDLE","New","2025-01-01",28,16968,0,0,16968,1158.27,18126.27
"Detox Drops","HigherDOSE","Consumables","New","2025-01-01",9,261,-52.2,0,208.8,7.53,216.33
"High-Dration Powder","HigherDOSE","Consumables","New","2025-01-01",5,195,-31.2,0,163.8,14.97,178.77
"DailyDOSE Time-Marked Glass Water Bottle","HigherDOSE","Accessories","Returning","2025-01-01",5,195,-39,0,156,11.9,167.9
"Peak Performance Bundle","HigherDOSE","HOLIDAY BUNDLE","New","2025-01-01",3,2337,0,0,2337,207.23,2544.23
"PEMF Pro Mat Starter Kit","HigherDOSE","HOLIDAY BUNDLE","Returning","2025-01-01",17,17629,0,0,17629,1245.96,18874.96
"HigherDOSE Red Light Face Mask","HigherDOSE","Face Mask","Returning","2025-01-01",14,4854.89,-1039.08,0,3815.81,286.38,4102.19
"EMF Blocking Fanny Pack","HigherDOSE","Accessories","New","2025-01-01",2,178,-35.6,0,142.4,12.64,155.04
"Infrared PEMF Go Mat","HigherDOSE","Grounding Mat","New","2025-01-01",28,19725.97,-3513.99,0,16211.98,1324.65,17536.63
"Daily Dose Ritual","HigherDOSE","Body Care","New","2025-01-01",1,109,0,0,109,4.91,113.91
"Light-Activated Glow Serum","HigherDOSE","Body Care","New","2025-01-01",11,748.65,-96.6,0,652.05,50.98,703.03
"SUPERCHARGE Copper Body Brush","HigherDOSE","Brush","New","2025-01-01",6,414,-82.8,0,331.2,14.13,345.33
"DailyDOSE Time-Marked Glass Water Bottle","HigherDOSE","Accessories","New","2025-01-01",2,78,-15.6,0,62.4,4.05,66.45
"Daily Dose Ritual","HigherDOSE","Body Care","Returning","2025-01-01",6,654,0,0,654,48.37,702.37
"PEMF Go Mat Starter Kit","HigherDOSE","HOLIDAY BUNDLE","Returning","2025-01-01",6,3636,0,0,3636,283.62,3919.62
"SweatBand","HigherDOSE","Accessories","Returning","2025-01-01",5,245,-39.2,0,205.8,12.64,218.44
"Red Light Hat","HigherDOSE","Red Light Hat","New","2025-01-01",58,26042,-4781.85,0,21260.15,1546.98,22807.13
