"Month","Orders","Gross sales","Discounts","Returns","Net sales","Shipping charges","Duties","Additional fees","Taxes","Total sales"
"2024-01-01",6045,3534179.88,-213596.25,-482178.92,2838404.71,9227.81,0,0,201708.21,3049340.73
"2024-02-01",5405,2989780.63,-202458.97,-384534.57,2402787.09,13694.41,0,0,171809.55,2588291.05
"2024-03-01",4572,2651369.4,-194337.98,-246396.49,2210634.93,11740.39,0,0,155154.53,2377529.85
"2024-04-01",4865,2606208.95,-209899.55,-242077.73,2154231.67,6887.71,0,0,154030.61,2315149.99
"2024-05-01",6911,3718751.54,-456781.22,-241194.82,3020775.5,5216.17,0,0,225208.08,3251199.75
"2024-06-01",2887,1419909.45,-109575.19,-234128.4,1076205.86,3263.3,0,0,77627.31,1157096.47
"2024-07-01",2843,1392100.04,-107669.03,-161009.82,1123421.19,2811.23,0,0,81094.19,1207326.61
"2024-08-01",3821,1913526.31,-255045.39,-127175.23,1531305.69,2971.09,0,0,112261.81,1646538.59
"2024-09-01",3310,1890700.34,-238992.59,-131489.88,1520217.87,3779.88,0,0,112314.35,1636312.1
"2024-10-01",2974,1384799.01,-95039.1,-101080.5,1188679.41,8103,0,0,87196.31,1283978.72
"2024-11-01",10236,6604621.45,-934764.78,-173036.22,5496820.45,13021.38,0,0,401421.52,5911263.35
"2024-12-01",16475,10752276.15,-1369972.36,-423591.48,8958712.31,34837.53,0,0,656586.57,9650136.41
