"Day","Orders","Gross sales","Discounts","Returns","Net sales","Shipping charges","Duties","Additional fees","Taxes","Total sales","Day (previous_year)","Orders (previous_year)","Gross sales (previous_year)","Discounts (previous_year)","Returns (previous_year)","Net sales (previous_year)","Shipping charges (previous_year)","Duties (previous_year)","Additional fees (previous_year)","Taxes (previous_year)","Total sales (previous_year)"
"2025-01-01",575,399740.29,-49764.84,0,349975.45,650,0,0,25404.15,376029.6,"2024-01-01",401,278125.53,-15441.16,-1100.75,261583.62,1842,0,0,19085.03,282510.65
"2025-01-02",420,234462.2,-30987.82,-50328.39,153145.99,152,0,0,11382.95,164680.94,"2024-01-02",277,173195.93,-8146.77,-30781.16,134268,63,0,0,9150.14,143481.14
"2025-01-03",308,180382.26,-19648.36,-740.2,159993.7,100,0,0,11356.35,171450.05,"2024-01-03",244,151772.41,-12028.06,-6647.45,133096.9,18,0,0,9781.66,142896.56
"2025-01-04",209,127154.05,-8566.78,-22011.45,96575.82,99,0,0,7740.78,104415.6,"2024-01-04",215,103286.91,-8060.22,-14167.24,81059.45,52,0,0,5803.96,86915.41
"2025-01-05",204,124488.28,-6771.39,-82.37,117634.52,45,0,0,8252.44,125931.96,"2024-01-05",212,103795.21,-7372.65,-27474.1,68948.46,18,0,0,4864.97,73831.43
"2025-01-06",247,136888.79,-6109.57,-4987.98,125791.24,127,0,0,9520.11,135438.35,"2024-01-06",177,105792.24,-5514.7,-11398.24,88879.3,1053,0,0,6070,96002.3
"2025-01-07",251,128927.03,-8020.85,-7441.98,113464.2,90,0,0,8348.73,121902.93,"2024-01-07",186,111590.87,-4494.84,-1301.64,105794.39,1129,0,0,6874.08,113797.47
"2025-01-08",200,103290.4,-6603.16,-41395.61,55291.63,75,0,0,4377.57,59744.2,"2024-01-08",178,107621.65,-5355.02,-5111.4,97155.23,64,0,0,6843.53,104062.76
"2025-01-09",183,109413.16,-5665.15,-30170.96,73577.05,64,0,0,5323.88,78964.93,"2024-01-09",221,109246.49,-5420.91,-15344.37,88481.21,210,0,0,6346.19,95037.4
"2025-01-10",186,106378.25,-7641.11,-36460.36,62276.78,1019.1,0,0,4537.11,67832.99,"2024-01-10",181,117153.47,-10464.01,-18349.69,88339.77,1867,0,0,6838.94,97045.71
"2025-01-11",170,100029.97,-6403.89,-8200.08,85426,953,0,0,6355.88,92734.88,"2024-01-11",170,90741.79,-5840.58,-8497.3,76403.91,28.63,0,0,5507.74,81940.28
"2025-01-12",198,106371.29,-5531.07,-2172.57,98667.65,45,0,0,7526.96,106239.61,"2024-01-12",163,69995.77,-5056.47,-43977.49,20961.81,159,0,0,1383.15,22503.96
"2025-01-13",188,106892.58,-7899.15,-41916.15,57077.28,18,0,0,4359.4,61454.68,"2024-01-13",156,97071.27,-5114.74,-5644.13,86312.4,75,0,0,6029.37,92416.77
"2025-01-14",169,99882.97,-5441.02,-13000.82,81441.13,36,0,0,6069.66,87546.79,"2024-01-14",174,120972.07,-6578.2,-9202.75,105191.12,876,0,0,7358.22,113425.34
"2025-01-15",192,90688.64,-3379.22,-21721.41,65588.01,45,0,0,4854.6,70487.61,"2024-01-15",197,131415.99,-6568.34,0,124847.65,63,0,0,8933.67,133844.32
"2025-01-16",186,107040.49,-5948.55,-1210.64,99881.3,1179.5,0,0,7512.9,108573.7,"2024-01-16",180,105473.78,-7462.6,-20747.36,77263.82,63,0,0,5947.76,83274.58
"2025-01-17",223,132083.86,-9245.25,-37380.35,85458.26,1442,0,0,6948.58,93848.84,"2024-01-17",173,105922.25,-5370.69,-1444.4,99107.16,1074,0,0,6864.37,107045.53
"2025-01-18",175,92007.55,-5566.92,-43492.69,42947.94,963,0,0,3172.02,47082.96,"2024-01-18",183,102563.96,-9071.63,-56979.52,36512.81,18,0,0,3191.52,39722.33
"2025-01-19",219,121819.93,-6811.28,-23057.38,91951.27,917,0,0,6925.17,99793.44,"2024-01-19",234,119045.97,-6777.12,-50394.55,61874.3,9,0,0,4479.82,66363.12
"2025-01-20",198,117624.6,-5400.7,-516.8,111707.1,27,0,0,7984.6,119718.7,"2024-01-20",167,114118.38,-6265.27,-2932,104921.11,82,0,0,7501.3,112504.41
"2025-01-21",194,109977.61,-5689.29,-3305.42,100982.9,944,0,0,7439.89,109366.79,"2024-01-21",214,131515.55,-5947.72,-3800.15,121767.68,18,0,0,8415.96,130201.64
"2025-01-22",208,93214.37,-5490.97,-17360.51,70362.89,45,0,0,5472.57,75880.46,"2024-01-22",157,86342.55,-5487.45,-4104.21,76750.89,469.5,0,0,5329.48,82549.87
"2025-01-23",234,112460.79,-4146.65,-26659.98,81654.16,63,0,0,6080.35,87797.51,"2024-01-23",180,97602.66,-4975.77,-28578.18,64048.71,-415.5,0,0,4853.85,68487.06
"2025-01-24",224,105409.82,-8245.11,-449,96715.71,63,0,0,6996.9,103775.61,"2024-01-24",174,88410.02,-6264.9,-8338.7,73806.42,36,0,0,5216.68,79059.1
"2025-01-25",221,105680,-6030.07,-34472.63,65177.3,63,0,0,5085.13,70325.43,"2024-01-25",190,103141.52,-5709.25,-18895.6,78536.67,27,0,0,5055.88,83619.55
"2025-01-26",172,102949.94,-5288.58,-1100.14,96561.22,63,0,0,6936.32,103560.54,"2024-01-26",170,98800.56,-6581.42,-47089.9,45129.24,66,0,0,3304.35,48499.59
"2025-01-27",183,88128.37,-4356.61,-449,83322.76,99,0,0,6121.26,89543.02,"2024-01-27",150,93130.15,-5113.89,-5456.6,82559.66,83.59,0,0,4863.39,87506.64
"2025-01-28",213,104193.1,-6298.39,-27395.05,70499.66,54,0,0,5790.86,76344.52,"2024-01-28",150,97362.11,-5918.79,-2928.3,88515.02,54,0,0,6096.26,94665.28
"2025-01-29",200,95747.91,-4982.01,-14243.74,76522.16,36,0,0,5898.36,82456.52,"2024-01-29",213,118642.21,-6826.71,-8980.91,102834.59,91,0,0,7526.21,110451.8
"2025-01-30",194,85517.96,-4572.83,-14869.19,66075.94,90,0,0,4867.89,71033.83,"2024-01-30",174,92172.75,-6057.66,-12613.61,73501.48,-1.41,0,0,5460.33,78960.4
"2025-01-31",185,95072.48,-8278.83,-56348.07,30445.58,72,0,0,3344.84,33862.42,"2024-01-31",184,108157.86,-8308.71,-9897.22,89951.93,36,0,0,6730.4,96718.33
"2025-02-01",167,92291.95,-4203.21,-6549.57,81539.17,36,0,0,5760.77,87335.94,"2024-02-01",207,115368.51,-8109.84,-29021.84,78236.83,1035,0,0,5459.91,84731.74
"2025-02-02",197,100998.7,-4935.2,-6181,89882.5,63,0,0,6545.1,96490.6,"2024-02-02",190,105790.14,-7176.29,-34678.73,63935.12,125.75,0,0,4237.41,68298.28
"2025-02-03",182,94994,-6573.49,-15713.79,72706.72,120,0,0,5686.06,78512.78,"2024-02-03",130,89804.7,-5376.14,-13914.69,70513.87,45,0,0,4832.71,75391.58
"2025-02-04",167,92812.69,-6577.3,-5751.72,80483.67,109,0,0,6265.29,86857.96,"2024-02-04",161,97929.8,-6510.01,-4949.25,86470.54,146,0,0,6190.86,92807.4
"2025-02-05",159,96617.24,-8009.41,-36448.46,52159.37,963,0,0,4343.72,57466.09,"2024-02-05",197,117700.1,-5891.35,-22342.71,89466.04,1930,0,0,6753.17,98149.21
"2025-02-06",204,86229.46,-7538.15,-427.98,78263.33,54,0,0,5775.74,84093.07,"2024-02-06",172,101626.52,-5328.88,-9698.07,86599.57,1654.88,0,0,6048.56,94303.01
"2025-02-07",134,65905.44,-4179.97,-21244.31,40481.16,84,0,0,2660.91,43226.07,"2024-02-07",145,90071.23,-4971.98,-12852.2,72247.05,18,0,0,4803.92,77068.97
"2025-02-08",180,79019.02,-5222.02,-8523.24,65273.76,102,0,0,4764.74,70140.5,"2024-02-08",205,101399.71,-6015.4,-51227.21,44157.1,-521.5,0,0,3006.31,46641.91
"2025-02-09",177,102952.52,-6419.62,-1406.07,95126.83,90,0,0,6996.6,102213.43,"2024-02-09",188,112151.31,-7909.5,-1496.95,102744.86,200,0,0,7314.61,110259.47
