"Day","Orders","Gross sales","Discounts","Returns","Net sales","Shipping charges","Duties","Additional fees","Taxes","Total sales","New customers","Returning customers","Day (previous_year)","Orders (previous_year)","Gross sales (previous_year)","Discounts (previous_year)","Returns (previous_year)","Net sales (previous_year)","Shipping charges (previous_year)","Duties (previous_year)","Additional fees (previous_year)","Taxes (previous_year)","Total sales (previous_year)","New customers (previous_year)","Returning customers (previous_year)","Orders (previous_year) ","Gross sales (previous_year) ","Discounts (previous_year) ","Returns (previous_year) ","Net sales (previous_year) ","Shipping charges (previous_year) ","Duties (previous_year) ","Additional fees (previous_year) ","Taxes (previous_year) ","Total sales (previous_year) ","New customers (previous_year) ","Returning customers (previous_year) "
"2025-01-01",575,399740.29,-49764.84,0,349975.45,650,0,0,25404.15,376029.6,421,150,"2024-01-01",401,278125.53,-15441.16,-1100.75,261583.62,1842,0,0,19085.03,282510.65,297,102,43.39152119700748,43.726,-222.286,100,33.791,-64.712,,,33.11,33.102,41.75084175084175,47.05882352941177
"2025-01-02",420,234462.2,-30987.82,-50328.39,153145.99,152,0,0,11382.95,164680.94,274,143,"2024-01-02",277,173195.93,-8146.77,-30781.16,134268,63,0,0,9150.14,143481.14,198,71,51.624548736462096,35.373,-280.369,-63.503,14.059,141.269,,,24.401,14.775,38.38383838383838,101.40845070422536
"2025-01-03",308,180382.26,-19648.36,-740.2,159993.7,100,0,0,11356.35,171450.05,203,103,"2024-01-03",244,151772.41,-12028.06,-6647.45,133096.9,18,0,0,9781.66,142896.56,166,77,26.229508196721312,18.85,-63.354,88.864,20.208,455.555,,,16.098,19.981,22.289156626506024,33.76623376623377
"2025-01-04",209,127154.05,-8566.78,-22011.45,96575.82,99,0,0,7740.78,104415.6,139,69,"2024-01-04",215,103286.91,-8060.22,-14167.24,81059.45,52,0,0,5803.96,86915.41,151,64,-2.7906976744186047,23.107,-6.284,-55.368,19.141,90.384,,,33.37,20.134,-7.947019867549669,7.8125
"2025-01-05",204,124488.28,-6771.39,-82.37,117634.52,45,0,0,8252.44,125931.96,144,60,"2024-01-05",212,103795.21,-7372.65,-27474.1,68948.46,18,0,0,4864.97,73831.43,143,69,-3.7735849056603774,19.936,8.155,99.7,70.612,150,,,69.629,70.566,0.6993006993006993,-13.043478260869565
"2025-01-06",247,136888.79,-6109.57,-4987.98,125791.24,127,0,0,9520.11,135438.35,160,86,"2024-01-06",177,105792.24,-5514.7,-11398.24,88879.3,1053,0,0,6070,96002.3,132,44,39.548022598870055,29.393,-10.786,56.239,41.53,-87.939,,,56.838,41.078,21.21212121212121,95.45454545454545
"2025-01-07",251,128927.03,-8020.85,-7441.98,113464.2,90,0,0,8348.73,121902.93,153,96,"2024-01-07",186,111590.87,-4494.84,-1301.64,105794.39,1129,0,0,6874.08,113797.47,126,60,34.946236559139784,15.535,-78.445,-471.738,7.249,-92.028,,,21.452,7.122,21.428571428571427,60
"2025-01-08",200,103290.4,-6603.16,-41395.61,55291.63,75,0,0,4377.57,59744.2,124,75,"2024-01-08",178,107621.65,-5355.02,-5111.4,97155.23,64,0,0,6843.53,104062.76,115,63,12.359550561797754,-4.024,-23.307,-709.868,-43.089,17.187,,,-36.033,-42.588,7.826086956521739,19.047619047619047
"2025-01-09",183,109413.16,-5665.15,-30170.96,73577.05,64,0,0,5323.88,78964.93,113,67,"2024-01-09",221,109246.49,-5420.91,-15344.37,88481.21,210,0,0,6346.19,95037.4,136,82,-17.194570135746606,0.152,-4.505,-96.625,-16.844,-69.523,,,-16.109,-16.911,-16.91176470588235,-18.29268292682927
"2025-01-10",186,106378.25,-7641.11,-36460.36,62276.78,1019.1,0,0,4537.11,67832.99,114,72,"2024-01-10",181,117153.47,-10464.01,-18349.69,88339.77,1867,0,0,6838.94,97045.71,119,61,2.7624309392265194,-9.197,26.977,-98.697,-29.503,-45.415,,,-33.657,-30.102,-4.201680672268908,18.0327868852459
