# ----------------------------------------
# Traffic acquisition: Session default channel group
# Account: HigherDOSE
# Property: higherdose.com - GA4
# ----------------------------------------
# 
# All Users
# Start date: 20240101
# End date: 20241231
Session default channel group,Sessions,Engaged sessions,Engagement rate,Average engagement time per session,Events per session,Event count,Key events,Session key event rate,Total revenue
Direct,1743965,819748,0.4700484241369523,15.061091822370289,5.5712196058980545,9716012,10623,0.005906655236773674,6218612.142782
Unassigned,941292,346925,0.3685625714443552,28.446827339444084,7.107437437054601,6690174,15134,0.01609383698151052,8424465.15772
Referral,731568,314174,0.4294529011657153,28.326027108894866,6.47728850906546,4738577,4656,0.006322037049187499,3023961.692211
Organic Social,600745,168101,0.2798208890627471,9.586187150954231,5.087582917876969,3056340,1576,0.002605098669152469,879819.858263
Paid Search,591196,316779,0.53582737366288,46.720402370787355,9.093116326903429,5375814,8594,0.014201719903382296,5357406.643258
Organic Search,588510,343172,0.5831200829212758,50.26379670693786,7.457290445362016,4388690,4798,0.008083125180540688,3050921.238148
Paid Shopping,435109,129735,0.2981666662836209,7.919220241364807,5.615615857176018,2443405,978,0.002233922994008398,603877.83436
Cross-network,411143,232581,0.5656936880841945,42.03855349598558,7.830793665464327,3219576,3950,0.009787348927258886,2514160.153074
Paid Social,385190,102941,0.267247332485267,4.588101975648382,4.997214361743555,1924877,268,0.0006931644123679223,150688.2
Organic Shopping,263847,95834,0.3632180771431928,17.256682850288236,6.310604251706481,1665034,962,0.0036119417692829555,587481.974378
Affiliates,232869,78481,0.3370178082956512,14.451876376847068,5.8488205815286705,1362009,789,0.003383876771918976,338200.070497
SMS,45073,21675,0.4808865617997471,45.78093315288532,8.116522086393184,365836,747,0.01641781110642735,439085.558505
Paid Other,35814,9023,0.2519405818953482,3.844139163455632,4.427123471268219,158553,23,0.0006142849165130954,9958.15
Email,13864,6222,0.44878822850548183,34.21595499134449,7.022576457010963,97361,144,0.010170225043277553,91011.76314
Organic Video,4397,2315,0.5264953377302707,45.631794405276324,8.326813736638618,36613,81,0.018194223334091427,40354.339112
Display,15,6,0.4,6.333333333333333,4.533333333333333,68,0,0,0
