# ----------------------------------------
# Traffic acquisition: Session default channel group
# Account: HigherDOSE
# Property: higherdose.com - GA4
# ----------------------------------------
# 
# All Users
# Start date: 20250101
# End date: 20250729
Session default channel group,Sessions,Engaged sessions,Engagement rate,Average engagement time per session,Events per session,Event count,Key events,Session key event rate,Total revenue
Organic Social,670911,148957,0.22202199695637723,5.770945773731538,4.293608243120175,2880629,1597,0.00236544042354351,840743.497783
Unassigned,498967,180900,0.36254902628831165,26.639501209498825,6.012335485112242,2999957,6630,0.012632097914290924,3726805.586245
Organic Search,306484,174237,0.5685027603398546,50.913006878009945,6.911499458373031,2118264,2786,0.008998838438548179,1714223.926195
Direct,304192,148032,0.48664001683147484,29.36365847885546,6.869529770671155,2089656,4671,0.015059567641489585,2826232.671015
Paid Other,289649,81521,0.28144754513221176,5.127309260518766,3.851924225528139,1115706,65,0.00022440954396528212,29973.35
Paid Search,280042,158554,0.5661793588104641,42.89450868084073,8.422893708800823,2358764,4843,0.017375965033816356,3020847.366744
Cross-network,246034,121216,0.49267987351341685,34.70803628766756,6.54435972263996,1610135,2333,0.009421462074347449,1635908.317783
Organic Shopping,234638,44476,0.1895515645377134,8.331757856783641,4.949151458842984,1161259,2113,0.009022408987461537,1074617.970963
Affiliates,169762,49371,0.29082480178131737,10.159364286471648,4.762673625428541,808521,714,0.004194107043979218,311514.537665
Paid Social,126568,29707,0.23471177548827507,7.495765122305796,4.46360059414702,564949,95,0.0007505846659503192,58832.28
Paid Shopping,83585,33058,0.39550158521265777,13.09903690853622,5.561332775019442,464844,372,0.004366812227074236,244612.18914
Referral,76984,40250,0.5228359139561467,33.80055595967993,6.655279019016938,512350,701,0.009040839654993246,453113.725262
Email,47017,26725,0.5684114256545505,45.68311461811685,8.167343726737137,384004,982,0.02080098687708701,484932.695703
SMS,38818,20265,0.5220516255345459,46.46730898036993,8.254340769745994,320417,1207,0.030784687516100778,647072.86
Organic Video,657,253,0.3850837138508371,24.601217656012178,5.818873668188736,3823,7,0.0106544901065449,4305.92
Display,4,0,0,0.5,4.5,18,0,0,0
