Date,Session default channel group,Sessions,Total users,Ecommerce purchases,Purchase revenue
2024-09-03,Direct,202934,191591,53,39693.95331100001
2024-05-28,Direct,22374,20770,70,36039.602519
2024-09-02,Direct,16149,15273,107,61633.09006699993
2024-09-03,Paid Social,12569,12067,29,15157.930000000004
2024-09-02,Paid Social,12159,12221,37,19910.160000000007
2024-05-27,Referral,11645,10420,181,74581.49981799984
2024-08-31,Paid Social,11644,11241,18,11421.210000000003
2024-08-30,Paid Social,11117,10817,18,10765.840000000002
2024-05-27,Direct,10913,10294,117,63021.28674799993
2024-08-29,Paid Social,10365,10131,12,6558.0599999999995
2024-08-28,Paid Social,9604,9377,10,4140.919999999999
2024-09-01,Paid Social,9570,9164,27,14714.95
2024-09-03,Organic Social,9497,9065,7,4165.154427
2024-02-18,Referral,6654,6314,36,23591.200000000008
2024-08-27,Paid Social,6067,5978,5,2116.0
2024-07-18,Referral,5545,5398,22,11031.033494000003
2024-01-30,Referral,5529,5338,28,15982.030189999998
2024-05-28,Organic Social,5492,5378,33,17094.511048000004
2024-08-25,Paid Social,5340,5352,8,4534.23
2024-05-26,Direct,5128,4719,60,27380.193117000017
2024-08-26,Paid Social,5046,4973,12,4749.599999999999
2024-08-24,Paid Social,4956,4805,7,2965.33
2024-02-19,Referral,4943,4728,50,34523.30000000001
2024-05-27,Organic Social,4912,4655,42,22551.152361000015
2024-01-02,Paid Search,4897,4248,47,29311.075665000008
2024-01-01,Paid Search,4825,4180,79,60175.55014700003
2024-09-05,Paid Social,4815,4641,0,0.0
2024-02-27,Referral,4797,4586,62,8893.89999999999
2024-02-15,Direct,4762,4397,39,20611.65
2024-09-04,Paid Social,4738,4558,4,2531.1
2024-07-15,Referral,4645,4340,19,13622.049999999997
2024-09-04,Unassigned,4552,4225,9,3318.3963519999998
2024-01-21,Referral,4495,4199,33,24768.092354
2024-01-31,Referral,4120,3898,22,10766.179859
2024-05-26,Organic Social,4048,3910,18,9777.300000000001
2024-01-24,Unassigned,4035,3447,13,6521.45
2024-01-03,Paid Search,4005,3377,55,32585.750000000004
2024-08-23,Unassigned,3900,3326,96,42448.46725699996
2024-05-25,Organic Social,3793,3739,37,22294.20000000001
2024-02-09,Unassigned,3773,3140,35,25279.755975999993
2024-05-25,Direct,3746,3358,53,27462.001621000007
2024-09-03,Unassigned,3587,3292,30,15715.015661000003
2024-08-23,Paid Social,3577,3590,13,7006.449999999998
2024-01-15,Referral,3561,3353,36,23810.852489999994
2024-01-21,Affiliates,3552,3410,7,4446.263086000001
2024-01-11,Direct,3534,3216,31,13737.199999999999
2024-01-04,Paid Search,3525,2974,36,20125.919578
2024-04-24,Direct,3380,3125,33,16843.532374
2024-05-28,Unassigned,3328,2951,95,38881.25413300001
2024-01-09,Paid Search,3277,2701,46,26308.473237000006
2024-01-08,Paid Search,3228,2715,44,31050.805493000003
2024-05-28,Referral,3211,2792,51,25233.673006000008
2024-04-30,Referral,3206,3082,15,10632.48222
2024-04-13,Referral,3170,3091,21,16042.526022
2024-01-03,Unassigned,3167,2605,22,12521.721347
2024-03-17,Unassigned,3157,2674,127,59584.131062999964
2024-01-07,Direct,3139,2818,35,24433.382198999996
2024-09-04,Direct,3097,2802,16,7802.05
2024-01-28,Organic Social,3076,3009,2,1448.0
2024-01-01,Unassigned,3063,2759,51,28356.358635000008
2024-02-21,Cross-network,3063,2785,11,7662.974765999999
2024-01-25,Unassigned,3055,2659,33,28986.235521000006
2024-04-28,Referral,3050,2987,18,8702.797061999998
2024-04-13,Unassigned,2996,2577,30,16259.434025
2024-01-05,Paid Search,2982,2490,40,22593.95
2024-01-20,Direct,2953,2545,28,22988.15
2024-01-05,Unassigned,2926,2497,16,7323.2
2024-05-24,Unassigned,2920,2443,103,48804.122430999974
2024-05-27,Unassigned,2918,2438,140,73102.36972399989
2024-01-02,Organic Search,2896,2470,39,31571.462225000003
2024-01-18,Direct,2896,2553,27,12463.439941
2024-01-29,Organic Social,2891,2848,4,1820.15
2024-01-07,Paid Search,2889,2444,36,20281.125851
2024-01-13,Referral,2881,2697,17,11666.149999999998
2024-01-01,Organic Social,2863,2827,5,2568.7000000000003
2024-04-29,Direct,2863,2594,53,15058.749999999998
2024-02-28,Referral,2861,2648,26,7439.499999999998
2024-01-06,Paid Search,2855,2409,28,16857.926269
2024-01-21,Organic Social,2853,2762,1,742.505658
2024-09-06,Paid Social,2841,2766,0,0.0
2024-03-06,Paid Search,2815,2467,21,10538.15
2024-05-24,Organic Social,2814,2709,35,14837.286075000007
2024-01-02,Direct,2805,2403,36,18615.077808000002
2024-01-27,Organic Social,2805,2794,1,817.0
2024-03-07,Direct,2805,2479,14,8518.949999999999
2024-01-01,Direct,2803,2347,80,52261.850000000035
2024-01-04,Unassigned,2782,2352,28,11950.373658
2024-01-15,Direct,2778,2401,41,30425.037985
2024-05-01,Affiliates,2758,2715,2,575.8499999999999
2024-01-16,Direct,2750,2344,25,19070.850000000002
2024-08-16,Unassigned,2744,2234,15,7725.2
2024-01-07,Organic Social,2728,2666,2,877.0
2024-01-14,Direct,2723,2341,43,30244.15
2024-02-08,Unassigned,2712,2371,29,15277.349999999999
2024-01-04,Direct,2705,2294,35,16551.259842
2024-02-16,Referral,2699,2507,34,21247.15
2024-01-19,Organic Social,2671,2613,3,1516.287214
2024-01-03,Organic Search,2666,2266,30,19582.183959
2024-01-10,Paid Search,2663,2183,27,16575.081278
2024-02-20,Referral,2656,2492,16,8270.405923
2024-01-16,Paid Search,2654,2180,38,21462.445047999998
2024-05-21,Unassigned,2646,2110,17,10250.920964
2024-01-20,Organic Social,2642,2586,1,1472.0
2024-06-03,Unassigned,2635,2081,13,5916.5314069999995
2024-01-30,Direct,2634,2229,33,15406.349999999995
2024-01-03,Direct,2628,2261,33,21177.249094
2024-01-06,Direct,2626,2247,42,20438.884186
2024-04-30,Direct,2621,2355,35,21650.3
2024-05-04,Referral,2614,2499,21,15145.599999999999
