# ----------------------------------------
# Traffic acquisition: Session default channel group
# Account: HigherDOSE
# Property: higherdose.com - GA4
# ----------------------------------------
# 
# All Users
# Start date: 20240101
# End date: 20241231
Session default channel group,Date,Sessions,Engaged sessions,Engagement rate,Average engagement time per session,Events per session,Event count,Key events,Session key event rate,Total revenue
Direct,20241208,204455,100898,0.49349734660438727,1.6820522853439632,4.407224083539165,901079,62,0.0003032452128830305,35913.978351
Direct,20240903,202934,119361,0.5881764514571239,1.268604570944248,4.082962933761715,828572,53,0.0002611686558191333,39693.953311
Direct,20241207,182685,88922,0.4867504173851165,1.6358048006130772,4.507474614774065,823448,75,0.00041054273749897363,48528.733254
Direct,20241209,157301,73604,0.46791819505279686,1.8027920992237811,4.444790560772023,699170,73,0.00046407842289623077,42054.481063
Direct,20241206,115227,58213,0.50520277365548,1.942522151926198,4.475027554305848,515644,65,0.0005554253777326494,43756.217504
Organic Social,20241203,26729,6145,0.2299001084963897,4.062516367989824,4.486138650903513,119910,20,0.0007482509633731153,10549.113582
Direct,20240528,22374,11643,0.5203807991418611,5.994100294985251,4.428890676678288,99092,70,0.0030392419772950745,36039.602519
Unassigned,20241129,21547,6982,0.3240358286536409,29.62398477746322,8.382837517983942,180625,647,0.029656100617255304,385541.71959
Unassigned,20241203,19968,6842,0.34264823717948717,21.860927483974358,6.511818910256411,130028,362,0.017928685897435896,198081.026645
Affiliates,20241123,19408,3774,0.19445589447650452,3.9121496290189612,4.78452184666117,92858,8,0.00041220115416323167,5059.85
Unassigned,20241202,19255,6025,0.31290573876915084,27.951389249545574,8.035938717216307,154732,599,0.031004933783432876,381063.807577
Organic Social,20241202,18552,4399,0.2371172919361794,4.849288486416559,4.526573954290643,83977,25,0.0013475636050021562,18985.89
Unassigned,20241208,18224,2904,0.15935030728709393,12.920818700614575,4.738476733977173,86354,203,0.010919666374012291,115224.624132
Direct,20241205,17846,7966,0.446374537711532,8.315028577832567,5.400425865740222,96376,94,0.005099181889499048,61008.157185
Unassigned,20241209,17212,3084,0.17917731815012783,12.442830583313967,4.825586799907041,83058,205,0.011852196142226355,98696.966822
Direct,20240902,16149,9698,0.6005325407145954,7.541829215431296,4.948232088674222,79909,107,0.006501950585175552,61633.090067
