# ----------------------------------------
# Traffic acquisition: Session default channel group
# Account: HigherDOSE
# Property: higherdose.com - GA4
# ----------------------------------------
# 
# All Users
# Start date: 20250101
# End date: 20250729
Session default channel group,Date,Sessions,Engaged sessions,Engagement rate,Average engagement time per session,Events per session,Event count,Key events,Session key event rate,Total revenue
Paid Shopping,20250101,13595,4541,0.3340198602427363,7.328061787421846,5.216917984553144,70924,26,0.0019124678190511218,16647.33
Organic Shopping,20250216,12530,1052,0.0839584996009577,0.9719872306464485,4.662011173184357,58415,11,0.0008778930566640064,4806.95
Organic Shopping,20250212,11379,758,0.06661393795588365,1.463749011336673,4.033658493716495,45899,19,0.0016697425081290097,9467.13
Organic Shopping,20250217,11142,897,0.08050619278406031,0.7455573505654282,4.45323999281996,49618,12,0.0010770059235325794,8246.26
Paid Other,20250714,10665,3082,0.28898265353961555,4.210782934833568,3.9041725269573373,41638,0,0,0
Paid Other,20250715,10590,2865,0.2705382436260623,4.058734655335222,3.8978281397544854,41278,1,0.00009442870632672332,85.22
Organic Shopping,20250218,10249,738,0.07200702507561714,1.2057761732851986,4.2098741340618595,43147,13,0.0012684164308713044,6855.92
Organic Shopping,20250220,10106,838,0.08292103700771819,1.276271521868197,4.365921234909955,44122,11,0.0010884622996239857,3144.64
Paid Other,20250712,10093,2755,0.2729614584365402,4.688794213811552,3.9728524720103042,40098,0,0,0
Organic Shopping,20250215,9877,773,0.07826263035334616,1.0552799433026223,4.6555634301913535,45983,10,0.0010124531740407007,3613.88
Organic Shopping,20250219,9846,688,0.06987609181393459,0.9186471663619744,4.377615275238676,43102,5,0.0005078204346942921,4659.61
Paid Other,20250716,9734,2641,0.27131703307992605,4.757448119991781,3.90137661803986,37976,0,0,0
Paid Other,20250713,9690,2705,0.27915376676986586,5.17843137254902,3.8932920536635707,37726,0,0,0
Organic Social,20250202,9620,626,0.06507276507276508,1.6853430353430354,3.6816008316008317,35417,9,0.0009355509355509356,8003.3
Organic Social,20250209,9619,920,0.09564403784177149,1.1497037114045119,4.0067574591953425,38541,7,0.0007277263748830439,1884.81
Organic Social,20250119,9531,7776,0.8158640226628895,1.6122127793515895,3.6565942713251496,34851,11,0.001154128632882174,5855.67
Paid Other,20250717,9341,2569,0.27502408735681405,4.37876030403597,3.785890161652928,35364,0,0,0
Organic Shopping,20250213,9298,625,0.06721875672187567,1.2542482254248226,4.6815444181544414,43529,5,0.0005377500537750054,1979.39
