Session default channel group,Date,Sessions,Engaged sessions,Engagement rate,Average engagement time per session,Events per session,Event count,Key events,Session key event rate,Total revenue
Cross-network,2025-11-30,29950,12795,0.427212020033389,53.1223464088147,4.664140233722871,139691,58,0.0019365609348914858,36922.75
Direct,2025-11-28,14675,7585,0.5168654173764906,157.4604051978876,7.738466780238501,113562,377,0.025621805792163544,200241.64883599983
Unassigned,2025-11-30,14545,3192,0.21945685802681333,176.71676271110348,9.147198349948436,133046,187,0.01251289102784462,126981.284661
Cross-network,2025-11-29,13966,6094,0.4363454102821137,80.10579855047973,5.553129027638551,77555,43,0.003078905914363454,24942.4
Paid Shopping,2025-01-01,13595,4541,0.3340198602427363,83.96348904531078,5.216917984553144,70924,26,0.0019124678190511218,16647.330000000005
Paid Other,2025-11-28,12913,5131,0.3973515062340277,172.92035414342138,3.8623867420429026,49875,11,0.0008518547200495625,7915.199999999999
Organic Shopping,2025-02-16,12530,1052,0.0839584996009577,57.67159185075818,4.662011173184357,58415,11,0.0008778930566640064,4806.949999999999
Direct,2025-11-29,11683,5786,0.4952495078318925,134.4022161462809,7.521612599503552,87875,206,0.017632457416759395,119221.6521239999
Organic Shopping,2025-02-12,11379,758,0.06661393795588365,15.861009422444855,4.033658493716495,45899,19,0.0016697425081290097,9467.129999999996
Organic Social,2025-11-14,11288,3680,0.3260099220411056,50.79728504810418,5.550230333097094,62651,28,0.0024805102763997165,13429.5
Organic Shopping,2025-02-17,11142,897,0.08050619278406031,53.23542346203554,4.45323999281996,49618,12,0.0010770059235325794,8246.26
Direct,2025-11-30,11132,5379,0.48320158102766797,115.61226551060007,6.856539705353935,76327,198,0.01760689902982393,113971.744248
Organic Social,2025-11-30,11022,4015,0.36427145708582837,50.99854259961895,5.555434585374705,61232,31,0.0028125567047722734,17363.95
Paid Other,2025-07-14,10665,3082,0.28898265353961555,204.24842314964837,3.9041725269573373,41638,0,0.0,0.0
Paid Other,2025-07-15,10590,2865,0.2705382436260623,168.02372949858355,3.8978281397544854,41278,1,9.442870632672332e-05,85.22
Organic Shopping,2025-02-18,10249,738,0.07200702507561714,55.786866453507656,4.2098741340618595,43147,13,0.0012684164308713044,6855.920000000001
Paid Other,2025-09-01,10148,3986,0.39278675601103663,370.25223246649585,5.990638549467875,60793,4,0.00039416633819471815,1706.1999999999998
Organic Shopping,2025-02-20,10106,838,0.08292103700771819,36.479594164357806,4.365921234909955,44122,11,0.0010884622996239857,3144.6400000000003
Paid Other,2025-07-12,10093,2755,0.2729614584365402,166.33002101030416,3.9728524720103042,40098,0,0.0,0.0
Organic Shopping,2025-02-15,9877,773,0.07826263035334616,52.33377470335122,4.6555634301913535,45983,10,0.0010124531740407007,3613.8799999999997
Organic Shopping,2025-02-19,9846,688,0.06987609181393459,32.656411081759096,4.377615275238676,43102,5,0.0005078204346942921,4659.61
Paid Other,2025-07-16,9734,2641,0.27131703307992605,183.58232358002874,3.90137661803986,37976,0,0.0,0.0
Paid Other,2025-07-13,9690,2705,0.27915376676986586,199.8920751772962,3.8932920536635707,37726,0,0.0,0.0
Organic Social,2025-02-02,9620,626,0.06507276507276508,20.21702073243243,3.6816008316008317,35417,9,0.0009355509355509356,8003.3
Organic Social,2025-02-09,9619,920,0.09564403784177149,12.776193996673248,4.0067574591953425,38541,7,0.0007277263748830439,1884.8100000000002
Organic Social,2025-01-19,9531,7776,0.8158640226628895,31.039382912286225,3.6565942713251496,34851,11,0.001154128632882174,5855.67
Paid Other,2025-07-17,9341,2569,0.27502408735681405,179.23916371084468,3.785890161652928,35364,0,0.0,0.0
Organic Shopping,2025-02-13,9298,625,0.06721875672187567,34.1546960023661,4.6815444181544414,43529,5,0.0005377500537750054,1979.3899999999999
Organic Shopping,2025-02-09,9143,574,0.06278026905829596,12.426909555506946,3.7162856830362028,33978,7,0.0007656130372962922,3434.0
Organic Social,2025-01-16,9091,6912,0.7603123968760312,24.95312960191398,3.4678253217467825,31526,9,0.000989990100098999,4218.64
Organic Shopping,2025-02-10,8919,677,0.07590537055723735,40.939485122435244,3.8416862877004148,34264,9,0.0010090817356205853,2752.53
Organic Shopping,2025-02-14,8639,655,0.07581896052783887,51.051809076513486,4.651232781571941,40182,6,0.0006945248292626461,3017.7200000000003
Organic Social,2025-01-17,8595,6767,0.7873182082606166,22.759071848283888,3.467364746945899,29802,9,0.0010471204188481676,5157.29
Organic Social,2025-01-18,8590,6900,0.8032596041909197,17.4327621677532,3.491618160651921,29993,11,0.001280558789289872,5892.029999999999
Unassigned,2025-11-28,8556,4963,0.5800607760635811,224.16126965474524,9.891888733052829,84635,369,0.04207573632538569,231559.1194560001
Organic Social,2025-02-13,8537,928,0.10870329155441022,20.196261863418062,4.079418999648588,34826,5,0.0005856858381164344,4701.2
Direct,2025-10-01,8488,3593,0.4233034872761546,132.07915262806316,5.756008482563619,48857,29,0.0034165881244109333,13617.885105
Unassigned,2025-01-18,8476,4335,0.5114440773949976,80.41104035582823,4.295540349221331,36409,27,0.003067484662576687,18119.37
Organic Shopping,2025-02-11,8326,621,0.07458563535911603,16.617377933221235,3.747778044679318,31204,10,0.0012010569300984868,8090.65
Organic Social,2025-02-01,8323,491,0.05899315150786976,13.557633392887182,3.587528535383876,29859,3,0.00036044695422323683,1517.0700000000002
Organic Social,2025-05-24,8284,2756,0.3326895219700628,56.43249473153065,5.994326412361178,49657,59,0.007122163206180589,31907.170000000013
Organic Social,2025-01-20,8255,5945,0.7201695941853422,14.234299804966687,3.5950333131435492,29677,14,0.0016959418534221683,8446.519999999999
Unassigned,2025-01-02,8227,2971,0.36112799319314454,102.58543812872249,7.519630484988452,61864,138,0.016774036708399172,71759.72883699997
Organic Social,2025-02-16,8226,605,0.07354728908339411,28.564905397155357,3.785679552637977,31141,1,0.00012156576707999027,447.9
Cross-network,2025-11-28,8155,3917,0.4803188228080932,94.34091538295526,6.716002452483139,54769,62,0.007602697731453096,35311.95000000001
Organic Social,2025-05-21,8075,2994,0.37077399380804954,54.124864934984515,6.184891640866873,49943,41,0.005077399380804953,16720.430000000004
Paid Other,2025-07-19,8044,2599,0.3230979612133267,226.34205461573845,3.854301342615614,31004,0,0.0,0.0
Direct,2025-09-01,8040,3166,0.3937810945273632,154.83138005883083,6.640547263681592,53390,100,0.012313432835820896,52804.21124800002
Organic Search,2025-11-28,7971,5754,0.7218667670304855,232.14526266792123,10.68498306360557,85170,283,0.03475097227449504,168804.21321199974
Organic Social,2025-02-20,7900,527,0.06670886075949367,12.37582144670886,3.643037974683544,28780,5,0.0006329113924050633,1995.87
Organic Social,2025-01-27,7893,750,0.09502090459901179,35.123507123527176,3.7404028886355,29523,6,0.0007601672367920942,4972.849999999999
Organic Social,2025-05-23,7893,2503,0.31711643228176867,52.033444150893196,5.7018877486380335,45005,30,0.003800836183960471,14957.64
Organic Social,2025-02-14,7822,710,0.09076962413704935,17.75962215622603,3.80375862950652,29753,2,0.00025568908207619537,2372.31
Paid Other,2025-07-11,7793,2210,0.2835878352367509,195.4457482975747,3.9355832157064032,30670,1,0.00012832028743744385,435.42
Organic Social,2025-02-10,7775,911,0.11717041800643087,59.27489398353698,4.027909967845659,31317,8,0.0010289389067524115,5502.459999999999
Organic Social,2025-11-26,7753,2959,0.3816587127563524,67.1621284007481,6.033535405649426,46778,16,0.0020637172707339093,7924.9
Direct,2025-11-24,7730,3826,0.4949547218628719,123.19758618447608,6.903363518758085,53363,91,0.011772315653298835,53821.89584300002
Organic Social,2025-11-27,7665,3237,0.4223091976516634,63.263242656360084,6.191128506196999,47455,18,0.0023483365949119373,9967.05
Paid Other,2025-06-12,7649,1805,0.2359785592887959,152.80097800352988,3.8707020525558895,29607,1,0.00013073604392731077,9.0
Organic Social,2025-11-25,7597,2696,0.35487692510201396,41.53366185402133,5.688692905094116,43217,11,0.0014479399763064368,5373.599999999999
Organic Shopping,2025-02-02,7594,620,0.08164340268633132,15.632068940874374,3.8074795891493283,28914,13,0.0017118777982617856,3923.6
Organic Social,2025-11-15,7580,2942,0.38812664907651717,63.18322926899736,5.957255936675462,45156,13,0.0017150395778364115,6347.85
Organic Social,2025-02-03,7576,546,0.07206969376979937,15.529409048574445,3.644403379091869,27610,3,0.00039598732840549105,2151.54
Direct,2025-10-05,7526,3226,0.42864735583311186,77.18368259659846,5.90566037735849,44446,15,0.001993090619186819,4360.599999999999
Organic Shopping,2025-02-04,7522,591,0.07856952938048391,14.22291284485509,3.7755915979792607,28400,15,0.0019941504918904547,5699.510000000001
Organic Social,2025-11-23,7492,2747,0.3666577682861719,52.11667842512013,5.735317672183663,42969,13,0.0017351841964762414,4412.773794
Organic Social,2025-11-19,7483,2062,0.27555793131097156,25.03890125310704,5.028999064546305,37632,2,0.00026727248429774154,638.4
Organic Social,2025-02-17,7480,589,0.0787433155080214,24.921344479411765,3.8629679144385025,28895,4,0.0005347593582887701,1051.6799999999998
