Session default channel group,Date,Sessions,Engaged sessions,Engagement rate,Average engagement time per session,Events per session,Event count,Key events,Session key event rate,Total revenue
Direct,2024-12-08,204455,100898,0.4934973466043872,1.6820522853439632,4.407224083539165,901079,62,0.000303245212883,35913.978351
Direct,2024-12-07,182685,88922,0.4867504173851165,1.6358048006130772,4.507474614774065,823448,75,0.0004105427374989,48528.733254
Direct,2024-12-09,157301,73604,0.4679181950527968,1.8027920992237811,4.444790560772023,699170,73,0.0004640784228962,42054.481063
Direct,2024-12-06,115227,58213,0.50520277365548,1.942522151926198,4.475027554305848,515644,65,0.0005554253777326,43756.217504
Organic Social,2024-12-03,26729,6145,0.2299001084963897,4.062516367989824,4.486138650903513,119910,20,0.0007482509633731,10549.113582
Unassigned,2024-12-03,19968,6842,0.3426482371794871,21.86092748397436,6.511818910256411,130028,362,0.0179286858974358,198081.026645
Unassigned,2024-12-02,19255,6025,0.3129057387691508,27.951389249545574,8.035938717216307,154732,599,0.0310049337834328,381063.807577
Organic Social,2024-12-02,18552,4399,0.2371172919361794,4.849288486416559,4.526573954290643,83977,25,0.0013475636050021,18985.89
Unassigned,2024-12-08,18224,2904,0.1593503072870939,12.920818700614577,4.738476733977173,86354,203,0.0109196663740122,115224.624132
Direct,2024-12-05,17846,7966,0.446374537711532,8.315028577832567,5.400425865740222,96376,94,0.005099181889499,61008.157185
Unassigned,2024-12-09,17212,3084,0.1791773181501278,12.442830583313969,4.825586799907041,83058,205,0.0118521961422263,98696.966822
Unassigned,2024-12-07,14919,2100,0.1407601045646491,10.01320463838059,4.329780816408607,64596,145,0.0093840069709766,82182.962797
Paid Shopping,2024-12-03,14416,4505,0.3125,7.84739178690344,5.690899001109878,82040,27,0.0018035516093229,14169.06
Organic Social,2024-12-09,14383,4286,0.2979906834457345,5.346659250504067,4.937565181116596,71017,17,0.0011819509142737,9040.797901
Organic Social,2024-12-08,14337,4173,0.2910650763758108,5.495082653274744,4.958708237427635,71093,15,0.001046243984097,6678.35
Organic Social,2024-12-05,13729,3280,0.2389103357855634,4.8535217422973265,4.570689780756064,62751,8,0.0005827081360623,2687.4
Organic Social,2024-12-07,13196,3759,0.2848590481964231,5.358896635344044,4.989239163382844,65838,14,0.0010609275538041,10309.075926
Paid Shopping,2024-12-10,13050,4182,0.3204597701149425,7.107586206896552,5.473409961685824,71428,31,0.002375478927203,18194.19
Unassigned,2024-12-01,13002,3800,0.2922627288109521,27.773342562682664,7.834948469466236,101870,350,0.0264574680818335,214540.382133
Unassigned,2024-12-06,12366,2438,0.1971534853630923,12.631166100598415,5.142083131166101,63587,148,0.0118874332848131,81668.383525
Referral,2024-12-09,12113,3531,0.2915049946338644,5.845868075621233,5.695781391893007,68993,16,0.001320894906299,9556.945541
Organic Social,2024-12-04,12062,3090,0.2561764218205936,5.050323329464434,4.700049742994528,56692,6,0.0004974299452827,2544.3
Referral,2024-12-27,11939,3688,0.3089035932657676,6.5963648546779465,5.589831644191306,66737,11,0.0009213501968339,10062.2
Organic Social,2024-12-01,11526,3072,0.2665278500780843,7.239979177511713,5.116605934409162,58974,10,0.0008676036786395,4615.13
Unassigned,2024-12-04,10944,3625,0.3312317251461988,23.17013888888889,7.261970029239766,79475,191,0.0167214912280701,114326.054672
Paid Shopping,2024-12-02,10848,3437,0.3168325958702065,9.752673303834808,5.9907817109144545,64988,40,0.0036873156342182,40300.71
Paid Shopping,2024-12-20,10605,3481,0.3282413955681282,6.958604431871759,5.444413012729845,57738,31,0.0029231494578029,22759.08
Paid Shopping,2024-12-06,10400,2817,0.2708653846153846,5.6345192307692304,5.5670192307692306,57897,19,0.001826923076923,11559.3
Direct,2024-12-02,10294,4301,0.4178162036137556,29.20623664270449,8.994268505925781,92587,278,0.0266174470565377,173927.901497
Unassigned,2024-12-05,10210,3187,0.3121449559255632,18.03036238981391,6.41537708129285,65501,133,0.0128305582761998,78333.960792
Referral,2024-12-02,10053,3007,0.299114692131702,11.12245100964886,5.794986571172784,58257,29,0.0028847110315328,17978.529409
Paid Shopping,2024-12-09,9879,3029,0.3066099807672841,7.222694604717077,5.5158416843810105,54491,27,0.0027330701488004,11292.0
Paid Shopping,2024-12-04,9800,3155,0.321938775510204,8.177244897959184,5.838265306122449,57215,25,0.0025510204081632,7761.15
Unassigned,2024-12-19,9512,2994,0.3147603027754415,19.98706896551724,6.613015138772077,62903,157,0.0162952060555088,94776.49
Paid Shopping,2024-12-22,9510,3316,0.3486855941114616,9.020715036803365,5.638801261829653,53625,10,0.0009463722397476,11547.2
Paid Shopping,2024-12-26,9383,3345,0.356495790258979,7.385377810934669,5.412021741447298,50781,23,0.0024512416071618,16436.88
Paid Shopping,2024-12-19,9329,3113,0.3336906420838246,6.687640690320506,5.362525458248473,50027,13,0.001393504126916,9649.03
Unassigned,2024-12-12,9137,2746,0.3005362810550508,22.311371347269343,6.938820181678888,63400,164,0.0178395534639378,90913.425419
Unassigned,2024-12-16,9128,2755,0.3018185801928133,27.54918930762489,7.314198071866784,66764,203,0.0218010517090271,130032.823541
Paid Shopping,2024-12-11,9077,3181,0.350446182659469,8.909992288200947,5.989093312768536,54363,28,0.0029745510631265,20286.98
Organic Social,2024-12-06,8965,2571,0.286781929726715,6.16441717791411,5.161963190184049,46277,16,0.0017847183491355,10018.03
Paid Shopping,2024-12-01,8948,2994,0.3345999105945462,10.147630755476085,6.172105498435404,55228,32,0.0035762181493071,15729.75
Organic Shopping,2024-12-01,8767,1896,0.2162655412341736,7.192996464012775,5.110642180905669,44805,17,0.0019390897684498,9267.6
Direct,2024-12-01,8697,3409,0.3919742439921812,25.83936989766586,8.191790272507761,71244,150,0.0171323444866045,79607.853389
Paid Search,2024-12-02,8688,4038,0.4647790055248619,40.02969613259668,10.809967771639045,93917,208,0.0237108655616942,143422.426372
Paid Shopping,2024-12-17,8669,3015,0.347790979351713,8.25020186872765,5.302226323682086,45965,19,0.0021917176144884,14148.28
Unassigned,2024-12-27,8652,2320,0.2681460933888118,24.870203421174295,6.8385344429033745,59167,150,0.0173370319001386,84848.720708
Paid Shopping,2024-12-18,8646,3019,0.349178811010872,7.959287531806615,5.543835299560491,47932,24,0.0027758501040943,16892.1
Direct,2024-12-03,8603,3384,0.3933511565732884,23.127629896547717,7.631872602580495,65657,132,0.0153434848308729,86340.808537
Unassigned,2024-12-10,8149,2336,0.2866609399926371,21.00441771996564,7.147011903301019,58241,173,0.0207387409498097,104225.324441
Paid Shopping,2024-12-16,8135,2693,0.331038721573448,8.184511370620774,5.390043023970498,43848,13,0.00159803318992,10622.58
Paid Shopping,2024-12-12,8091,2758,0.3408725744654554,7.971326164874552,5.839327648003955,47246,26,0.0032134470399209,16025.2
