Date,Session default channel group,Sessions,Total users,Ecommerce purchases,Purchase revenue
2025-12-01,Cross-network,4446,4501,5,2185.2
2025-12-01,Unassigned,1445,1416,22,13178.8
2025-12-01,Direct,1121,1090,17,10432.00882
2025-12-01,Organic Social,977,969,4,2733.6
2025-12-01,Organic Search,814,782,14,7584.695431
2025-12-01,Paid Other,396,364,0,0.0
2025-12-01,Paid Search,392,382,14,12267.3
2025-12-01,Affiliates,258,255,2,1952.05
2025-12-01,Referral,174,167,3,1523.25
2025-12-01,Paid Shopping,101,98,2,991.4
2025-12-01,SMS,75,71,4,2297.6
2025-12-01,Organic Shopping,25,24,6,2257.55
2025-12-01,Organic Video,25,24,0,0.0
2025-12-01,Paid Social,12,12,0,0.0
2025-12-01,Email,2,2,0,0.0
