date,real_revenue,orders
2024-01-01,264526.37000000005,401
2024-01-02,165112.16,264
2024-01-03,138963.34999999998,222
2024-01-04,94291.34,179
2024-01-05,96440.56000000001,180
2024-01-06,101330.54000000001,164
2024-01-07,108225.03,176
2024-01-08,102130.62999999999,152
2024-01-09,104074.57999999999,195
2024-01-10,107806.46,157
2024-01-11,84929.84000000001,151
2024-01-12,65098.3,130
2024-01-13,92031.52999999998,149
2024-01-14,115224.87,158
2024-01-15,124859.65000000002,194
2024-01-16,97974.18,159
2024-01-17,101625.56,153
2024-01-18,93510.32999999999,151
2024-01-19,112127.85,172
2024-01-20,107935.11,148
2024-01-21,125585.83000000002,203
2024-01-22,81324.6,135
2024-01-23,92011.39,153
2024-01-24,82181.12,154
2024-01-25,97309.26999999999,155
2024-01-26,92085.14,139
2024-01-27,87349.85,140
2024-01-28,91347.32,140
2024-01-29,111906.5,169
2024-01-30,86113.68,147
2024-01-31,99885.15,155
2024-02-01,107535.81,160
2024-02-02,98739.59999999998,168
2024-02-03,84323.56000000001,123
2024-02-04,91465.79000000001,151
2024-02-05,113738.75,160
2024-02-06,97952.51999999999,139
2024-02-07,84767.25,124
2024-02-08,94862.81,165
2024-02-09,104441.81,164
2024-02-10,94191.21999999999,155
2024-02-11,82748.96999999999,134
2024-02-12,91378.77,142
2024-02-13,100032.19,143
2024-02-14,84149.42,148
2024-02-15,78662.32999999999,138
2024-02-16,119829.58,203
2024-02-17,133138.22999999998,225
2024-02-18,123708.60999999999,215
2024-02-19,180525.53,300
2024-02-20,79775.8,142
2024-02-21,85826.25,125
2024-02-22,68027.06999999999,130
2024-02-23,88457.29000000001,189
2024-02-24,78568.59999999999,139
2024-02-25,70395.63,136
2024-02-26,95390.18,142
2024-02-27,92453.79000000001,242
2024-02-28,89788.01000000001,163
2024-02-29,82033.84,156
2024-03-01,74467.26,147
2024-03-02,82630.54,121
2024-03-03,94352.57,138
2024-03-04,79077.96,123
2024-03-05,78353.7,130
2024-03-06,69434.14,133
2024-03-07,60233.2,99
2024-03-08,84458.87000000001,129
2024-03-09,75002.6,117
2024-03-10,77670.39,128
2024-03-11,73027.72000000002,110
2024-03-12,69164.95999999999,114
2024-03-13,66804.41,118
2024-03-14,76236.06999999999,133
2024-03-15,86714.35,162
2024-03-16,72501.58,137
2024-03-17,162467.84,314
2024-03-18,111479.62000000001,182
2024-03-19,102566.94000000002,140
2024-03-20,71797.53,113
2024-03-21,67402.69,117
2024-03-22,61456.149999999994,96
2024-03-23,83279.84999999999,121
2024-03-24,81499.68000000001,111
2024-03-25,73948.77,95
2024-03-26,78996.93,106
2024-03-27,64220.340000000004,98
2024-03-28,74367.6,105
2024-03-29,74432.93000000001,110
2024-03-30,61846.38999999999,107
2024-03-31,74120.45999999999,105
