Account Level - Daily Report
"July 1, 2025 - July 24, 2025"
Account name,Customer ID,Day,Currency code,Cost,Clicks,Impr.,CTR,Avg. CPC (Converted currency),Cost (Converted currency),Conv. value,Conv. value / cost (current model),Conversions,Cost / conv.,Converted currency code
HigherDOSE,458-964-9684,2025-07-01,USD,4752.14,"2,497","85,767",2.91%,1.90,4752.14,"17,963.06",3.78,28.82,164.90,USD
HigherDOSE,458-964-9684,2025-07-02,USD,4634.22,"2,515","90,802",2.77%,1.84,4634.22,"7,616.53",1.64,17.33,267.41,USD
HigherDOSE,458-964-9684,2025-07-03,USD,4499.44,"2,431","87,860",2.77%,1.85,4499.44,"11,521.88",2.56,20.48,219.65,USD
HigherDOSE,458-964-9684,2025-07-04,USD,4477.41,"2,476","80,898",3.06%,1.81,4477.41,"17,256.58",3.85,27.89,160.53,USD
HigherDOSE,458-964-9684,2025-07-05,USD,4818.42,"2,728","91,238",2.99%,1.77,4818.42,"13,817.62",2.87,25.69,187.56,USD
HigherDOSE,458-964-9684,2025-07-06,USD,5059.96,"2,688","94,391",2.85%,1.88,5059.96,"25,850.29",5.11,39.90,126.81,USD
HigherDOSE,458-964-9684,2025-07-07,USD,5505.77,"2,855","107,726",2.65%,1.93,5505.77,"18,657.84",3.39,24.55,224.27,USD
HigherDOSE,458-964-9684,2025-07-08,USD,5769.54,"2,817","104,359",2.70%,2.05,5769.54,"15,213.41",2.64,26.10,221.02,USD
HigherDOSE,458-964-9684,2025-07-09,USD,5549.37,"2,586","94,549",2.74%,2.15,5549.37,"18,936.24",3.41,34.28,161.87,USD
HigherDOSE,458-964-9684,2025-07-10,USD,4035.22,"2,358","83,471",2.82%,1.71,4035.22,"25,449.41",6.31,40.29,100.16,USD
HigherDOSE,458-964-9684,2025-07-11,USD,3770.37,"2,409","79,514",3.03%,1.57,3770.37,"15,885.30",4.21,24.69,152.72,USD
HigherDOSE,458-964-9684,2025-07-12,USD,3667.25,"2,090","70,250",2.98%,1.75,3667.25,"17,511.30",4.78,37.45,97.92,USD
HigherDOSE,458-964-9684,2025-07-13,USD,3899.83,"2,936","93,398",3.14%,1.33,3899.83,"11,619.45",2.98,24.67,158.08,USD
HigherDOSE,458-964-9684,2025-07-14,USD,4692.79,"3,021","108,322",2.79%,1.55,4692.79,"21,817.73",4.65,32.86,142.82,USD
HigherDOSE,458-964-9684,2025-07-15,USD,3884.23,"2,415","250,914",0.96%,1.61,3884.23,"19,144.34",4.93,35.96,108.01,USD
HigherDOSE,458-964-9684,2025-07-16,USD,3944.72,"2,310","198,048",1.17%,1.71,3944.72,"23,211.95",5.88,28.86,136.66,USD
HigherDOSE,458-964-9684,2025-07-17,USD,3243.05,"2,844","152,492",1.87%,1.14,3243.05,"11,227.90",3.46,18.28,177.39,USD
HigherDOSE,458-964-9684,2025-07-18,USD,4095.16,"2,719","107,853",2.52%,1.51,4095.16,"22,841.76",5.58,34.94,117.20,USD
HigherDOSE,458-964-9684,2025-07-19,USD,4361.26,"2,934","110,899",2.65%,1.49,4361.26,"16,402.04",3.76,30.45,143.24,USD
HigherDOSE,458-964-9684,2025-07-20,USD,4665.77,"3,181","139,459",2.28%,1.47,4665.77,"26,598.71",5.70,38.34,121.71,USD
HigherDOSE,458-964-9684,2025-07-21,USD,4872.79,"3,043","128,555",2.37%,1.60,4872.79,"11,429.04",2.35,20.30,240.07,USD
HigherDOSE,458-964-9684,2025-07-22,USD,4109.28,"2,654","116,901",2.27%,1.55,4109.28,"6,230.69",1.52,10.00,410.93,USD
HigherDOSE,458-964-9684,2025-07-23,USD,4787.28,"2,623","112,893",2.32%,1.83,4787.28,"11,799.73",2.46,17.50,273.56,USD
HigherDOSE,458-964-9684,2025-07-24,USD,2743.21,"1,640","50,455",3.25%,1.67,2743.21,"9,397.59",3.43,12.46,220.22,USD
