Day,Delivery status,Delivery level,Ad Set Name,Ad name,Impressions,"CPM (cost per 1,000 impressions)",Reach,"Cost per 1,000 Accounts Center accounts reached",Frequency,CTR (all),Unique outbound clicks,Unique outbound CTR (click-through rate),Cost per unique outbound click,Landing page views,Cost per landing page view,Content views,Cost per content view,Adds to cart,Cost per add to cart,Checkouts Initiated,Cost per checkout initiated,Adds of payment info,Cost per add of payment info,Purchases,Cost per purchase,Purchases conversion value,Average purchases conversion value,Purchase ROAS (return on ad spend),Amount spent (USD),Link (ad settings),Attribution setting,Campaign ID,Ad set ID,Ad ID,Result type,Results,Cost per result,Link clicks,CPC (cost per link click),Campaign Delivery,Ad Set Delivery,Ad Delivery,Reporting starts,Reporting ends
2025-01-01,,,,,2383882,25.73129,922418,66.49952624515133,2.584384,0.906505,13450.0,0.014581241909849982,4.56062156133829,14397,4.260634854483573,16594,3.696539,3351,18.305091,1715,35.766974,186,329.786882,321,191.091464,213393.46,664.7771339563863,3.4788426412887046,61340.36,,multiple,,,,Website purchases,321,191.091464,15470,2.838517,,,,2025-01-01,2025-01-01
2025-01-02,,,,,1192202,28.949851,494348,69.81735538527515,2.411665,1.024239,7166.0,0.014495861215176353,4.816364778118895,7522,4.588416644509439,10658,3.238325,2028,17.018772,1171,29.474014,112,308.161339,188,183.585479,110793.46,589.3269148936171,3.210095477004016,34514.07,,multiple,,,,Website purchases,188,183.585479,8276,2.826474,,,,2025-01-02,2025-01-02
2025-01-03,,,,,818824,30.768456,355994,70.77071523677365,2.300106,1.085215,5158.0,0.01448900824171194,4.8844416440480805,5594,4.5037450840185915,8923,2.823484,747,33.726841,640,39.365547,58,434.378448,144,174.957986,83701.46,581.260138888889,3.3222841197986024,25193.95,,multiple,,,,Website purchases,144,174.957986,6123,2.835241,,,,2025-01-03,2025-01-03
2025-01-04,,,,,792471,35.860681,359024,79.15501470653773,2.207293,1.216953,5336.0,0.014862516154908864,5.3258152173913045,6358,4.469731047499214,8925,3.184151,504,56.386012,396,71.764015,37,768.068919,88,322.938068,55816.3,634.2761363636364,1.9640797999897956,28418.55,,multiple,,,,Website purchases,88,322.938068,6897,2.94676,,,,2025-01-04,2025-01-04
2025-01-05,,,,,845856,38.031769,371383,86.62055075218844,2.277584,1.329423,6437.0,0.01733251118117954,4.997576510796955,7278,4.4200879362462215,9924,3.241576,603,53.348922,443,72.617156,46,699.334783,84,382.969048,53531.08,637.2747619047619,1.664037252793027,32169.4,,multiple,,,,Website purchases,84,382.969048,7884,2.860774,,,,2025-01-05,2025-01-05
2025-01-06,,,,,526251,37.317573,230088,85.35173498835228,2.287173,1.287218,4105.0,0.017840999965230694,4.784021924482339,4385,4.47854275940707,6655,2.950926,416,47.207716,363,54.100303,39,503.548974,117,167.849658,73276.92,626.2984615384615,3.7313061495304356,19638.41,,multiple,,,,Website purchases,117,167.849658,4922,2.899086,,,,2025-01-06,2025-01-06
2025-01-07,,,,,331202,35.604586,154341,76.40426069547301,2.145911,1.422999,3255.0,0.021089665092230838,3.6228294930875573,3228,3.653131970260223,5488,2.148745,361,32.665679,283,41.66894,21,561.538571,104,113.387596,47674.43,458.4079807692308,4.042840630885721,11792.31,,multiple,,,,Website purchases,104,113.387596,3645,2.502081,,,,2025-01-07,2025-01-07
2025-01-08,,,,,409061,26.183161,217134,49.326729116582385,1.88391,1.192243,3187.0,0.014677572374662651,3.360687166614371,3269,3.27638727439584,5008,2.13868,273,39.232637,198,54.093485,22,486.841364,75,142.8068,40332.03,537.7604,3.765649814994804,10710.51,,multiple,,,,Website purchases,75,142.8068,3669,2.196127,,,,2025-01-08,2025-01-08
2025-01-09,,,,,366293,25.621047,214520,43.747948909192615,1.7075,1.240537,3230.0,0.015056871154204737,2.9055139318885446,3224,2.9109212158808933,4637,2.023897,210,44.689571,160,58.655063,16,586.550625,56,167.585893,32631.39,582.7033928571428,3.477043221972528,9384.81,,multiple,,,,Website purchases,56,167.585893,3593,2.065319,,,,2025-01-09,2025-01-09
2025-01-10,,,,,415620,27.466917,259604,43.97389870726183,1.600977,1.33367,3840.0,0.01479175975716861,2.972864583333333,4004,2.8510989010989007,5757,1.982943,242,47.172727,174,65.608046,21,543.609524,66,172.966667,38224.1,579.1530303030303,3.348350531719196,11415.8,,multiple,,,,Website purchases,66,172.966667,4277,2.059498,,,,2025-01-10,2025-01-10
2025-01-11,,,,,351239,25.221146,201831,43.89142401315952,1.740263,1.225946,3299.0,0.0163453582452646,2.6852531070021217,3435,2.578937409024745,5402,1.639883,254,34.876575,148,59.855743,15,590.576667,63,140.613492,43204.75,685.7896825396825,4.87712574715109,8858.65,,multiple,,,,Website purchases,63,140.613492,3615,2.057281,,,,2025-01-11,2025-01-11
2025-01-12,,,,,434369,27.772447,246142,49.010286745049605,1.764709,1.253542,3802.0,0.015446368356477155,3.1729326670173594,4134,2.918115626511853,6042,1.996605,271,44.514723,228,52.910044,20,603.1745,77,156.668701,40362.86,524.192987012987,3.3458692302144737,12063.49,,multiple,,,,Website purchases,77,156.668701,4350,2.215517,,,,2025-01-12,2025-01-12
2025-01-13,,,,,339950,29.544874,191546,52.43534190220626,1.77477,1.310193,3178.0,0.016591314879976612,3.160409062303336,3275,3.0668030534351147,4872,2.061531,226,44.441504,180,55.798778,15,669.585333,64,156.934063,34664.19,541.62796875,3.45130916846048,10043.78,,multiple,,,,Website purchases,64,156.934063,3495,2.255002,,,,2025-01-13,2025-01-13
2025-01-14,,,,,265963,39.012757,150937,68.74358175927705,1.76208,1.45509,2559.0,0.016954093429709084,4.054689331770223,2780,3.732356115107914,4222,2.457591,262,39.602863,166,62.505723,22,471.634091,65,159.63,37323.27,574.2041538461538,3.5970942419730236,10375.95,,multiple,,,,Website purchases,65,159.63,2941,2.681124,,,,2025-01-14,2025-01-14
2025-01-15,,,,,298756,33.59715,188290,53.307929258059374,1.58668,2.182383,5263.0,0.02795156407669021,1.9071537146114383,4981,2.0151274844408755,6219,1.613981,322,31.171894,103,97.45,19,528.281579,54,185.876852,26870.64,497.6044444444444,2.677065161621344,10037.35,,multiple,,,,Website purchases,54,185.876852,5361,1.539471,,,,2025-01-15,2025-01-15
