date,platform,spend,accounting_mode,attribution_model,attribution_window
2024-01-01,Google,14951.08,Cash snapshot,Platform reported,1
2024-01-01,Meta,17149.02,Cash snapshot,Platform reported,1
2024-01-01,ShareASale,5396.934774757978,Cash snapshot,Monthly allocation,1
2024-01-01,ShopMy,1200.583086215896,Cash snapshot,Monthly allocation,1
2024-01-01,TikTok,523.0380193347607,Cash snapshot,Monthly allocation,1
2024-01-02,Google,17034.37,Cash snapshot,Platform reported,1
2024-01-02,Meta,9133.34,Cash snapshot,Platform reported,1
2024-01-02,ShareASale,4399.5322156249385,Cash snapshot,Monthly allocation,1
2024-01-02,ShopMy,978.7044286778721,Cash snapshot,Monthly allocation,1
2024-01-02,TikTok,426.37584334398997,Cash snapshot,Monthly allocation,1
2024-01-03,Google,16521.86,Cash snapshot,Platform reported,1
2024-01-03,Meta,9901.9,Cash snapshot,Platform reported,1
2024-01-03,ShareASale,4442.58146310631,Cash snapshot,Monthly allocation,1
2024-01-03,ShopMy,988.2810125273176,Cash snapshot,Monthly allocation,1
2024-01-03,TikTok,430.5479139870929,Cash snapshot,Monthly allocation,1
2024-01-04,Google,14284.22,Cash snapshot,Platform reported,1
2024-01-04,Meta,12386.55,Cash snapshot,Platform reported,1
2024-01-04,ShareASale,4484.110830887499,Cash snapshot,Monthly allocation,1
2024-01-04,ShopMy,997.5194892961183,Cash snapshot,Monthly allocation,1
2024-01-04,TikTok,434.5726871546492,Cash snapshot,Monthly allocation,1
2024-01-05,Google,11687.48,Cash snapshot,Platform reported,1
2024-01-05,Meta,12956.89,Cash snapshot,Platform reported,1
2024-01-05,ShareASale,4143.41567331573,Cash snapshot,Monthly allocation,1
2024-01-05,ShopMy,921.7296454667255,Cash snapshot,Monthly allocation,1
2024-01-05,TikTok,401.55458931757215,Cash snapshot,Monthly allocation,1
2024-01-06,Google,13542.49,Cash snapshot,Platform reported,1
2024-01-06,Meta,14146.43,Cash snapshot,Platform reported,1
2024-01-06,ShareASale,4655.290644686205,Cash snapshot,Monthly allocation,1
2024-01-06,ShopMy,1035.5995472782029,Cash snapshot,Monthly allocation,1
2024-01-06,TikTok,451.1623912174306,Cash snapshot,Monthly allocation,1
2024-01-07,Google,11839.76,Cash snapshot,Platform reported,1
2024-01-07,Meta,15399.64,Cash snapshot,Platform reported,1
2024-01-07,ShareASale,4579.713617824944,Cash snapshot,Monthly allocation,1
2024-01-07,ShopMy,1018.7869482858083,Cash snapshot,Monthly allocation,1
2024-01-07,TikTok,443.8379264820759,Cash snapshot,Monthly allocation,1
2024-01-08,Google,10056.97,Cash snapshot,Platform reported,1
2024-01-08,Meta,10287.32,Cash snapshot,Platform reported,1
2024-01-08,ShareASale,3420.4505957539377,Cash snapshot,Monthly allocation,1
2024-01-08,ShopMy,760.9013827081906,Cash snapshot,Monthly allocation,1
2024-01-08,TikTok,331.4892211043573,Cash snapshot,Monthly allocation,1
2024-01-09,Google,9577.52,Cash snapshot,Platform reported,1
2024-01-09,Meta,9504.06,Cash snapshot,Platform reported,1
2024-01-09,ShareASale,3208.1533284733173,Cash snapshot,Monthly allocation,1
2024-01-09,ShopMy,713.6744809603557,Cash snapshot,Monthly allocation,1
2024-01-09,TikTok,310.9146640969276,Cash snapshot,Monthly allocation,1
2024-01-10,Google,6700.88,Cash snapshot,Platform reported,1
2024-01-10,Meta,9346.08,Cash snapshot,Platform reported,1
2024-01-10,ShareASale,2697.947870977046,Cash snapshot,Monthly allocation,1
2024-01-10,ShopMy,600.1759733204267,Cash snapshot,Monthly allocation,1
