Account Level - Daily Report
"July 1, 2025 - July 20, 2025"
Account name,Customer ID,Day,Currency code,Cost,Clicks,Impr.,CTR,Avg. CPC (Converted currency),Cost (Converted currency),Conv. value,Conv. value / cost (current model),Conversions,Cost / conv.,Converted currency code
HigherDOSE,458-964-9684,2025-07-01,USD,4752.14,"2,497","85,779",2.91%,1.90,4752.14,"17,553.59",3.69,27.32,173.96,USD
HigherDOSE,458-964-9684,2025-07-02,USD,4634.22,"2,515","90,811",2.77%,1.84,4634.22,"7,616.53",1.64,17.33,267.41,USD
HigherDOSE,458-964-9684,2025-07-03,USD,4499.44,"2,431","87,874",2.77%,1.85,4499.44,"11,521.88",2.56,20.48,219.65,USD
HigherDOSE,458-964-9684,2025-07-04,USD,4477.41,"2,476","80,907",3.06%,1.81,4477.41,"17,040.73",3.81,26.89,166.50,USD
HigherDOSE,458-964-9684,2025-07-05,USD,4818.43,"2,728","91,246",2.99%,1.77,4818.43,"12,411.23",2.58,24.69,195.15,USD
HigherDOSE,458-964-9684,2025-07-06,USD,5059.96,"2,688","94,393",2.85%,1.88,5059.96,"24,354.35",4.81,38.90,130.07,USD
HigherDOSE,458-964-9684,2025-07-07,USD,5505.77,"2,855","107,735",2.65%,1.93,5505.77,"18,657.84",3.39,24.55,224.27,USD
HigherDOSE,458-964-9684,2025-07-08,USD,5769.54,"2,817","104,364",2.70%,2.05,5769.54,"14,987.98",2.60,25.60,225.34,USD
HigherDOSE,458-964-9684,2025-07-09,USD,5549.37,"2,586","94,552",2.74%,2.15,5549.37,"18,936.24",3.41,34.28,161.87,USD
HigherDOSE,458-964-9684,2025-07-10,USD,4035.22,"2,358","83,472",2.82%,1.71,4035.22,"25,028.32",6.20,39.29,102.71,USD
HigherDOSE,458-964-9684,2025-07-11,USD,3770.37,"2,409","79,514",3.03%,1.57,3770.37,"14,977.97",3.97,23.65,159.40,USD
HigherDOSE,458-964-9684,2025-07-12,USD,3667.25,"2,090","70,250",2.98%,1.75,3667.25,"17,511.30",4.78,37.45,97.92,USD
HigherDOSE,458-964-9684,2025-07-13,USD,3899.87,"2,936","93,407",3.14%,1.33,3899.87,"11,619.45",2.98,24.67,158.08,USD
HigherDOSE,458-964-9684,2025-07-14,USD,4692.79,"3,021","108,325",2.79%,1.55,4692.79,"21,405.39",4.56,31.86,147.31,USD
HigherDOSE,458-964-9684,2025-07-15,USD,3884.33,"2,415","250,954",0.96%,1.61,3884.33,"19,144.34",4.93,35.96,108.01,USD
HigherDOSE,458-964-9684,2025-07-16,USD,3944.61,"2,309","198,086",1.17%,1.71,3944.61,"22,813.12",5.78,27.86,141.56,USD
HigherDOSE,458-964-9684,2025-07-17,USD,3243.07,"2,844","152,504",1.86%,1.14,3243.07,"11,171.31",3.44,17.28,187.66,USD
HigherDOSE,458-964-9684,2025-07-18,USD,4095.17,"2,719","107,854",2.52%,1.51,4095.17,"22,841.76",5.58,34.94,117.20,USD
HigherDOSE,458-964-9684,2025-07-19,USD,4361.28,"2,934","110,908",2.65%,1.49,4361.28,"13,101.66",3.00,25.00,174.45,USD
HigherDOSE,458-964-9684,2025-07-20,USD,4663.86,"3,181","139,462",2.28%,1.47,4663.86,"18,140.66",3.89,26.84,173.79,USD
