Product title,Revenue,% New to Brand
HigherDOSE PEMF Pro Mat,156068.53,73.7
Red Light Hat,141298.09,80.5
Infrared Sauna Blanket,112383.14,87.9
Microcurrent Body Sculptor Ritual Set,93575.49,53.4
PEMF Pro Mat Starter Kit,83986.23,83.4
HigherDOSE Red Light Face Mask,80347.19,82.4
Sauna Blanket Starter Kit,71670.75,81.5
Infrared PEMF Go Mat,61494.36,78.2
PEMF Go Mat Starter Kit,30915.84,73.1
(New) Summer Body Recover & Sculpt,26017.1,33.2
HigherDOSE Redlight FaceMask and Neck Enhancer Combo ( 1 Of Each),22266.04,77.7
Red Light Skin Starter Kit,21593.94,73.5
Red Light Starter Kit,21331.93,82.1
Full Spectrum Infrared Sauna,19442.35,49.6
Red Light Neck Enhancer,14503.8,51.4
Turn Me on Kit,14402.32,78.2
Infrared Sauna Blanket Insert,14287.98,63.0
Best Seller Bundle,12636.77,61.9
The Supermom Bundle,10808.34,90.7
The Sweat it Out Bundle,10279.13,106.9
Best Seller Plus Bundle,10170.73,100.0
HigherDOSE Serotonin Soak Salt,9425.37,48.8
Light-Activated Glow Serum,8165.61,40.9
SUPERCHARGE Copper Body Brush,4843.28,59.5
HigherDOSE Oxytocin Oil,4252.92,40.0
HigherDOSE Endorphin Oil,3490.22,30.9
High Maintenance Cleaner,3358.5,54.7
Order Protection,2891.2000000000003,76.8
High-Dration Powder,2772.7,19.5
EMF Blocking Fanny Pack,2585.11,25.1
Summer Travel Glow Kit,2277.87,82.7
SweatBand,2206.44,39.0
HigherDOSE Mat Cover,1987.62,56.7
Daily Dose Ritual,1871.83,24.8
Sauna Blanket Bag,1859.55,55.9
After Bedtime Bundle,1774.65,49.2
Oxytocin Kit,1716.49,55.2
Add-on Red Light Panel,1702.94,
DailyDOSE Time-Marked Glass Water Bottle,1593.8899999999999,45.3
Detox Drops,1559.1,32.4
HigherDOSE Transdermal Magnesium Spray,1551.12,36.8
Epic Bundle,1305.42,100.0
Endorphin Kit,986.51,50.2
Mask - Replacement Cord,979.66,28.6
Sculpting Activator Gel,550.11,16.5
DealMoon Bundle,391.47,100.0
(TAN) Infrared Sauna Blanket - Replacement Cord,388.06,28.4
PRO Mat Replacement Cord - US/Canada,323.21,16.8
GO Mat Replacement Cord - US/Canada,271.04,0.0
(BLACK) Infrared Sauna Blanket - Replacement Cord,269.57,19.7
eGift Card,200.0,
Dopamine Set,159.01,50.9
HighDration Kit,149.45,65.0
100% Organic Cotton Bath Robe,120.75,
High Maintenance Cleaner (Refill),64.24,
Neck Enhancer- Straps,20.58,
(Z) HigherDOSE PEMF Pro Mat,0.0,
(Z) 100% Organic Cotton Bath Robe,0.0,
(Z) Body Sculptor Ritual Set,0.0,
(Z) DailyDOSE Water Bottle,0.0,
(Z) Detox Drops,0.0,
(Z) Endorphin Set,0.0,
(Z) Glow Serum,0.0,
(Z) HIGH MAINTENANCE Cleaner,0.0,
(Z) HIGH MAINTENANCE Cleaner (Refill),0.0,
(Z) High-Dration Powder,0.0,
(Z) HigherDOSE Endorphin Oil,0.0,
(Z) HigherDOSE Mat Cover,0.0,
(Z) HigherDOSE Red Light Face Mask,0.0,
Red Light Hat  - Replacement Parts,0.0,
(Z) Soak Salt Mini,0.0,
(Z) HigherDOSE Transdermal Magnesium Spray,0.0,
(Z) Infrared PEMF Go Mat,0.0,
(Z) Infrared Sauna Blanket,0.0,
(Z) Infrared Sauna Blanket Insert ( All variants),0.0,
(Z) Oxytocin Oil ( Full Size Sample),0.0,
(Z) Red Light Hat,0.0,
(Z) Red Light Neck Enhancer,0.0,
(Z) SUPERCHARGE Copper Body Brush,0.0,
(Z) Sauna Blanket Bag,0.0,
(Z) Sculpting Activator Gel,0.0,
(Z) HigherDOSE Serotonin Soak Salt,0.0,
