"Day","Orders","Gross sales","Discounts","Returns","Net sales","Shipping charges","Duties","Additional fees","Taxes","Total sales","New customers","Returning customers"
"2024-01-01",401,278125.53,-15441.16,-1100.75,261583.62,1842,0,0,19085.03,282510.65,297,102
"2024-01-02",277,173195.93,-8146.77,-30781.16,134268,63,0,0,9150.14,143481.14,198,71
"2024-01-03",244,151772.41,-12028.06,-6647.45,133096.9,18,0,0,9781.66,142896.56,166,77
"2024-01-04",215,103286.91,-8060.22,-14167.24,81059.45,52,0,0,5803.96,86915.41,151,64
"2024-01-05",212,103795.21,-7372.65,-27474.1,68948.46,18,0,0,4864.97,73831.43,143,69
"2024-01-06",177,105792.24,-5514.7,-11398.24,88879.3,1053,0,0,6070,96002.3,132,44
"2024-01-07",186,111590.87,-4494.84,-1301.64,105794.39,1129,0,0,6874.08,113797.47,126,60
"2024-01-08",178,107621.65,-5355.02,-5111.4,97155.23,64,0,0,6843.53,104062.76,115,63
"2024-01-09",221,109246.49,-5420.91,-15344.37,88481.21,210,0,0,6346.19,95037.4,136,82
"2024-01-10",181,117153.47,-10464.01,-18349.69,88339.77,1867,0,0,6838.94,97045.71,119,61
"2024-01-11",170,90741.79,-5840.58,-8497.3,76403.91,28.63,0,0,5507.74,81940.28,113,56
"2024-01-12",163,69995.77,-5056.47,-43977.49,20961.81,159,0,0,1383.15,22503.96,95,68
"2024-01-13",156,97071.27,-5114.74,-5644.13,86312.4,75,0,0,6029.37,92416.77,99,56
"2024-01-14",174,120972.07,-6578.2,-9202.75,105191.12,876,0,0,7358.22,113425.34,110,61
"2024-01-15",197,131415.99,-6568.34,0,124847.65,63,0,0,8933.67,133844.32,148,48
"2024-01-16",180,105473.78,-7462.6,-20747.36,77263.82,63,0,0,5947.76,83274.58,123,56
"2024-01-17",173,105922.25,-5370.69,-1444.4,99107.16,1074,0,0,6864.37,107045.53,120,53
"2024-01-18",183,102563.96,-9071.63,-56979.52,36512.81,18,0,0,3191.52,39722.33,118,64
"2024-01-19",234,119045.97,-6777.12,-50394.55,61874.3,9,0,0,4479.82,66363.12,167,64
"2024-01-20",167,114118.38,-6265.27,-2932,104921.11,82,0,0,7501.3,112504.41,118,49
"2024-01-21",214,131515.55,-5947.72,-3800.15,121767.68,18,0,0,8415.96,130201.64,165,48
"2024-01-22",157,86342.55,-5487.45,-4104.21,76750.89,469.5,0,0,5329.48,82549.87,99,54
"2024-01-23",180,97602.66,-4975.77,-28578.18,64048.71,-415.5,0,0,4853.85,68487.06,116,63
