campaign_name,send_datetime,status,year,type
11.19.24 - [RESEND] BFCM Reminder #7_Seen In The News (US),2024-11-20 01:00:00+00:00,Sent,2024,actual
11.19.24 - [RESEND] BFCM Reminder #7_Seen In The News (EU),2024-11-20 01:00:00+00:00,Sent,2024,actual
11.19.24 - [RESEND] BFCM Reminder #7_Seen In The News (UK),2024-11-20 01:00:00+00:00,Sent,2024,actual
11.19.24 - [RESEND] BFCM Reminder #7_Seen In The News (CA),2024-11-20 01:00:00+00:00,Sent,2024,actual
11.20.24 - BFCM Reminder #8_Bundles (UK),2024-11-20 10:00:00+00:00,Sent,2024,actual
11.20.24 - BFCM Reminder #8_Bundles (EU),2024-11-20 10:00:00+00:00,Sent,2024,actual
11.20.24 - BFCM Reminder #8_Bundles (US),2024-11-20 15:00:00+00:00,Sent,2024,actual
11.20.24 - BFCM Reminder #8_Bundles (CA),2024-11-20 15:00:00+00:00,Sent,2024,actual
11.20.24 - [RESEND] BFCM Reminder #8_Bundles (US),2024-11-20 23:00:00+00:00,Sent,2024,actual
11.21.24 - BFCM Reminder #9_Product Urgency (EU),2024-11-21 10:00:00+00:00,Sent,2024,actual
11.21.24 - BFCM Reminder #9_Product Urgency (UK),2024-11-21 10:00:00+00:00,Sent,2024,actual
11.21.24 - BFCM Reminder #9_Product Urgency (CA),2024-11-21 15:00:00+00:00,Sent,2024,actual
11.21.24 - BFCM Reminder #9_Product Urgency (US),2024-11-21 15:00:00+00:00,Sent,2024,actual
11.22.24 - BFCM Reminder #10_Selfcare Lineup (UK),2024-11-22 10:00:00+00:00,Sent,2024,actual
11.22.24 - BFCM Reminder #10_Selfcare Lineup (EU),2024-11-22 10:00:00+00:00,Sent,2024,actual
11.22.24 - BFCM Reminder #10_Selfcare Lineup (CA),2024-11-22 15:00:00+00:00,Sent,2024,actual
11.22.24 - BFCM Reminder #10_Selfcare Lineup (US),2024-11-22 15:00:00+00:00,Sent,2024,actual
11.12.22 - [RESEND] BFCM Reminder #2_Wellness pioneers (US),2024-11-23 00:00:00+00:00,Sent,2024,actual
11.23.24 - Red Light Therapy (UK),2024-11-23 10:00:00+00:00,Sent,2024,actual
11.23.24 - Red Light Therapy (EU),2024-11-23 10:00:00+00:00,Sent,2024,actual
11.23.24 - Red Light Therapy (CA),2024-11-23 15:00:00+00:00,Sent,2024,actual
11.23.24 - Red Light Therapy (US),2024-11-23 15:00:00+00:00,Sent,2024,actual
11.24.24 - [RESEND] BFCM Reminder_Shop By Goal (US),2024-11-24 17:00:00+00:00,Sent,2024,actual
11.25.24 - BFCM Week_Gift guide personas (UK),2024-11-25 10:00:00+00:00,Sent,2024,actual
11.25.24 - BFCM Week_Gift guide personas (EU),2024-11-25 10:00:00+00:00,Sent,2024,actual
11.25.24 - BFCM Week_Gift guide personas (US),2024-11-25 15:00:00+00:00,Sent,2024,actual
11.25.24 - BFCM Week_Gift guide personas (CA),2024-11-25 15:00:00+00:00,Sent,2024,actual
11.25.24 - [RESEND] BFCM Reminder #9_Product Urgency (US) (clone),2024-11-26 01:00:00+00:00,Sent,2024,actual
11.26.24 - BFCM Week Reminder #1_UGC Content (EU),2024-11-26 12:00:00+00:00,Sent,2024,actual
11.26.24 - BFCM Week Reminder #1_UGC Content (UK),2024-11-26 12:00:00+00:00,Sent,2024,actual
