campaign_name,send_datetime,status,year,type
[SB] 11.10.25 Stress Relief + Sleep Gift Guide,2025-11-10 15:00:00+00:00,Sent,2025,planned
[SB] 11.12.25 BFCM Early Access Pre-Launch,2025-11-12 20:30:00+00:00,Sent,2025,planned
[SB] BFCM VIP Concierge #1 - Thila,2025-11-12 23:00:00+00:00,Sent,2025,planned
[SB] BFCM VIP Concierge #1 - Aibel,2025-11-12 23:00:00+00:00,Sent,2025,planned
[SB] BFCM VIP Concierge #1 - Deserose,2025-11-12 23:00:00+00:00,Sent,2025,planned
[SB] BFCM VIP Concierge #1 - Crisvin,2025-11-12 23:15:00+00:00,Cancelled,2025,planned
[SB] BFCM VIP Concierge #1 - Robin,2025-11-12 23:15:00+00:00,Cancelled,2025,planned
[SB] BFCM VIP Concierge #1 - Crisvin,2025-11-12 23:15:00+00:00,Cancelled,2025,planned
[SB] BFCM VIP Concierge #1 - Mona,2025-11-12 23:15:00+00:00,Cancelled,2025,planned
[SB] BFCM VIP Concierge #1 - Grace,2025-11-12 23:15:00+00:00,Cancelled,2025,planned
[SB] BFCM VIP Concierge #1 - Risah,2025-11-12 23:15:00+00:00,Cancelled,2025,planned
[SB] BFCM VIP Concierge #1 - Ester,2025-11-12 23:15:00+00:00,Cancelled,2025,planned
[SB] BFCM VIP Concierge #1 - Shenara,2025-11-12 23:15:00+00:00,Cancelled,2025,planned
[SB] BFCM VIP Concierge #1 - Albert,2025-11-12 23:15:00+00:00,Cancelled,2025,planned
[SB] BFCM VIP Concierge #1 - Grace,2025-11-12 23:30:00+00:00,Sent,2025,planned
[SB] BFCM VIP Concierge #1 - Ester,2025-11-12 23:30:00+00:00,Sent,2025,planned
[SB] BFCM VIP Concierge #1 - Crisvin,2025-11-12 23:30:00+00:00,Sent,2025,planned
[SB] BFCM VIP Concierge #1 - Shenara,2025-11-12 23:30:00+00:00,Sent,2025,planned
[SB] BFCM VIP Concierge #1 - Mona,2025-11-12 23:30:00+00:00,Sent,2025,planned
[SB] BFCM VIP Concierge #1 - Risah,2025-11-12 23:30:00+00:00,Sent,2025,planned
[SB] BFCM VIP Concierge #1 - Robin,2025-11-12 23:30:00+00:00,Sent,2025,planned
[SB] BFCM VIP Concierge #1 - Albert,2025-11-12 23:35:00+00:00,Sent,2025,planned
[SB] 11.13.25 BFCM Early Access Launch - Non-US,2025-11-13 22:30:00+00:00,Sent,2025,planned
[SB] 11.13.25 BFCM Early Access Launch,2025-11-13 22:30:00+00:00,Sent,2025,planned
[SB] 11.14.25 BFCM Bundles & Starter Kits,2025-11-14 23:30:00+00:00,Scheduled,2025,planned
[SB] 11.16.25 BFCM Longevity Push,2025-11-16 10:00:00+00:00,Adding Recipients,2025,planned
