campaign_name,send_datetime,status,recipients,open_rate,click_rate,revenue,orders
"11.01.24 - Hyperice Bundle Email | Campaign | SA | Broad Engaged (180 Days), SA | Actives (45 Days) Exclusion: SA | Placed Order [4D]... | HIGHERDOSE x HYPERICE | NA",2024-11-01 18:00:00+00:00,Sent,0,0,0,0,0
"11.03.24 - [RESEND] HD Stats Email | Campaign | SA | Broad Engaged (180 Days), SA | Actives (45 Days) Exclusion: SA | Placed Order [4D]... | Face Mask | NA",2024-11-03 17:00:00+00:00,Sent,0,0,0,0,0
"11.04.24 - Higher Dose Gift Guide | Campaign | SA | Broad Engaged (180 Days), SA | Actives (45 Days) Exclusion: SA | Placed Order [4D]... | Gift guide | NA",2024-11-04 19:00:00+00:00,Sent,0,0,0,0,0
"11.06.24 - VIP Launch | Campaign | Engaged VIP (Open 2x L180, AOV $100+, Placed Order 2x, active on site L40, viewed product L40, added to cart L40) US ONLY | Collection | NA",2024-11-06 23:52:45+00:00,Sent,0,0,0,0,0
"11.06.24 - VIP Launch 2 | Campaign | Engaged VIP (Open 2x L180, AOV $100+, Placed Order 2x, active on site 1x L320) US ONLY | Collection | NA",2024-11-07 01:48:57+00:00,Sent,0,0,0,0,0
11.07.24 - [RESEND] VIP Launch (US),2024-11-07 22:15:26+00:00,Sent,0,0,0,0,0
11.07.24 - [RESEND] VIP Launch (CA),2024-11-07 22:22:25+00:00,Sent,0,0,0,0,0
11.07.24 - [RESEND] VIP Launch (EU),2024-11-07 22:28:00+00:00,Sent,0,0,0,0,0
11.07.24 - [RESEND] VIP Launch (UK),2024-11-07 22:31:25+00:00,Sent,0,0,0,0,0
11.08.24 - Public BFCM Launch - AM (CA),2024-11-08 15:00:00+00:00,Sent,0,0,0,0,0
11.08.24 - Public BFCM Launch - AM (EU),2024-11-08 15:00:00+00:00,Sent,0,0,0,0,0
11.08.24 - Public BFCM Launch - AM (US),2024-11-08 15:00:00+00:00,Sent,0,0,0,0,0
11.08.24 - Public BFCM Launch - AM (UK),2024-11-08 15:00:00+00:00,Sent,0,0,0,0,0
11.08.24 - Public BFCM Launch - PM (UK),2024-11-08 23:00:00+00:00,Sent,0,0,0,0,0
11.08.24 - Public BFCM Launch - PM (CA),2024-11-08 23:00:00+00:00,Sent,0,0,0,0,0
11.08.24 - Public BFCM Launch - PM (US),2024-11-08 23:00:00+00:00,Sent,0,0,0,0,0
11.08.24 - Public BFCM Launch - PM (EU),2024-11-08 23:00:00+00:00,Sent,0,0,0,0,0
11.11.24 - BFCM Reminder #1_FAQ's,2024-11-11 15:00:00+00:00,Sent,0,0,0,0,0
11.11.24 - [RESEND] BFCM Reminder #1_FAQ's,2024-11-11 23:00:00+00:00,Sent,0,0,0,0,0
11.12.24 - BFCM Reminder #2_Wellness pioneers (UK),2024-11-12 17:00:00+00:00,Sent,0,0,0,0,0
11.12.24 - BFCM Reminder #2_Wellness pioneers (EU),2024-11-12 17:00:00+00:00,Sent,0,0,0,0,0
11.12.24 - BFCM Reminder #2_Wellness pioneers (US),2024-11-12 17:00:00+00:00,Sent,0,0,0,0,0
11.12.24 - BFCM Reminder #2_Wellness pioneers (CA),2024-11-12 17:00:00+00:00,Sent,0,0,0,0,0
11.13.24 - BFCM Reminder #3_Social Proof (CA),2024-11-13 17:00:00+00:00,Sent,0,0,0,0,0
11.13.24 - BFCM Reminder #3_Social Proof (EU),2024-11-13 17:00:00+00:00,Sent,0,0,0,0,0
11.13.24 - BFCM Reminder #3_Social Proof (UK),2024-11-13 17:00:00+00:00,Sent,0,0,0,0,0
11.13.24 - BFCM Reminder #3_Social Proof (US),2024-11-13 17:00:00+00:00,Sent,0,0,0,0,0
11.13.24 - [RESEND] BFCM Reminder #3_Social Proof (CA) (Opened),2024-11-14 01:00:00+00:00,Sent,0,0,0,0,0
11.13.24 - [RESEND] BFCM Reminder #3_Social Proof (US)(Did not open),2024-11-14 01:00:00+00:00,Sent,0,0,0,0,0
11.13.24 - [RESEND] BFCM Reminder #3_Social Proof (UK) (Did not open),2024-11-14 01:00:00+00:00,Sent,0,0,0,0,0
11.13.24 - [RESEND] BFCM Reminder #3_Social Proof (EU) (Opened),2024-11-14 01:00:00+00:00,Sent,0,0,0,0,0
11.13.24 - [RESEND] BFCM Reminder #3_Social Proof (EU) (Did not open),2024-11-14 01:00:00+00:00,Sent,0,0,0,0,0
11.13.24 - [RESEND] BFCM Reminder #3_Social Proof (CA) (Did not open),2024-11-14 01:00:00+00:00,Sent,0,0,0,0,0
11.13.24 - [RESEND] BFCM Reminder #3_Social Proof (US) (Opened),2024-11-14 01:00:00+00:00,Sent,0,0,0,0,0
11.13.24 - [RESEND] BFCM Reminder #3_Social Proof (UK) (Opened),2024-11-14 01:00:00+00:00,Sent,0,0,0,0,0
11.14.24 - BFCM Reminder #4_Team favorites (CA),2024-11-14 17:00:00+00:00,Sent,0,0,0,0,0
11.14.24 - BFCM Reminder #4_Team favorites (UK),2024-11-14 17:00:00+00:00,Sent,0,0,0,0,0
11.14.24 - BFCM Reminder #4_Team favorites (EU),2024-11-14 17:00:00+00:00,Sent,0,0,0,0,0
11.14.24 - BFCM Reminder #4_Team favorites (US),2024-11-14 17:00:00+00:00,Sent,0,0,0,0,0
11.14.24 - [RESEND] BFCM Reminder #4_Team favorites (UK),2024-11-15 01:00:00+00:00,Sent,0,0,0,0,0
11.14.24 - [RESEND] BFCM Reminder #4_Team favorites (EU),2024-11-15 01:00:00+00:00,Sent,0,0,0,0,0
11.14.24 - [RESEND] BFCM Reminder #4_Team favorites (CA),2024-11-15 01:00:00+00:00,Sent,0,0,0,0,0
11.14.24 - [RESND] BFCM Reminder #4_Team favorites (US),2024-11-15 01:00:00+00:00,Sent,0,0,0,0,0
11.15.24 - BFCM Reminder_Sauna Highlight (EU),2024-11-15 15:00:00+00:00,Sent,0,0,0,0,0
11.15.24 - BFCM Reminder_Sauna Highlight (UK),2024-11-15 15:00:00+00:00,Sent,0,0,0,0,0
11.15.24 - BFCM Reminder_Sauna Highlight (US),2024-11-15 15:00:00+00:00,Sent,0,0,0,0,0
11.15.24 - BFCM Reminder_Sauna Highlight (CA),2024-11-15 15:00:00+00:00,Sent,0,0,0,0,0
11.17.24 - BFCM Reminder_Sauna Highlight (UK),2024-11-17 12:00:00+00:00,Sent,0,0,0,0,0
11.17.24 - [RESEND] BFCM Reminder_Sauna Highlight (EU),2024-11-17 12:00:00+00:00,Sent,0,0,0,0,0
11.17.24 - [RESEND] BFCM Reminder_Sauna Highlight (CA),2024-11-17 17:00:00+00:00,Sent,0,0,0,0,0
11.17.24 - [RESEND] BFCM Reminder_Sauna Highlight (US),2024-11-17 17:00:00+00:00,Sent,0,0,0,0,0
11.18.24 - BFCM Reminder_Shop By Goal (EU),2024-11-18 10:00:00+00:00,Sent,0,0,0,0,0
11.18.24 - BFCM Reminder_Shop By Goal (UK),2024-11-18 10:00:00+00:00,Sent,0,0,0,0,0
11.18.24 - BFCM Reminder_Shop By Goal (US),2024-11-18 15:00:00+00:00,Sent,0,0,0,0,0
11.18.24 - BFCM Reminder_Shop By Goal (CA),2024-11-18 15:00:00+00:00,Sent,0,0,0,0,0
11.19.24 - BFCM Reminder #7_Seen In The News (EU),2024-11-19 10:00:00+00:00,Sent,0,0,0,0,0
11.19.24 - BFCM Reminder #7_Seen In The News (UK),2024-11-19 10:00:00+00:00,Sent,0,0,0,0,0
11.19.24 - BFCM Reminder #7_Seen In The News (CA),2024-11-19 15:00:00+00:00,Sent,0,0,0,0,0
11.19.24 - BFCM Reminder #7_Seen In The News (US),2024-11-19 15:00:00+00:00,Sent,0,0,0,0,0
11.19.24 - [RESEND] BFCM Reminder #7_Seen In The News (EU),2024-11-20 01:00:00+00:00,Sent,0,0,0,0,0
11.19.24 - [RESEND] BFCM Reminder #7_Seen In The News (US),2024-11-20 01:00:00+00:00,Sent,0,0,0,0,0
11.19.24 - [RESEND] BFCM Reminder #7_Seen In The News (UK),2024-11-20 01:00:00+00:00,Sent,0,0,0,0,0
11.19.24 - [RESEND] BFCM Reminder #7_Seen In The News (CA),2024-11-20 01:00:00+00:00,Sent,0,0,0,0,0
11.20.24 - BFCM Reminder #8_Bundles (UK),2024-11-20 10:00:00+00:00,Sent,0,0,0,0,0
11.20.24 - BFCM Reminder #8_Bundles (EU),2024-11-20 10:00:00+00:00,Sent,0,0,0,0,0
11.20.24 - BFCM Reminder #8_Bundles (US),2024-11-20 15:00:00+00:00,Sent,0,0,0,0,0
11.20.24 - BFCM Reminder #8_Bundles (CA),2024-11-20 15:00:00+00:00,Sent,0,0,0,0,0
11.20.24 - [RESEND] BFCM Reminder #8_Bundles (US),2024-11-20 23:00:00+00:00,Sent,0,0,0,0,0
11.21.24 - BFCM Reminder #9_Product Urgency (EU),2024-11-21 10:00:00+00:00,Sent,0,0,0,0,0
11.21.24 - BFCM Reminder #9_Product Urgency (UK),2024-11-21 10:00:00+00:00,Sent,0,0,0,0,0
11.21.24 - BFCM Reminder #9_Product Urgency (CA),2024-11-21 15:00:00+00:00,Sent,0,0,0,0,0
11.21.24 - BFCM Reminder #9_Product Urgency (US),2024-11-21 15:00:00+00:00,Sent,0,0,0,0,0
11.22.24 - BFCM Reminder #10_Selfcare Lineup (EU),2024-11-22 10:00:00+00:00,Sent,0,0,0,0,0
11.22.24 - BFCM Reminder #10_Selfcare Lineup (UK),2024-11-22 10:00:00+00:00,Sent,0,0,0,0,0
11.22.24 - BFCM Reminder #10_Selfcare Lineup (US),2024-11-22 15:00:00+00:00,Sent,0,0,0,0,0
11.22.24 - BFCM Reminder #10_Selfcare Lineup (CA),2024-11-22 15:00:00+00:00,Sent,0,0,0,0,0
11.12.22 - [RESEND] BFCM Reminder #2_Wellness pioneers (US),2024-11-23 00:00:00+00:00,Sent,0,0,0,0,0
11.23.24 - Red Light Therapy (UK),2024-11-23 10:00:00+00:00,Sent,0,0,0,0,0
11.23.24 - Red Light Therapy (EU),2024-11-23 10:00:00+00:00,Sent,0,0,0,0,0
11.23.24 - Red Light Therapy (CA),2024-11-23 15:00:00+00:00,Sent,0,0,0,0,0
11.23.24 - Red Light Therapy (US),2024-11-23 15:00:00+00:00,Sent,0,0,0,0,0
11.24.24 - [RESEND] BFCM Reminder_Shop By Goal (US),2024-11-24 17:00:00+00:00,Sent,0,0,0,0,0
11.25.24 - BFCM Week_Gift guide personas (EU),2024-11-25 10:00:00+00:00,Sent,0,0,0,0,0
11.25.24 - BFCM Week_Gift guide personas (UK),2024-11-25 10:00:00+00:00,Sent,0,0,0,0,0
11.25.24 - BFCM Week_Gift guide personas (CA),2024-11-25 15:00:00+00:00,Sent,0,0,0,0,0
11.25.24 - BFCM Week_Gift guide personas (US),2024-11-25 15:00:00+00:00,Sent,0,0,0,0,0
11.25.24 - [RESEND] BFCM Reminder #9_Product Urgency (US) (clone),2024-11-26 01:00:00+00:00,Sent,0,0,0,0,0
11.26.24 - BFCM Week Reminder #1_UGC Content (UK),2024-11-26 12:00:00+00:00,Sent,0,0,0,0,0
11.26.24 - BFCM Week Reminder #1_UGC Content (EU),2024-11-26 12:00:00+00:00,Sent,0,0,0,0,0
11.26.24 - BFCM Week Reminder #1_UGC Content (US),2024-11-26 17:00:00+00:00,Sent,0,0,0,0,0
11.26.24 - BFCM Week Reminder #1_UGC Content (CA),2024-11-26 17:00:00+00:00,Sent,0,0,0,0,0
11.26.24 - [RESEND] BFCM Reminder #10_Selfcare Lineup (US),2024-11-26 23:00:00+00:00,Sent,0,0,0,0,0
11.27.24 - How to Reduce Stress During the Holidays (UK),2024-11-27 10:00:00+00:00,Sent,0,0,0,0,0
11.27.24 - How to Reduce Stress During the Holidays (EU),2024-11-27 10:00:00+00:00,Sent,0,0,0,0,0
11.27.24 - How to Reduce Stress During the Holidays (US),2024-11-27 15:00:00+00:00,Sent,0,0,0,0,0
11.27.24 - How to Reduce Stress During the Holidays (CA),2024-11-27 15:00:00+00:00,Sent,0,0,0,0,0
11.27.24 - [RESEND] BFCM Week Reminder #1_UGC Content (US),2024-11-28 01:00:00+00:00,Sent,0,0,0,0,0
11.28.24 - Thanksgiving (EU),2024-11-28 10:00:00+00:00,Sent,0,0,0,0,0
11.28.24 - Thanksgiving (UK),2024-11-28 10:00:00+00:00,Sent,0,0,0,0,0
11.28.24 - Thanksgiving (CA),2024-11-28 15:00:00+00:00,Sent,0,0,0,0,0
11.28.24 - Thanksgiving (US),2024-11-28 15:00:00+00:00,Sent,0,0,0,0,0
11.29.24 - Black Friday - AM (UK),2024-11-29 10:00:00+00:00,Sent,0,0,0,0,0
11.29.24 - Black Friday - AM (EU),2024-11-29 10:00:00+00:00,Sent,0,0,0,0,0
11.29.24 - Black Friday - AM (CA),2024-11-29 15:00:00+00:00,Sent,0,0,0,0,0
11.29.24 - Black Friday - AM  (US),2024-11-29 15:00:00+00:00,Sent,0,0,0,0,0
11.29.24 - Black Friday - PM (EU),2024-11-29 18:00:00+00:00,Sent,0,0,0,0,0
11.29.24 - Black Friday - PM (UK),2024-11-29 18:00:00+00:00,Sent,0,0,0,0,0
11.29.24 - Black Friday - PM (CA),2024-11-29 23:00:00+00:00,Sent,0,0,0,0,0
11.29.24 - Black Friday - PM (US),2024-11-29 23:00:00+00:00,Sent,0,0,0,0,0
11.30.24 - Black Friday Weekend (UK),2024-11-30 10:00:00+00:00,Sent,0,0,0,0,0
11.30.24 - Black Friday Weekend (EU),2024-11-30 10:00:00+00:00,Sent,0,0,0,0,0
11.30.24 - Black Friday Weekend (CA),2024-11-30 15:00:00+00:00,Sent,0,0,0,0,0
11.30.24 - Black Friday Weekend  (US),2024-11-30 15:00:00+00:00,Sent,0,0,0,0,0
11.30.24 -[RESEND] Black Friday Weekend  (US),2024-11-30 23:00:00+00:00,Sent,0,0,0,0,0
