campaign_name,send_datetime,status,year,type
[SB] 11.1.25 Gift Guide Launch,2025-11-01 16:00:00+00:00,Sent,2025,actual
Affiliate Newsletter,2025-11-03 17:55:09.059986+00:00,Sent,2025,actual
[SB] 11.3.25 Gift Guide: Mood & Emotional Well-Being,2025-11-03 21:00:00+00:00,Sent,2025,actual
"[SB] 11.5.25 Gift Guide: Beauty, Hair + Skincare",2025-11-05 21:00:00+00:00,Sent,2025,actual
[SB] 11.7.25 Detox,2025-11-07 20:00:00+00:00,Sent,2025,actual
[SB] 11.8.25 Recovery + Workout Gift Guide,2025-11-08 11:00:00+00:00,Sent,2025,actual
[SB] 11.10.25 Stress Relief + Sleep Gift Guide,2025-11-10 15:00:00+00:00,Sent,2025,actual
[SB] 11.12.25 BFCM Early Access Pre-Launch,2025-11-12 20:30:00+00:00,Sent,2025,actual
[SB] BFCM VIP Concierge #1 - Thila,2025-11-12 23:00:00+00:00,Sent,2025,actual
[SB] BFCM VIP Concierge #1 - Aibel,2025-11-12 23:00:00+00:00,Sent,2025,actual
[SB] BFCM VIP Concierge #1 - Deserose,2025-11-12 23:00:00+00:00,Sent,2025,actual
[SB] BFCM VIP Concierge #1 - Robin,2025-11-12 23:30:00+00:00,Sent,2025,actual
[SB] BFCM VIP Concierge #1 - Ester,2025-11-12 23:30:00+00:00,Sent,2025,actual
[SB] BFCM VIP Concierge #1 - Crisvin,2025-11-12 23:30:00+00:00,Sent,2025,actual
[SB] BFCM VIP Concierge #1 - Shenara,2025-11-12 23:30:00+00:00,Sent,2025,actual
[SB] BFCM VIP Concierge #1 - Mona,2025-11-12 23:30:00+00:00,Sent,2025,actual
[SB] BFCM VIP Concierge #1 - Risah,2025-11-12 23:30:00+00:00,Sent,2025,actual
[SB] BFCM VIP Concierge #1 - Grace,2025-11-12 23:30:00+00:00,Sent,2025,actual
[SB] BFCM VIP Concierge #1 - Albert,2025-11-12 23:35:00+00:00,Sent,2025,actual
[SB] 11.13.25 BFCM Early Access Launch - Non-US,2025-11-13 22:30:00+00:00,Sent,2025,actual
[SB] 11.13.25 BFCM Early Access Launch,2025-11-13 22:30:00+00:00,Sent,2025,actual
[SB] 11.14.25 BFCM Bundles & Starter Kits,2025-11-14 23:30:00+00:00,Sent,2025,actual
[SB] 11.16.25 BFCM Longevity Push,2025-11-16 10:00:00+00:00,Sent,2025,actual
