breakdown_platform_northbeam,campaign_name,adset_name,ad_name,spend,attributed_rev
Google Ads,US_PMax_Brand_AllProducts,US_PMax_Brand_AllProducts,US_PMax_Brand_AllProducts,1103.567019,4977.9
Google Ads,US_PMax_Brand_AllProducts,US_PMax_Brand_AllProducts,US_PMax_Brand_AllProducts,889.604137,2966.3666666666663
Google Ads,US_PMax_Brand_AllProducts,US_PMax_Brand_AllProducts,US_PMax_Brand_AllProducts,829.89092,404.52
Google Ads,US_PMax_Brand_AllProducts,US_PMax_Brand_AllProducts,US_PMax_Brand_AllProducts,824.837285,4185.3
Google Ads,US_PMax_Brand_AllProducts,US_PMax_Brand_AllProducts,US_PMax_Brand_AllProducts,780.476244,1641.1999999999998
Google Ads,US_PMax_Brand_Consumables,US_PMax_Brand_Consumables,US_PMax_Brand_Consumables,671.646922,4.0588235294117645
Google Ads,US_PMax_Brand_AllProducts,US_PMax_Brand_AllProducts,US_PMax_Brand_AllProducts,603.866615,1558.65
Google Ads,US_PMax_Brand_AllProducts,US_PMax_Brand_AllProducts,US_PMax_Brand_AllProducts,586.883372,1050.1
Awin,AWIN / 1400871 (custom spend input),AWIN / 1400871 (custom spend input),AWIN / 1400871 (custom spend input),365.0100000000001,0.0
Google Ads,US_PMax_Brand_Consumables,US_PMax_Brand_Consumables,US_PMax_Brand_Consumables,352.82260599999995,1241.1
Google Ads,US_Search_Brand_Alone_Exact,BR_Alone_Exact,752271584784 (RESPONSIVE_SEARCH_AD),351.748853,1071.45
Google Ads,US_PMax_Brand_Consumables,US_PMax_Brand_Consumables,US_PMax_Brand_Consumables,342.622385,62.10000000000001
Google Ads,US_PMax_Brand_Consumables,US_PMax_Brand_Consumables,US_PMax_Brand_Consumables,336.21150300000005,902.0
Google Ads,US_PMax_Brand_Consumables,US_PMax_Brand_Consumables,US_PMax_Brand_Consumables,307.889664,998.25
Google Ads,US_PMax_Brand_Consumables,US_PMax_Brand_Consumables,US_PMax_Brand_Consumables,306.79055000000005,62.1
Google Ads,US_PMax_Brand_Consumables,US_PMax_Brand_Consumables,US_PMax_Brand_Consumables,305.54851299999996,449.0
Awin,AWIN / 1249057 (custom spend input),AWIN / 1249057 (custom spend input),AWIN / 1249057 (custom spend input),305.5,0.0
Awin,AWIN / 1249057 (custom spend input),AWIN / 1249057 (custom spend input),AWIN / 1249057 (custom spend input),298.0,0.0
Awin,AWIN / 1006553 (custom spend input),AWIN / 1006553 (custom spend input),AWIN / 1006553 (custom spend input),296.44,0.0
Awin,AWIN / 78888 (custom spend input),AWIN / 78888 (custom spend input),AWIN / 78888 (custom spend input),263.00000000000006,0.0
Google Ads,US_Search_Brand_Alone_Exact,BR_Alone_Exact,752271584784 (RESPONSIVE_SEARCH_AD),257.2778,2492.35
Facebook Ads,SB | Body Care & Supplements | Creative Testing | 42225,HD015 - ADV+ | 25+ M/F | Shellie Edington | All Exclusions | 052825,SB_HD_ShellieEdingtonPost_v1_PDP_080125 - Copy 2,228.18999999999997,0.0
Awin,AWIN / 78888 (custom spend input),AWIN / 78888 (custom spend input),AWIN / 78888 (custom spend input),224.06000000000012,0.0
Awin,AWIN / 1694801 (custom spend input),AWIN / 1694801 (custom spend input),AWIN / 1694801 (custom spend input),208.35000000000008,0.0
