Category,Status,Jan_2024,Jan_2025,Oct_Dec_2025,Oct_Dec_2025_Units,Jan_2026_Projection,Projection_Method,Confidence,Notes,Jan_YoY_24_25,Oct_Dec_YoY,Dec_2025
PEMF - Go Mat,Established,230665.67,277748.68,1131852.05,1810,208549.5014320467,Conservative (declining trend),Low,Declining -49.6% in Q4,20.411797733056687,-49.572040781573904,520817.24
Bundles,Established,209907.29,235837.09,541135.26,565,165712.82512452046,Conservative (declining trend),Low,Declining -66.1% in Q4,12.352977354907486,-66.08939763830143,1910990.45
Other Accessories,Established,19654.450000000004,42878.82,71946.77,1632,26180.026006015483,Conservative (declining trend),Low,Declining -56.7% in Q4,118.16341846248557,-56.73828590656481,0.0
PEMF - Original (Pro Mat),Established,595023.4500000001,786036.45,2188744.55,1860,606553.600241974,Conservative (declining trend),Low,Declining -38.9% in Q4,32.101760023071336,-38.85918705106678,888266.21
Body Care & Supplements,Established,77414.18,83569.27,279837.14,4834,78415.91528531208,Moderate decline adjustment,Medium,Down -15.6% in Q4,7.950856031801941,-15.63059583515876,68304.59
Sauna Blanket,Established,1281319.71,789044.28,2642243.55,4600,808855.5874681233,Conservative (declining trend),Low,Declining -40.5% in Q4,-38.41940666002866,-40.51462154059233,1210372.56
Red Light - Neck Enhancer,Established,40583.47000000001,38255.689999999995,140842.83000000002,464,33936.97756209153,Conservative (declining trend),Low,Declining -32.8% in Q4,-5.7357835591683335,-32.78627596253306,51797.0
Red Light - Mask,Established,428100.8,320460.45999999996,1436821.9900000002,4664,284628.8739690993,Moderate decline adjustment,Medium,Down -14.0% in Q4,-25.143690457948225,-13.994203341120809,692632.98
Red Light - Hat,New in 2025,0.0,464239.58,1314453.45,3330,204324.16172815175,New in 2025: Jan 2025 baseline + Q4 trend,Medium,"Launched early 2025, Jan 2025: $464,240",0.0,-7.03951297248541,472203.84
Microcurrent Body Sculptor,Launched Q2-Q4 2025,0.0,0.0,463722.6599999999,1270,139116.79799999998,New product: Oct-Dec avg * 0.9 (Jan seasonality),Medium,New product: 1270 units in Q4,0.0,0.0,159048.13
Red Light - Mat,Launched Q2-Q4 2025,0.0,0.0,1036269.76,1070,310880.928,New product: Oct-Dec avg * 0.9 (Jan seasonality),Medium,New product: 1070 units in Q4,0.0,0.0,445594.44
PEMF - Pet Bed,Launched Q2-Q4 2025,0.0,0.0,270004.96,560,114752.10799999998,New product: Nov-Dec avg * 0.85 (recent launch),Medium,New product: 560 units in Q4 | Product ramping up,0.0,0.0,189987.12
Filtered Shower Head,Launching January 2026,0.0,0.0,0.0,0,227337.786,New launch: 60% of MBS first full month (June 2025: $379k),Low,Launching Jan 2026 - modeled from MBS June 2025 launch month ($379k),0.0,0.0,0.0
