Day,month,month_name,platform,campaign_name,spend
2024-01-01,1,January,Google,Google Ads (Aggregated),14951.08
2024-01-02,1,January,Google,Google Ads (Aggregated),17034.37
2024-01-03,1,January,Google,Google Ads (Aggregated),16521.86
2024-01-04,1,January,Google,Google Ads (Aggregated),14284.22
2024-01-05,1,January,Google,Google Ads (Aggregated),11687.48
2024-01-06,1,January,Google,Google Ads (Aggregated),13542.49
2024-01-07,1,January,Google,Google Ads (Aggregated),11839.76
2024-01-08,1,January,Google,Google Ads (Aggregated),10056.97
2024-01-09,1,January,Google,Google Ads (Aggregated),9577.52
2024-01-10,1,January,Google,Google Ads (Aggregated),6700.88
2024-01-11,1,January,Google,Google Ads (Aggregated),6719.07
2024-01-12,1,January,Google,Google Ads (Aggregated),6460.08
2024-01-13,1,January,Google,Google Ads (Aggregated),7059.27
2024-01-14,1,January,Google,Google Ads (Aggregated),7628.18
2024-01-15,1,January,Google,Google Ads (Aggregated),7994.42
2024-01-16,1,January,Google,Google Ads (Aggregated),7052.12
2024-01-17,1,January,Google,Google Ads (Aggregated),6947.35
2024-01-18,1,January,Google,Google Ads (Aggregated),7099.65
2024-01-19,1,January,Google,Google Ads (Aggregated),7283.22
2024-01-20,1,January,Google,Google Ads (Aggregated),7528.24
2024-01-21,1,January,Google,Google Ads (Aggregated),8735.93
2024-01-22,1,January,Google,Google Ads (Aggregated),6237.72
2024-01-23,1,January,Google,Google Ads (Aggregated),7084.17
2024-01-24,1,January,Google,Google Ads (Aggregated),6974.78
2024-01-25,1,January,Google,Google Ads (Aggregated),6431.12
2024-01-26,1,January,Google,Google Ads (Aggregated),5676.68
2024-01-27,1,January,Google,Google Ads (Aggregated),6620.99
2024-01-28,1,January,Google,Google Ads (Aggregated),8317.82
2024-01-29,1,January,Google,Google Ads (Aggregated),7992.61
2024-01-30,1,January,Google,Google Ads (Aggregated),7741.76
2024-01-31,1,January,Google,Google Ads (Aggregated),7484.94
2024-02-01,2,February,Google,Google Ads (Aggregated),7683.1
2024-02-02,2,February,Google,Google Ads (Aggregated),7477.0
2024-02-03,2,February,Google,Google Ads (Aggregated),8760.1
2024-02-04,2,February,Google,Google Ads (Aggregated),8782.45
2024-02-05,2,February,Google,Google Ads (Aggregated),7334.83
2024-02-06,2,February,Google,Google Ads (Aggregated),7985.55
2024-02-07,2,February,Google,Google Ads (Aggregated),6919.81
2024-02-08,2,February,Google,Google Ads (Aggregated),7445.7
2024-02-09,2,February,Google,Google Ads (Aggregated),7311.32
2024-02-10,2,February,Google,Google Ads (Aggregated),7613.64
2024-02-11,2,February,Google,Google Ads (Aggregated),7177.99
2024-02-12,2,February,Google,Google Ads (Aggregated),6791.08
2024-02-13,2,February,Google,Google Ads (Aggregated),6627.22
2024-02-14,2,February,Google,Google Ads (Aggregated),5533.61
2024-02-15,2,February,Google,Google Ads (Aggregated),9263.56
2024-02-16,2,February,Google,Google Ads (Aggregated),5707.48
2024-02-17,2,February,Google,Google Ads (Aggregated),6763.29
2024-02-18,2,February,Google,Google Ads (Aggregated),7153.26
2024-02-19,2,February,Google,Google Ads (Aggregated),6949.05
2024-02-20,2,February,Google,Google Ads (Aggregated),5681.0
2024-02-21,2,February,Google,Google Ads (Aggregated),6487.35
2024-02-22,2,February,Google,Google Ads (Aggregated),6512.7
2024-02-23,2,February,Google,Google Ads (Aggregated),5693.27
2024-02-24,2,February,Google,Google Ads (Aggregated),5399.41
2024-02-25,2,February,Google,Google Ads (Aggregated),6492.62
2024-02-26,2,February,Google,Google Ads (Aggregated),6354.94
2024-02-27,2,February,Google,Google Ads (Aggregated),6447.17
2024-02-28,2,February,Google,Google Ads (Aggregated),6094.95
2024-02-29,2,February,Google,Google Ads (Aggregated),6108.5
2024-03-01,3,March,Google,Google Ads (Aggregated),5897.14
2024-03-02,3,March,Google,Google Ads (Aggregated),5643.21
2024-03-03,3,March,Google,Google Ads (Aggregated),6317.54
2024-03-04,3,March,Google,Google Ads (Aggregated),5617.08
2024-03-05,3,March,Google,Google Ads (Aggregated),4959.56
2024-03-06,3,March,Google,Google Ads (Aggregated),5423.04
2024-03-07,3,March,Google,Google Ads (Aggregated),5183.53
2024-03-08,3,March,Google,Google Ads (Aggregated),4735.5
2024-03-09,3,March,Google,Google Ads (Aggregated),5518.08
2024-03-10,3,March,Google,Google Ads (Aggregated),5886.24
2024-03-11,3,March,Google,Google Ads (Aggregated),5139.79
2024-03-12,3,March,Google,Google Ads (Aggregated),4724.75
2024-03-13,3,March,Google,Google Ads (Aggregated),4442.21
2024-03-14,3,March,Google,Google Ads (Aggregated),4189.53
2024-03-15,3,March,Google,Google Ads (Aggregated),4523.81
2024-03-16,3,March,Google,Google Ads (Aggregated),3747.87
2024-03-17,3,March,Google,Google Ads (Aggregated),4259.82
2024-03-18,3,March,Google,Google Ads (Aggregated),4537.13
2024-03-19,3,March,Google,Google Ads (Aggregated),4531.82
2024-03-20,3,March,Google,Google Ads (Aggregated),5105.68
2024-03-21,3,March,Google,Google Ads (Aggregated),4913.68
2024-03-22,3,March,Google,Google Ads (Aggregated),4773.74
2024-03-23,3,March,Google,Google Ads (Aggregated),4565.71
2024-03-24,3,March,Google,Google Ads (Aggregated),5110.68
2024-03-25,3,March,Google,Google Ads (Aggregated),5200.54
2024-03-26,3,March,Google,Google Ads (Aggregated),5952.66
2024-03-27,3,March,Google,Google Ads (Aggregated),4763.71
2024-03-28,3,March,Google,Google Ads (Aggregated),5157.9
2024-03-29,3,March,Google,Google Ads (Aggregated),4987.36
2024-03-30,3,March,Google,Google Ads (Aggregated),5045.35
2024-03-31,3,March,Google,Google Ads (Aggregated),5652.78
2024-03-31,3,March,Meta,Meta Ads (Aggregated),10540.79
2024-03-30,3,March,Meta,Meta Ads (Aggregated),9943.92
2024-03-29,3,March,Meta,Meta Ads (Aggregated),9818.75
2024-03-28,3,March,Meta,Meta Ads (Aggregated),9753.63
2024-03-27,3,March,Meta,Meta Ads (Aggregated),8234.23
2024-03-26,3,March,Meta,Meta Ads (Aggregated),8529.24
2024-03-25,3,March,Meta,Meta Ads (Aggregated),8917.6
2024-03-24,3,March,Meta,Meta Ads (Aggregated),10616.2
2024-03-23,3,March,Meta,Meta Ads (Aggregated),9780.49
2024-03-22,3,March,Meta,Meta Ads (Aggregated),8719.29
2024-03-21,3,March,Meta,Meta Ads (Aggregated),11094.55
2024-03-20,3,March,Meta,Meta Ads (Aggregated),10867.15
2024-03-19,3,March,Meta,Meta Ads (Aggregated),11035.05
2024-03-18,3,March,Meta,Meta Ads (Aggregated),11295.4
2024-03-17,3,March,Meta,Meta Ads (Aggregated),11548.72
2024-03-16,3,March,Meta,Meta Ads (Aggregated),10996.95
2024-03-15,3,March,Meta,Meta Ads (Aggregated),10033.27
2024-03-14,3,March,Meta,Meta Ads (Aggregated),10062.48
2024-03-13,3,March,Meta,Meta Ads (Aggregated),10199.06
2024-03-12,3,March,Meta,Meta Ads (Aggregated),10379.55
2024-03-11,3,March,Meta,Meta Ads (Aggregated),10625.17
2024-03-10,3,March,Meta,Meta Ads (Aggregated),10865.19
2024-03-09,3,March,Meta,Meta Ads (Aggregated),10132.04
2024-03-08,3,March,Meta,Meta Ads (Aggregated),9947.17
2024-03-07,3,March,Meta,Meta Ads (Aggregated),9930.54
2024-03-06,3,March,Meta,Meta Ads (Aggregated),10068.91
2024-03-05,3,March,Meta,Meta Ads (Aggregated),10351.7
2024-03-04,3,March,Meta,Meta Ads (Aggregated),10935.85
2024-03-03,3,March,Meta,Meta Ads (Aggregated),10724.28
2024-03-02,3,March,Meta,Meta Ads (Aggregated),10123.63
2024-03-01,3,March,Meta,Meta Ads (Aggregated),9738.97
2024-02-29,2,February,Meta,Meta Ads (Aggregated),9685.76
2024-02-28,2,February,Meta,Meta Ads (Aggregated),9876.67
