Account Level - Daily Report
"January 1, 2024 - July 22, 2024"
Account name,Customer ID,Day,Currency code,Cost,Clicks,Impr.,CTR,Avg. CPC (Converted currency),Cost (Converted currency),Conv. value,Conv. value / cost (current model),Conversions,Cost / conv.,Converted currency code
HigherDOSE,458-964-9684,2024-01-01,USD,14951.08,"5,718","338,838",1.69%,2.61,14951.08,"85,900.75",5.75,130.72,114.37,USD
HigherDOSE,458-964-9684,2024-01-02,USD,17034.37,"6,022","373,641",1.61%,2.83,17034.37,"54,551.75",3.20,98.25,173.37,USD
HigherDOSE,458-964-9684,2024-01-03,USD,16521.86,"5,275","252,672",2.09%,3.13,16521.86,"73,205.13",4.43,126.13,130.99,USD
HigherDOSE,458-964-9684,2024-01-04,USD,14284.22,"4,662","174,641",2.67%,3.06,14284.22,"49,434.78",3.46,80.48,177.49,USD
HigherDOSE,458-964-9684,2024-01-05,USD,11687.48,"4,191","174,678",2.40%,2.79,11687.48,"47,264.41",4.04,81.61,143.21,USD
HigherDOSE,458-964-9684,2024-01-06,USD,13542.49,"4,740","227,441",2.08%,2.86,13542.49,"72,663.41",5.37,111.18,121.81,USD
HigherDOSE,458-964-9684,2024-01-07,USD,11839.76,"4,677","217,475",2.15%,2.53,11839.76,"46,375.99",3.92,77.77,152.24,USD
HigherDOSE,458-964-9684,2024-01-08,USD,10056.97,"3,720","139,512",2.67%,2.70,10056.97,"47,282.82",4.70,66.66,150.88,USD
HigherDOSE,458-964-9684,2024-01-09,USD,9577.52,"3,839","126,041",3.05%,2.49,9577.52,"53,401.90",5.58,88.18,108.61,USD
HigherDOSE,458-964-9684,2024-01-10,USD,6700.88,"3,082","95,822",3.22%,2.17,6700.88,"28,320.45",4.23,51.06,131.24,USD
HigherDOSE,458-964-9684,2024-01-11,USD,6719.07,"3,175","95,670",3.32%,2.12,6719.07,"37,372.17",5.56,61.87,108.59,USD
HigherDOSE,458-964-9684,2024-01-12,USD,6460.08,"2,755","96,405",2.86%,2.34,6460.08,"29,809.14",4.61,50.33,128.34,USD
HigherDOSE,458-964-9684,2024-01-13,USD,7059.27,"3,310","110,237",3.00%,2.13,7059.27,"42,688.79",6.05,65.08,108.46,USD
HigherDOSE,458-964-9684,2024-01-14,USD,7628.18,"3,476","99,416",3.50%,2.19,7628.18,"68,173.96",8.94,86.39,88.30,USD
HigherDOSE,458-964-9684,2024-01-15,USD,7994.42,"3,500","89,673",3.90%,2.28,7994.42,"55,390.07",6.93,81.50,98.09,USD
HigherDOSE,458-964-9684,2024-01-16,USD,7052.12,"3,185","88,289",3.61%,2.21,7052.12,"50,436.07",7.15,83.05,84.91,USD
HigherDOSE,458-964-9684,2024-01-17,USD,6947.35,"3,018","97,685",3.09%,2.30,6947.35,"57,270.76",8.24,60.40,115.02,USD
HigherDOSE,458-964-9684,2024-01-18,USD,7099.65,"2,923","107,572",2.72%,2.43,7099.65,"41,763.81",5.88,58.64,121.07,USD
HigherDOSE,458-964-9684,2024-01-19,USD,7283.22,"3,136","116,874",2.68%,2.32,7283.22,"34,549.64",4.74,60.47,120.45,USD
HigherDOSE,458-964-9684,2024-01-20,USD,7528.24,"3,276","132,413",2.47%,2.30,7528.24,"57,171.54",7.59,82.42,91.34,USD
HigherDOSE,458-964-9684,2024-01-21,USD,8735.93,"3,471","140,983",2.46%,2.52,8735.93,"62,455.42",7.15,96.47,90.55,USD
HigherDOSE,458-964-9684,2024-01-22,USD,6237.72,"2,795","102,631",2.72%,2.23,6237.72,"34,816.07",5.58,55.67,112.06,USD
HigherDOSE,458-964-9684,2024-01-23,USD,7084.17,"2,835","120,138",2.36%,2.50,7084.17,"49,911.85",7.05,82.60,85.77,USD
HigherDOSE,458-964-9684,2024-01-24,USD,6974.78,"2,710","122,016",2.22%,2.57,6974.78,"35,414.68",5.08,63.47,109.88,USD
HigherDOSE,458-964-9684,2024-01-25,USD,6431.12,"2,604","116,918",2.23%,2.47,6431.12,"33,906.24",5.27,58.36,110.20,USD
HigherDOSE,458-964-9684,2024-01-26,USD,5676.68,"2,348","115,190",2.04%,2.42,5676.68,"39,000.43",6.87,58.56,96.93,USD
HigherDOSE,458-964-9684,2024-01-27,USD,6620.99,"2,693","136,815",1.97%,2.46,6620.99,"43,343.36",6.55,67.73,97.76,USD
HigherDOSE,458-964-9684,2024-01-28,USD,8317.82,"3,603","203,099",1.77%,2.31,8317.82,"41,044.12",4.93,58.71,141.68,USD
HigherDOSE,458-964-9684,2024-01-29,USD,7992.61,"3,421","157,908",2.17%,2.34,7992.61,"60,015.13",7.51,97.19,82.24,USD
HigherDOSE,458-964-9684,2024-01-30,USD,7741.76,"3,773","190,706",1.98%,2.05,7741.76,"45,238.73",5.84,63.48,121.95,USD
HigherDOSE,458-964-9684,2024-01-31,USD,7484.94,"3,605","174,304",2.07%,2.08,7484.94,"45,387.38",6.06,62.03,120.67,USD
HigherDOSE,458-964-9684,2024-02-01,USD,7683.10,"3,632","141,667",2.56%,2.12,7683.10,"48,981.73",6.38,77.72,98.85,USD
HigherDOSE,458-964-9684,2024-02-02,USD,7477.00,"3,450","134,165",2.57%,2.17,7477.00,"36,971.62",4.94,68.17,109.68,USD
HigherDOSE,458-964-9684,2024-02-03,USD,8760.10,"4,090","155,897",2.62%,2.14,8760.10,"44,043.43",5.03,64.19,136.47,USD
HigherDOSE,458-964-9684,2024-02-04,USD,8782.45,"3,799","161,495",2.35%,2.31,8782.45,"46,325.13",5.27,72.35,121.39,USD
HigherDOSE,458-964-9684,2024-02-05,USD,7334.83,"3,096","132,816",2.33%,2.37,7334.83,"71,283.20",9.72,110.92,66.13,USD
HigherDOSE,458-964-9684,2024-02-06,USD,7985.55,"3,527","147,291",2.39%,2.26,7985.55,"30,729.56",3.85,61.12,130.66,USD
HigherDOSE,458-964-9684,2024-02-07,USD,6919.81,"3,232","150,349",2.15%,2.14,6919.81,"35,889.88",5.19,65.51,105.64,USD
HigherDOSE,458-964-9684,2024-02-08,USD,7445.70,"3,336","137,701",2.42%,2.23,7445.70,"37,443.29",5.03,74.91,99.39,USD
HigherDOSE,458-964-9684,2024-02-09,USD,7311.32,"3,036","130,247",2.33%,2.41,7311.32,"28,900.01",3.95,61.38,119.12,USD
HigherDOSE,458-964-9684,2024-02-10,USD,7613.64,"3,193","130,935",2.44%,2.38,7613.64,"32,721.59",4.30,57.53,132.34,USD
HigherDOSE,458-964-9684,2024-02-11,USD,7177.99,"2,937","133,915",2.19%,2.44,7177.99,"29,349.75",4.09,52.86,135.80,USD
HigherDOSE,458-964-9684,2024-02-12,USD,6791.08,"2,592","111,106",2.33%,2.62,6791.08,"26,021.13",3.83,50.49,134.50,USD
HigherDOSE,458-964-9684,2024-02-13,USD,6627.22,"3,060","118,876",2.57%,2.17,6627.22,"30,790.02",4.65,57.86,114.53,USD
HigherDOSE,458-964-9684,2024-02-14,USD,5533.61,"2,403","90,905",2.64%,2.30,5533.61,"23,095.13",4.17,53.45,103.53,USD
HigherDOSE,458-964-9684,2024-02-15,USD,9263.56,"3,333","136,653",2.44%,2.78,9263.56,"52,855.11",5.71,87.04,106.42,USD
HigherDOSE,458-964-9684,2024-02-16,USD,5707.48,"3,069","124,729",2.46%,1.86,5707.48,"56,101.58",9.83,93.11,61.30,USD
HigherDOSE,458-964-9684,2024-02-17,USD,6763.29,"3,354","137,964",2.43%,2.02,6763.29,"58,662.23",8.67,95.55,70.78,USD
HigherDOSE,458-964-9684,2024-02-18,USD,7153.26,"3,349","125,912",2.66%,2.14,7153.26,"37,205.96",5.20,72.98,98.02,USD
HigherDOSE,458-964-9684,2024-02-19,USD,6949.05,"3,329","123,739",2.69%,2.09,6949.05,"53,143.94",7.65,94.47,73.56,USD
HigherDOSE,458-964-9684,2024-02-20,USD,5681.00,"2,992","96,578",3.10%,1.90,5681.00,"35,201.12",6.20,56.64,100.29,USD
HigherDOSE,458-964-9684,2024-02-21,USD,6487.35,"3,329","119,360",2.79%,1.95,6487.35,"35,600.01",5.49,52.22,124.23,USD
HigherDOSE,458-964-9684,2024-02-22,USD,6512.70,"2,949","125,158",2.36%,2.21,6512.70,"31,807.15",4.88,57.25,113.76,USD
HigherDOSE,458-964-9684,2024-02-23,USD,5693.27,"2,636","117,157",2.25%,2.16,5693.27,"42,027.43",7.38,66.25,85.93,USD
HigherDOSE,458-964-9684,2024-02-24,USD,5399.41,"2,510","115,623",2.17%,2.15,5399.41,"21,979.15",4.07,43.11,125.25,USD
HigherDOSE,458-964-9684,2024-02-25,USD,6492.62,"2,860","123,171",2.32%,2.27,6492.62,"45,636.64",7.03,69.20,93.82,USD
HigherDOSE,458-964-9684,2024-02-26,USD,6354.94,"2,789","110,622",2.52%,2.28,6354.94,"51,963.23",8.18,75.89,83.73,USD
HigherDOSE,458-964-9684,2024-02-27,USD,6447.17,"3,177","107,883",2.94%,2.03,6447.17,"30,146.73",4.68,55.42,116.33,USD
HigherDOSE,458-964-9684,2024-02-28,USD,6094.95,"3,319","122,808",2.70%,1.84,6094.95,"26,068.70",4.28,44.95,135.59,USD
HigherDOSE,458-964-9684,2024-02-29,USD,6108.50,"2,913","107,512",2.71%,2.10,6108.50,"36,987.19",6.06,62.46,97.80,USD
HigherDOSE,458-964-9684,2024-03-01,USD,5897.14,"3,048","166,540",1.83%,1.93,5897.14,"21,403.87",3.63,36.77,160.40,USD
HigherDOSE,458-964-9684,2024-03-02,USD,5643.21,"2,749","126,860",2.17%,2.05,5643.21,"27,097.96",4.80,45.86,123.05,USD
HigherDOSE,458-964-9684,2024-03-03,USD,6317.54,"3,676","189,129",1.94%,1.72,6317.54,"43,230.97",6.84,67.97,92.94,USD
HigherDOSE,458-964-9684,2024-03-04,USD,5617.08,"3,285","188,834",1.74%,1.71,5617.08,"35,967.26",6.40,50.51,111.21,USD
HigherDOSE,458-964-9684,2024-03-05,USD,4959.56,"3,040","171,981",1.77%,1.63,4959.56,"39,982.36",8.06,61.29,80.92,USD
HigherDOSE,458-964-9684,2024-03-06,USD,5423.04,"3,669","215,604",1.70%,1.48,5423.04,"35,037.41",6.46,64.52,84.05,USD
HigherDOSE,458-964-9684,2024-03-07,USD,5183.53,"3,204","201,270",1.59%,1.62,5183.53,"34,174.91",6.59,46.27,112.04,USD
HigherDOSE,458-964-9684,2024-03-08,USD,4735.50,"2,903","147,657",1.97%,1.63,4735.50,"24,270.85",5.13,39.73,119.20,USD
HigherDOSE,458-964-9684,2024-03-09,USD,5518.08,"2,715","114,074",2.38%,2.03,5518.08,"30,765.75",5.58,44.13,125.04,USD
HigherDOSE,458-964-9684,2024-03-10,USD,5886.24,"2,568","104,562",2.46%,2.29,5886.24,"32,001.05",5.44,40.62,144.89,USD
HigherDOSE,458-964-9684,2024-03-11,USD,5139.79,"2,705","125,193",2.16%,1.90,5139.79,"22,063.75",4.29,37.59,136.72,USD
HigherDOSE,458-964-9684,2024-03-12,USD,4724.75,"2,533","108,025",2.34%,1.87,4724.75,"26,050.43",5.51,45.68,103.42,USD
HigherDOSE,458-964-9684,2024-03-13,USD,4442.21,"2,352","102,429",2.30%,1.89,4442.21,"22,025.46",4.96,37.95,117.06,USD
HigherDOSE,458-964-9684,2024-03-14,USD,4189.53,"2,311","103,302",2.24%,1.81,4189.53,"41,608.14",9.93,71.05,58.97,USD
HigherDOSE,458-964-9684,2024-03-15,USD,4523.81,"2,532","83,196",3.04%,1.79,4523.81,"29,635.97",6.55,58.28,77.62,USD
HigherDOSE,458-964-9684,2024-03-16,USD,3747.87,"2,603","104,739",2.49%,1.44,3747.87,"34,164.06",9.12,71.65,52.31,USD
HigherDOSE,458-964-9684,2024-03-17,USD,4259.82,"2,851","125,443",2.27%,1.49,4259.82,"46,105.13",10.82,89.75,47.46,USD
HigherDOSE,458-964-9684,2024-03-18,USD,4537.13,"2,581","96,169",2.68%,1.76,4537.13,"47,039.38",10.37,61.29,74.02,USD
HigherDOSE,458-964-9684,2024-03-19,USD,4531.82,"2,445","102,137",2.39%,1.85,4531.82,"33,751.93",7.45,53.85,84.15,USD
HigherDOSE,458-964-9684,2024-03-20,USD,5105.68,"2,651","120,517",2.20%,1.93,5105.68,"31,417.58",6.15,48.30,105.72,USD
HigherDOSE,458-964-9684,2024-03-21,USD,4913.68,"2,633","124,195",2.12%,1.87,4913.68,"16,941.01",3.45,34.13,143.97,USD
HigherDOSE,458-964-9684,2024-03-22,USD,4773.74,"2,578","136,710",1.89%,1.85,4773.74,"23,325.58",4.89,45.79,104.24,USD
HigherDOSE,458-964-9684,2024-03-23,USD,4565.71,"2,281","89,811",2.54%,2.00,4565.71,"25,970.50",5.69,36.69,124.44,USD
HigherDOSE,458-964-9684,2024-03-24,USD,5110.68,"2,682","94,088",2.85%,1.91,5110.68,"23,194.62",4.54,39.87,128.18,USD
HigherDOSE,458-964-9684,2024-03-25,USD,5200.54,"2,541","94,449",2.69%,2.05,5200.54,"41,536.53",7.99,60.35,86.17,USD
HigherDOSE,458-964-9684,2024-03-26,USD,5952.66,"2,500","87,272",2.86%,2.38,5952.66,"35,978.29",6.04,57.12,104.22,USD
HigherDOSE,458-964-9684,2024-03-27,USD,4763.71,"2,475","95,498",2.59%,1.92,4763.71,"32,048.15",6.73,46.00,103.55,USD
HigherDOSE,458-964-9684,2024-03-28,USD,5157.90,"2,425","95,222",2.55%,2.13,5157.90,"27,065.10",5.25,36.47,141.43,USD
HigherDOSE,458-964-9684,2024-03-29,USD,4987.36,"2,307","101,892",2.26%,2.16,4987.36,"37,744.49",7.57,49.54,100.67,USD
HigherDOSE,458-964-9684,2024-03-30,USD,5045.35,"2,368","99,919",2.37%,2.13,5045.35,"31,115.39",6.17,43.78,115.24,USD
HigherDOSE,458-964-9684,2024-03-31,USD,5652.78,"2,336","92,932",2.51%,2.42,5652.78,"37,797.32",6.69,48.60,116.31,USD
HigherDOSE,458-964-9684,2024-04-01,USD,5524.70,"2,424","89,026",2.72%,2.28,5524.70,"17,801.80",3.22,30.94,178.57,USD
HigherDOSE,458-964-9684,2024-04-02,USD,6101.66,"2,870","132,183",2.17%,2.13,6101.66,"32,472.46",5.32,43.43,140.49,USD
HigherDOSE,458-964-9684,2024-04-03,USD,5467.66,"2,536","128,701",1.97%,2.16,5467.66,"30,997.53",5.67,45.43,120.34,USD
HigherDOSE,458-964-9684,2024-04-04,USD,5880.84,"2,521","123,181",2.05%,2.33,5880.84,"29,540.29",5.02,39.40,149.26,USD
HigherDOSE,458-964-9684,2024-04-05,USD,5442.73,"2,275","107,946",2.11%,2.39,5442.73,"32,288.81",5.93,44.19,123.17,USD
HigherDOSE,458-964-9684,2024-04-06,USD,6090.21,"2,739","123,009",2.23%,2.22,6090.21,"47,709.52",7.83,68.56,88.83,USD
HigherDOSE,458-964-9684,2024-04-07,USD,5291.25,"2,809","120,841",2.32%,1.88,5291.25,"32,202.25",6.09,43.37,121.99,USD
HigherDOSE,458-964-9684,2024-04-08,USD,5431.07,"2,579","109,188",2.36%,2.11,5431.07,"31,471.72",5.79,50.71,107.09,USD
HigherDOSE,458-964-9684,2024-04-09,USD,5665.79,"2,162","103,067",2.10%,2.62,5665.79,"27,693.14",4.89,51.95,109.06,USD
HigherDOSE,458-964-9684,2024-04-10,USD,4886.55,"1,733","91,694",1.89%,2.82,4886.55,"26,796.10",5.48,36.78,132.84,USD
HigherDOSE,458-964-9684,2024-04-11,USD,5748.93,"1,773","92,001",1.93%,3.24,5748.93,"30,437.00",5.29,40.11,143.34,USD
HigherDOSE,458-964-9684,2024-04-12,USD,4528.20,"1,546","77,338",2.00%,2.93,4528.20,"22,835.56",5.04,30.69,147.56,USD
HigherDOSE,458-964-9684,2024-04-13,USD,4633.07,"1,495","76,500",1.95%,3.10,4633.07,"22,612.84",4.88,35.46,130.65,USD
HigherDOSE,458-964-9684,2024-04-14,USD,4624.01,"1,504","80,745",1.86%,3.07,4624.01,"23,689.99",5.12,36.32,127.32,USD
HigherDOSE,458-964-9684,2024-04-15,USD,4719.77,"1,457","78,393",1.86%,3.24,4719.77,"28,129.84",5.96,42.26,111.67,USD
HigherDOSE,458-964-9684,2024-04-16,USD,5195.13,"1,680","77,937",2.16%,3.09,5195.13,"31,638.68",6.09,40.98,126.78,USD
HigherDOSE,458-964-9684,2024-04-17,USD,4946.95,"1,690","63,858",2.65%,2.93,4946.95,"19,528.06",3.95,39.13,126.43,USD
