Day,"Delivery status","Delivery level","Ad Set Name","Ad name",Impressions,"CPM (cost per 1,000 impressions)",Reach,"Cost per 1,000 Accounts Center accounts reached",Frequency,"CTR (all)","Unique outbound clicks","Unique outbound CTR (click-through rate)","Cost per unique outbound click","Landing page views","Cost per landing page view","Content views","Cost per content view","Adds to cart","Cost per add to cart","Checkouts Initiated","Cost per checkout initiated","Adds of payment info","Cost per add of payment info",Purchases,"Cost per purchase","Purchases conversion value","Average purchases conversion value","Purchase ROAS (return on ad spend)","Amount spent (USD)","Link (ad settings)","Attribution setting","Campaign ID","Ad set ID","Ad ID","Result type",Results,"Cost per result","Link clicks","CPC (cost per link click)","Campaign Delivery","Ad Set Delivery","Ad Delivery","Reporting starts","Reporting ends"
2025-07-23,,,,,5629,53.01652158,4723,63.18653398,1.19182723,2.48712027,59,1.24920601,5.05813559,44,6.7825,103,2.89737864,6,49.73833333,,,,,1,298.43,581.53,581.53,1.94863117,298.43,,"Multiple attribution settings",,,,,,,61,4.89229508,,,,2025-07-23,2025-07-23
2025-07-22,,,,,65114,49.00175078,37908,84.16956843,1.71768492,2.11014528,719,1.89669727,4.43769124,645,4.94682171,1124,2.83870107,81,39.39135802,22,145.03181818,15,212.71333333,16,199.41875,18448.82,1153.05125,5.78206036,3190.7,,"Multiple attribution settings",,,,,,,772,4.13303109,,,,2025-07-22,2025-07-22
2025-07-21,,,,,68280,47.83582308,41373,78.94593092,1.65035168,1.98154657,728,1.75960167,4.48657967,737,4.43179104,1118,2.92149374,63,51.84492063,11,296.93,5,653.246,17,192.13117647,6761.91,397.75941176,2.07024919,3266.23,,"Multiple attribution settings",,,,,,,793,4.11882724,,,,2025-07-21,2025-07-21
2025-07-20,,,,,67122,49.24495694,41441,79.76207138,1.6197003,2.17663359,760,1.83393258,4.34923684,761,4.34352168,1202,2.74993344,83,39.82433735,15,220.36133333,10,330.542,19,173.96947368,10871.95,572.20789474,3.28912816,3305.42,,"Multiple attribution settings",,,,,,,818,4.04085575,,,,2025-07-20,2025-07-20
2025-07-19,,,,,43787,56.50421358,25383,97.47271796,1.7250522,2.60579624,583,2.29681283,4.24382504,586,4.22209898,1031,2.39975752,102,24.25637255,20,123.7075,9,274.90555556,21,117.81666667,9519.63,453.31571429,3.84763656,2474.15,,"Multiple attribution settings",,,,,,,641,3.85982839,,,,2025-07-19,2025-07-19
2025-07-18,,,,,54718,70.35308308,35387,108.78514709,1.54627406,2.5147118,717,2.0261678,5.36900976,737,5.22331072,1044,3.68733716,60,64.15966667,6,641.59666667,2,1924.79,8,481.1975,5558.19,694.77375,1.44384322,3849.58,,"Multiple attribution settings",,,,,,,793,4.85445145,,,,2025-07-18,2025-07-18
2025-07-17,,,,,65546,58.97690172,47805,80.86392637,1.37111181,1.87196778,679,1.42035352,5.69322533,694,5.57017291,953,4.05634837,26,148.68076923,1,3865.7,,,6,644.28333333,2897.86,482.97666667,0.74963396,3865.7,,"Multiple attribution settings",,,,,,,737,5.24518318,,,,2025-07-17,2025-07-17
2025-07-16,,,,,67763,55.57029647,50333,74.81393917,1.34629368,1.77087791,679,1.34901556,5.54581738,697,5.40259684,938,4.01450959,27,139.46703704,5,753.122,3,1255.20333333,8,470.70125,4874.77,609.34625,1.29454989,3765.61,,"Multiple attribution settings",,,,,,,730,5.15836986,,,,2025-07-16,2025-07-16
2025-07-15,,,,,68664,55.62114063,52989,72.07477024,1.29581611,2.07823605,847,1.59844496,4.50905549,841,4.54122473,1122,3.40389483,38,100.50447368,7,545.59571429,1,3819.17,5,763.834,3364.48,672.896,0.88094534,3819.17,,"Multiple attribution settings",,,,,,,865,4.41522543,,,,2025-07-15,2025-07-15
2025-07-14,,,,,59759,67.83229304,47991,84.46562897,1.24521264,2.02312622,783,1.63155592,5.17699872,750,5.40478667,1007,4.02541212,30,135.11966667,5,810.718,3,1351.19666667,7,579.08428571,2816.38,402.34,0.6947866,4053.59,,"Multiple attribution settings",,,,,,,791,5.1246397,,,,2025-07-14,2025-07-14
